Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,15.54,15.93,15.50,15.90,1623400,15.783272
2015-04-30,15.91,16.00,15.61,15.68,2575900,15.564887
2015-04-29,16.01,16.40,15.96,16.219999,2931100,16.100922
2015-04-28,15.16,16.129999,15.15,15.99,3049900,15.872611
2015-04-27,15.37,16.120001,15.34,15.52,2996600,15.406062
2015-04-24,15.28,15.47,15.14,15.24,1111500,15.128117
2015-04-23,15.18,15.47,15.10,15.34,1227200,15.227383
2015-04-22,15.67,15.73,15.08,15.13,1960200,15.018925
2015-04-21,15.58,15.81,15.30,15.76,2368800,15.6443
2015-04-20,15.48,15.71,15.34,15.58,1587400,15.465621
2015-04-17,15.47,15.83,15.46,15.62,1443500,15.505327
2015-04-16,15.79,15.94,15.36,15.40,2398500,15.286942
2015-04-15,15.76,16.02,15.63,15.79,3398700,15.674079
2015-04-14,15.49,15.74,15.36,15.62,2035100,15.505327
2015-04-13,15.89,15.93,15.54,15.59,1304100,15.475548
2015-04-10,15.91,16.07,15.81,15.95,1587300,15.832905
2015-04-09,15.30,15.93,15.22,15.63,3080300,15.515254
2015-04-08,15.46,15.61,15.26,15.42,2553200,15.306796
2015-04-07,15.60,15.80,15.41,15.46,3663800,15.346502
2015-04-06,15.38,15.82,15.25,15.74,2898700,15.624446
2015-04-02,14.94,15.21,14.73,14.93,2289200,14.820393
2015-04-01,14.02,15.38,14.00,15.18,4513700,15.068558
2015-03-31,14.13,14.25,13.80,13.85,2112000,13.748322
2015-03-30,13.97,14.33,13.90,14.13,2149300,14.026266
2015-03-27,14.04,14.44,13.81,14.21,3077000,14.105679
2015-03-26,14.40,14.57,14.04,14.09,2683000,13.98656
2015-03-25,14.32,14.44,14.14,14.18,2352100,14.075899
2015-03-24,14.28,14.39,14.06,14.22,1808700,14.115606
2015-03-23,14.05,14.31,14.00,14.27,1852600,14.165239
2015-03-20,13.92,14.28,13.90,14.02,6484700,13.917074
2015-03-19,13.77,13.94,13.59,13.91,2886300,13.807881
2015-03-18,13.17,14.05,13.17,13.82,2784600,13.718542
2015-03-17,13.26,13.51,13.14,13.17,2445800,13.073314
2015-03-16,13.50,13.56,13.17,13.47,2304800,13.371112
2015-03-13,13.61,13.68,13.22,13.56,2340600,13.460451
2015-03-12,13.92,13.98,13.46,13.50,2321600,13.400891
2015-03-11,13.59,13.96,13.39,13.95,2493900,13.847587
2015-03-10,13.51,13.98,13.40,13.59,2252700,13.490231
2015-03-09,14.40,14.40,13.49,13.59,2749500,13.490231
2015-03-06,14.88,14.89,14.24,14.26,3250200,14.155312
2015-03-05,15.19,15.59,15.08,15.23,2121500,15.11819
2015-03-04,15.63,15.74,15.00,15.09,1850600,14.979219
2015-03-03,16.030001,16.23,15.59,15.61,2551900,15.495401
2015-03-02,16.32,16.42,15.85,16.01,2481300,15.892465
2015-02-27,16.049999,16.540001,16.01,16.26,3722000,16.140629
2015-02-26,16.09,16.209999,15.97,15.97,1766400,15.852758
2015-02-25,15.80,15.88,15.60,15.88,2262400,15.763419
2015-02-24,15.82,16.040001,15.64,15.70,1907700,15.523195
2015-02-23,15.91,16.379999,15.83,15.99,2000700,15.809929
2015-02-20,16.110001,16.52,16.030001,16.17,2815700,15.987902
2015-02-19,15.67,16.34,15.61,16.030001,4830100,15.849479
2015-02-18,15.00,15.43,14.83,15.21,2296600,15.038713
2015-02-17,14.78,15.10,14.74,14.87,2466100,14.702542
2015-02-13,15.31,15.40,15.12,15.12,1484600,14.949727
2015-02-12,15.23,15.25,14.90,15.15,2086400,14.979388
2015-02-11,15.40,15.48,15.03,15.10,2337400,14.929952
2015-02-10,15.37,15.49,14.98,15.30,3072000,15.1277
2015-02-09,15.69,15.69,15.26,15.56,2328600,15.384772
2015-02-06,15.69,15.81,15.26,15.44,2806300,15.266123
2015-02-05,16.129999,16.32,15.91,16.24,2231300,16.057114
2015-02-04,15.90,16.43,15.90,16.219999,2506000,16.037338
2015-02-03,16.049999,16.280001,15.57,15.70,3036400,15.523195
2015-02-02,15.85,16.41,15.78,16.209999,2175700,16.027451
2015-01-30,15.67,16.389999,15.53,16.25,2963200,16.067001
2015-01-29,15.38,15.61,15.21,15.49,2874000,15.31556
2015-01-28,16.09,16.33,15.63,15.79,2745000,15.612181
2015-01-27,15.98,16.440001,15.95,16.26,3435400,16.076889
2015-01-26,15.00,15.89,14.94,15.82,3077000,15.641843
2015-01-23,15.74,15.85,15.34,15.43,3837900,15.256236
2015-01-22,16.00,16.389999,15.67,15.87,3543200,15.69128
2015-01-21,15.40,15.78,15.11,15.69,6597200,15.513307
2015-01-20,14.68,15.30,14.58,15.18,4228600,15.009051
2015-01-19,14.29,14.29,13.86,14.21,673400,14.049975
2015-01-16,13.83,14.28,13.74,14.09,5563400,13.931326
2015-01-15,12.86,13.67,12.60,13.62,5696500,13.466619
2015-01-14,12.90,12.96,12.15,12.41,4573500,12.270245
2015-01-13,13.73,13.73,12.59,12.76,3414300,12.616304
2015-01-12,13.16,13.64,12.97,13.58,3511700,13.427069
2015-01-09,12.99,13.28,12.71,13.04,4908900,12.89315
2015-01-08,13.00,13.36,12.72,12.79,2777900,12.645966
2015-01-07,13.15,13.52,12.96,13.15,3151600,13.001911
2015-01-06,12.96,13.53,12.88,13.31,4034300,13.16011
2015-01-05,12.93,13.04,12.40,12.81,2884800,12.665741
2015-01-02,12.34,12.86,12.21,12.86,2847100,12.715177
2014-12-31,12.57,12.65,12.26,12.52,1635400,12.379007
2014-12-30,12.33,12.78,12.30,12.60,2306900,12.458106
2014-12-29,12.20,12.38,12.07,12.18,2662700,12.042836
2014-12-24,11.83,12.12,11.67,12.02,1561800,11.884638
2014-12-23,12.05,12.27,11.75,11.81,2508800,11.677003
2014-12-22,12.62,12.68,11.97,12.02,3400900,11.884638
2014-12-19,12.89,13.05,12.57,12.59,10391100,12.448218
2014-12-18,12.74,12.93,12.54,12.85,4467400,12.705291
2014-12-17,12.00,12.60,11.99,12.58,5499300,12.438331
2014-12-16,12.52,12.53,11.95,12.02,5148100,11.884638
2014-12-15,12.99,13.10,12.17,12.21,3741700,12.072498
2014-12-12,13.59,13.72,13.22,13.28,2920400,13.130448
2014-12-11,13.83,14.16,13.41,13.64,4252100,13.486394
2014-12-10,13.81,14.37,13.68,13.70,5728000,13.545718
2014-12-09,13.55,14.04,13.48,13.79,4209200,13.634704
2014-12-08,13.35,13.42,12.84,13.27,3196900,13.120561
2014-12-05,13.38,13.46,13.06,13.21,2812000,13.061236
2014-12-04,14.06,14.19,13.54,13.58,2492100,13.427069
