Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,24.540001,25.219999,24.41,24.969999,822200,24.21183
2015-04-30,25.040001,25.040001,24.26,24.690001,1482100,23.940333
2015-04-29,24.719999,25.60,24.719999,25.23,950800,24.463936
2015-04-28,24.84,25.049999,24.75,24.809999,804400,24.056688
2015-04-27,25.290001,25.35,24.76,24.959999,1624700,24.105171
2015-04-24,25.00,25.129999,24.73,25.10,388000,24.240377
2015-04-23,24.66,25.41,24.58,25.01,713500,24.153459
2015-04-22,24.709999,24.860001,24.129999,24.709999,579400,23.863733
2015-04-21,25.10,25.200001,24.59,24.809999,479800,23.960308
2015-04-20,24.950001,25.23,24.93,25.10,656400,24.240377
2015-04-17,24.879999,25.00,24.48,25.00,784000,24.143802
2015-04-16,24.68,25.01,24.26,24.85,680000,23.998939
2015-04-15,24.33,25.33,24.33,24.76,1064400,23.912021
2015-04-14,23.309999,24.139999,23.25,24.059999,1176800,23.235994
2015-04-13,22.700001,23.08,22.67,23.08,1154900,22.289558
2015-04-10,22.719999,22.76,22.25,22.440001,902400,21.671477
2015-04-09,22.370001,22.67,22.200001,22.639999,963900,21.864626
2015-04-08,23.01,23.309999,22.17,22.23,770800,21.468668
2015-04-07,23.00,23.559999,22.959999,23.059999,783300,22.270242
2015-04-06,22.790001,23.209999,22.559999,22.959999,465100,22.173667
2015-04-02,21.969999,22.77,21.90,22.559999,673000,21.787366
2015-04-01,21.90,22.33,21.90,22.030001,792100,21.275519
2015-03-31,21.43,21.92,21.42,21.76,745500,21.014765
2015-03-30,21.780001,21.940001,21.43,21.809999,1236700,21.063052
2015-03-27,21.90,22.10,21.65,21.690001,740500,20.947163
2015-03-26,22.870001,22.98,21.99,22.10,1050200,21.246546
2015-03-25,22.969999,23.110001,22.389999,22.49,1062300,21.621484
2015-03-24,22.00,22.98,21.790001,22.879999,1008300,21.996423
2015-03-23,22.09,22.540001,21.77,21.889999,638600,21.044655
2015-03-20,22.370001,22.459999,21.940001,22.040001,3941800,21.188863
2015-03-19,22.709999,22.709999,21.67,21.809999,1044300,20.967744
2015-03-18,22.07,23.08,22.07,22.969999,808600,22.082947
2015-03-17,21.76,22.469999,21.76,22.309999,917400,21.448435
2015-03-16,21.110001,22.41,20.889999,22.190001,1180300,21.33307
2015-03-13,21.440001,21.469999,20.950001,21.360001,982600,20.535123
2015-03-12,22.700001,22.73,21.549999,21.59,894600,20.756241
2015-03-11,22.08,22.93,21.940001,22.700001,1685400,21.823376
2015-03-10,22.00,22.559999,21.91,22.18,892800,21.323456
2015-03-09,22.950001,23.309999,22.299999,22.299999,934200,21.438821
2015-03-06,23.60,24.129999,22.91,23.18,1303900,22.284839
2015-03-05,24.440001,24.440001,23.75,23.799999,785400,22.880894
2015-03-04,24.219999,24.389999,23.610001,24.16,921600,23.226993
2015-03-03,24.700001,24.780001,24.23,24.379999,802500,23.438496
2015-03-02,23.950001,24.700001,23.77,24.51,687400,23.563477
2015-02-27,24.200001,24.49,23.969999,24.15,1215900,23.217379
2015-02-26,24.00,24.16,23.83,23.90,613900,22.977033
2015-02-25,23.74,24.360001,23.389999,24.360001,869100,23.41927
2015-02-24,24.26,24.360001,23.709999,23.719999,503800,22.707845
2015-02-23,24.059999,24.32,23.48,24.040001,825800,23.014192
2015-02-20,24.41,24.889999,24.17,24.309999,571600,23.27267
2015-02-19,24.00,24.68,23.75,24.440001,669300,23.397124
2015-02-18,24.469999,25.23,24.41,24.450001,624000,23.406697
2015-02-17,24.940001,25.09,24.43,24.84,768300,23.780055
2015-02-13,25.469999,25.73,24.940001,25.059999,1497900,23.990667
2015-02-12,24.65,25.110001,23.299999,24.99,1521800,23.923654
2015-02-11,23.35,24.209999,23.049999,24.02,687300,22.995045
2015-02-10,24.450001,24.57,23.08,23.92,860300,22.899312
2015-02-09,23.75,24.620001,23.07,24.190001,1010300,23.157791
2015-02-06,23.75,23.969999,23.07,23.48,1251400,22.478087
2015-02-05,23.50,24.17,23.35,23.49,1691600,22.48766
2015-02-04,23.85,24.02,23.040001,23.33,1272300,22.334488
2015-02-03,24.15,24.959999,24.139999,24.27,2427500,23.234378
2015-02-02,23.32,24.00,23.190001,23.93,1177400,22.908886
2015-01-30,21.58,23.17,21.540001,23.00,1108000,22.018569
2015-01-29,22.190001,22.540001,21.32,21.950001,908100,21.013374
2015-01-28,23.00,23.10,21.98,22.07,1217100,21.128253
2015-01-27,22.540001,23.290001,22.49,23.09,1320600,22.008996
2015-01-26,22.60,22.809999,22.360001,22.49,695300,21.437085
2015-01-23,22.18,23.040001,22.09,22.709999,1702900,21.646785
2015-01-22,22.23,22.41,21.790001,22.299999,973800,21.25598
2015-01-21,21.60,22.469999,21.49,22.059999,1130500,21.027216
2015-01-20,22.049999,22.23,21.280001,21.40,1392000,20.398116
2015-01-19,22.030001,22.450001,21.950001,22.379999,347800,21.332235
2015-01-16,22.139999,22.639999,22.00,22.18,2179300,21.141599
2015-01-15,22.50,22.549999,21.84,21.93,893100,20.903303
2015-01-14,21.50,22.469999,21.41,22.40,1506400,21.351299
2015-01-13,20.75,21.83,20.75,21.809999,1396000,20.788921
2015-01-12,21.799999,21.90,20.950001,20.959999,1791000,19.978715
2015-01-09,22.299999,22.41,21.75,22.139999,2086600,21.103471
2015-01-08,22.50,22.57,22.24,22.299999,4219500,21.25598
2015-01-07,23.57,24.360001,23.25,23.34,832900,22.247291
2015-01-06,23.40,23.82,23.030001,23.389999,900800,22.29495
2015-01-05,25.48,25.58,23.68,23.709999,787900,22.599968
2015-01-02,25.27,25.870001,25.110001,25.75,544100,24.544462
2014-12-31,25.120001,25.610001,24.75,25.16,423100,23.982084
2014-12-30,25.389999,25.48,24.99,25.280001,641700,24.096467
2014-12-29,25.780001,26.059999,25.219999,25.40,640400,24.210848
2014-12-24,26.34,26.51,25.889999,26.10,291200,24.782758
2014-12-23,25.99,26.440001,25.959999,26.42,897400,25.086608
2014-12-22,27.129999,27.48,25.290001,25.799999,1421900,24.497898
2014-12-19,26.42,28.00,26.40,27.610001,3855300,26.21655
2014-12-18,28.23,28.25,26.450001,26.690001,2433200,25.342982
2014-12-17,24.75,27.309999,24.620001,26.82,2572400,25.46642
2014-12-16,23.40,25.84,23.25,24.85,2601700,23.595845
2014-12-15,23.51,24.030001,23.25,23.43,2432500,22.247511
2014-12-12,23.02,23.92,22.74,23.50,1154500,22.313978
2014-12-11,23.540001,24.450001,23.24,23.65,960000,22.456407
2014-12-10,23.790001,23.940001,23.129999,23.719999,1443200,22.522874
