Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,46.00,46.69,44.29,45.52,1116600,45.47656
2015-04-30,48.58,48.74,45.90,46.18,1189000,46.13593
2015-04-29,49.23,49.25,47.77,48.67,938500,48.62355
2015-04-28,48.79,49.22,47.85,49.16,795100,49.11308
2015-04-27,48.33,48.66,48.26,48.61,574300,48.56361
2015-04-24,48.32,48.50,48.235,48.36,295700,48.31385
2015-04-23,48.43,48.65,48.11,48.24,409600,48.19396
2015-04-22,48.06,48.60,48.05,48.30,568300,48.2539
2015-04-21,48.34,48.40,47.91,48.25,825000,48.20395
2015-04-20,48.98,49.23,48.08,48.15,643000,48.10405
2015-04-17,49.40,49.54,48.63,48.94,451000,48.89329
2015-04-16,49.95,50.00,49.36,49.45,811300,49.40281
2015-04-15,50.99,51.16,49.82,49.82,967200,49.77245
2015-04-14,51.14,51.25,50.70,50.79,557400,50.74153
2015-04-13,50.65,51.25,50.50,51.06,624600,51.01127
2015-04-10,51.09,51.11,50.02,50.41,911500,50.36189
2015-04-09,51.39,51.54,50.61,50.95,740200,50.90137
2015-04-08,51.00,51.50,50.85,51.25,832500,51.20109
2015-04-07,50.40,51.50,50.39,51.00,766600,50.95133
2015-04-06,51.30,51.43,50.26,50.29,662600,50.242
2015-04-03,51.28,51.28,51.28,51.28,000,51.23106
2015-04-02,50.85,51.51,50.65,51.28,623600,51.23106
2015-04-01,50.58,51.255,49.815,50.80,906900,50.75152
2015-03-31,50.78,51.16,50.28,50.47,1420400,50.42183
2015-03-30,50.85,51.68,50.64,50.99,1017200,50.94134
2015-03-27,50.02,50.99,49.46,50.54,1034300,50.49177
2015-03-26,50.66,50.66,49.39,49.43,882800,49.38282
2015-03-25,51.53,51.83,50.30,50.55,1381300,50.50175
2015-03-24,49.38,51.47,49.26,51.26,1263900,51.21108
2015-03-23,49.68,49.68,48.53,49.31,950800,49.26294
2015-03-20,48.80,50.09,48.41,49.29,2479000,49.24296
2015-03-19,50.29,50.65,48.15,48.66,1358900,48.61356
2015-03-18,50.06,50.92,49.50,50.00,1490000,49.95228
2015-03-17,46.90,49.90,46.50,49.24,1899800,49.19301
2015-03-16,47.45,48.87,47.02,48.13,1369700,48.08407
2015-03-13,46.26,47.21,46.25,46.99,537200,46.94515
2015-03-12,46.54,47.00,46.14,46.52,692800,46.4756
2015-03-11,46.75,47.08,46.15,46.53,570500,46.48559
2015-03-10,47.51,47.76,46.30,46.37,873100,46.32574
2015-03-09,46.55,48.12,46.19,47.93,805600,47.88426
2015-03-06,47.28,47.59,46.46,46.65,942100,46.60548
2015-03-05,47.51,48.30,47.30,47.39,899900,47.34477
2015-03-04,46.94,47.43,46.88,47.26,726300,47.21489
2015-03-03,48.20,48.23,46.64,46.92,1722500,46.87522
2015-03-02,48.29,48.73,47.90,48.14,609600,48.09406
2015-02-27,48.74,49.39,47.86,48.24,1480100,48.19396
2015-02-26,47.93,48.89,47.92,48.57,654400,48.52364
2015-02-25,48.44,48.73,47.86,47.92,755400,47.87426
2015-02-24,47.76,48.82,47.66,48.32,1058800,48.27388
2015-02-23,48.05,48.22,47.36,47.71,1099400,47.66447
2015-02-20,47.73,48.09,47.22,48.06,930300,48.01413
2015-02-19,47.28,48.07,47.125,47.52,760400,47.47465
2015-02-18,47.79,48.35,46.99,47.15,871100,47.105
2015-02-17,47.10,48.605,47.05,48.02,1014300,47.97417
2015-02-16,47.03,47.03,47.03,47.03,000,46.98511
2015-02-13,48.02,48.48,47.01,47.03,963300,46.98511
2015-02-12,48.31,49.11,47.12,48.25,793700,48.20395
2015-02-11,47.20,48.22,47.09,48.14,924100,48.09406
2015-02-10,46.11,47.78,46.06,47.15,980600,47.105
2015-02-09,46.49,47.14,45.44,45.80,732800,45.75629
2015-02-06,47.63,47.63,45.75,46.63,1859500,46.5855
2015-02-05,48.66,49.23,46.94,47.45,859100,47.40471
2015-02-04,47.79,48.935,47.44,48.48,862700,48.43373
2015-02-03,50.26,50.33,47.25,47.37,1395000,47.32479
2015-02-02,50.20,50.50,48.97,50.09,564700,50.04219
2015-01-30,49.57,50.58,48.78,49.79,1379600,49.74248
2015-01-29,48.00,49.44,47.87,49.36,1105600,49.31289
2015-01-28,47.86,48.73,47.25,47.44,726500,47.39472
2015-01-27,46.60,47.64,46.41,47.60,792700,47.55457
2015-01-26,47.33,47.63,46.81,46.95,524500,46.90519
2015-01-23,46.60,47.59,46.44,46.97,1124000,46.92517
2015-01-22,45.56,46.88,45.48,46.37,1364300,46.32574
2015-01-21,44.67,45.74,44.33,45.55,1333600,45.50653
2015-01-20,45.27,45.27,44.25,44.45,760700,44.40758
2015-01-19,44.75,45.00,44.20,45.00,290900,44.95705
2015-01-16,44.90,45.43,44.60,45.00,507900,44.95705
2015-01-15,45.10,45.69,44.00,44.90,582400,44.85715
2015-01-14,45.87,46.15,45.00,45.35,715900,45.30672
2015-01-13,45.68,46.59,44.78,46.03,1085600,45.98607
2015-01-12,45.00,45.39,43.76,45.35,955600,45.30672
2015-01-09,45.99,46.26,45.01,45.23,998200,45.18683
2015-01-08,46.21,46.21,45.28,45.95,1243100,45.90615
2015-01-07,45.48,46.35,45.16,45.95,1443700,45.90615
2015-01-06,46.64,46.87,44.32,45.07,1882000,45.02699
2015-01-05,48.15,48.41,46.68,47.00,1047700,46.95514
2015-01-02,48.63,48.80,47.52,48.13,775200,48.08407
2015-01-01,48.69,48.69,48.69,48.69,000,48.64353
2014-12-31,48.40,49.20,48.29,48.69,797000,48.64353
2014-12-30,47.79,48.50,47.46,48.27,1012800,48.22393
2014-12-29,47.95,48.37,47.01,47.51,1105200,47.46466
2014-12-26,47.50,47.50,47.50,47.50,000,47.45467
2014-12-25,47.50,47.50,47.50,47.50,000,47.45467
2014-12-24,47.63,48.23,47.49,47.50,383700,47.45467
2014-12-23,47.51,47.89,46.61,47.70,992600,47.65448
2014-12-22,47.50,47.77,46.26,46.84,3893100,46.7953
2014-12-19,47.48,49.08,45.67,49.08,32926100,49.03316
2014-12-18,45.00,46.56,44.38,46.21,5725600,46.1659
2014-12-17,42.52,43.00,42.19,42.54,1954100,42.4994
2014-12-16,42.40,43.04,42.12,42.27,2583900,42.22966
2014-12-15,41.25,42.68,41.25,42.50,2775600,42.45944
2014-12-12,40.32,41.08,40.14,40.84,816000,40.80102
2014-12-11,40.13,40.87,40.00,40.54,775700,40.50131
2014-12-10,39.37,40.09,38.85,39.95,834400,39.91187
2014-12-09,39.15,39.89,38.94,39.53,889500,39.49227
2014-12-08,40.19,40.20,38.88,38.94,1389700,38.90283
2014-12-05,39.65,40.30,39.45,40.20,774000,40.16163
2014-12-04,40.24,40.55,39.37,39.65,1056400,39.61216
2014-12-03,41.21,41.44,39.83,39.98,1246700,39.94184
2014-12-02,40.88,41.17,40.575,41.06,1423400,41.02081
2014-12-01,40.08,41.28,39.87,40.49,992900,40.4064
2014-11-28,39.98,41.47,39.97,40.50,798400,40.41638
2014-11-27,39.50,40.00,39.04,39.95,304400,39.86752
2014-11-26,39.61,39.90,38.65,39.45,667500,39.36855
2014-11-25,38.99,39.70,38.40,39.70,1661200,39.61803
2014-11-24,39.06,39.39,37.86,38.18,1039500,38.10117
2014-11-21,40.21,40.21,38.45,38.93,1275000,38.84962
2014-11-20,41.00,41.07,39.64,39.86,1035300,39.7777
2014-11-19,40.50,41.42,40.47,41.42,660500,41.33448
2014-11-18,39.96,40.72,39.86,40.65,1063000,40.56607
2014-11-17,40.51,41.57,39.68,39.86,1220500,39.7777
2014-11-14,39.72,40.49,39.47,40.36,909700,40.27667
2014-11-13,39.49,39.83,39.15,39.72,658500,39.63799
2014-11-12,39.01,39.17,38.63,39.17,1488000,39.08912
2014-11-11,39.38,39.38,38.83,39.14,254100,39.05919
2014-11-10,38.64,39.31,38.53,39.22,453400,39.13902
2014-11-07,39.39,39.39,38.11,38.53,665000,38.45045
2014-11-06,39.09,39.25,38.65,39.15,555200,39.06917
2014-11-05,39.14,39.33,38.30,38.70,903800,38.6201
2014-11-04,38.02,38.94,37.94,38.64,822000,38.56022
2014-11-03,38.59,38.59,37.89,38.00,386600,37.92154
2014-10-31,38.00,38.84,37.91,38.25,940800,38.17103
2014-10-30,37.32,37.96,37.00,37.71,479000,37.63214
2014-10-29,37.89,37.89,37.14,37.37,547700,37.29284
2014-10-28,37.60,37.88,37.125,37.79,506000,37.71198
2014-10-27,37.70,37.71,37.15,37.39,487200,37.3128
2014-10-24,36.70,37.81,36.42,37.71,678600,37.63214
2014-10-23,35.90,36.86,35.84,36.70,823000,36.62423
2014-10-22,36.77,36.77,35.74,35.84,1192000,35.766
2014-10-21,36.00,36.93,35.95,36.75,1236200,36.67412
2014-10-20,35.66,35.98,35.13,35.79,414100,35.71611
2014-10-17,36.00,36.56,35.35,35.58,1122500,35.50654
2014-10-16,33.78,35.57,32.10,35.25,887100,35.17722
2014-10-15,34.30,35.41,33.76,34.27,2103800,34.19924
2014-10-14,35.13,35.25,34.65,34.79,1436400,34.71817
2014-10-13,35.49,35.49,35.49,35.49,000,35.41673
2014-10-10,35.47,35.84,35.25,35.49,662200,35.41673
2014-10-09,35.94,35.94,35.41,35.75,647400,35.67619
2014-10-08,35.50,36.10,35.38,36.03,455300,35.95561
2014-10-07,35.14,35.60,34.80,35.42,1026200,35.34687
2014-10-06,36.12,36.13,35.03,35.10,567200,35.02753
2014-10-03,35.54,36.03,35.43,35.99,541800,35.91569
2014-10-02,35.50,35.56,34.88,35.47,563100,35.39677
2014-10-01,35.87,36.12,35.16,35.40,781300,35.32691
2014-09-30,35.27,35.81,35.05,35.81,681700,35.73606
2014-09-29,35.00,35.64,34.79,35.36,738900,35.28699
2014-09-26,35.05,35.61,34.90,34.90,638200,34.82794
2014-09-25,35.39,35.47,34.96,35.03,745800,34.95767
2014-09-24,35.77,36.01,35.25,35.28,871700,35.20716
2014-09-23,34.57,35.74,34.55,35.66,1062700,35.58637
2014-09-22,33.85,34.75,33.80,34.53,1057100,34.4587
2014-09-19,34.70,34.70,33.53,33.53,1773900,33.46077
2014-09-18,35.00,35.05,34.50,34.71,604000,34.63833
2014-09-17,35.63,35.64,34.91,35.09,567300,35.01755
2014-09-16,35.69,35.78,35.32,35.50,717800,35.4267
2014-09-15,35.75,35.75,35.14,35.33,1010100,35.25706
2014-09-12,35.81,36.18,35.67,35.90,850100,35.82588
