Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,43.4067,44.00,43.40,43.88,802700,29.09093
2015-04-30,44.1133,44.1667,43.2333,43.3133,1285300,28.71523
2015-04-29,44.3933,44.42,43.8267,44.1133,939800,29.2456
2015-04-28,44.6467,44.70,44.3133,44.5067,3431900,29.50641
2015-04-27,45.14,45.14,44.52,44.6733,1167100,29.61686
2015-04-24,45.04,45.1533,44.9267,45.08,690300,29.88649
2015-04-23,45.3333,45.3467,44.8933,44.9867,1306000,29.82463
2015-04-22,45.38,45.48,45.20,45.30,1598400,30.03234
2015-04-21,45.38,45.6533,45.1267,45.42,2289200,30.1119
2015-04-20,46.9867,47.40,46.8733,47.14,612800,31.2522
2015-04-17,46.8667,46.92,46.4133,46.7667,634900,31.00471
2015-04-16,47.4333,47.6133,46.6133,46.98,946900,31.14612
2015-04-15,48.1667,48.5267,47.50,47.5533,1117500,31.5262
2015-04-14,48.0133,48.2533,47.82,48.14,941600,31.91516
2015-04-13,48.1067,48.4467,47.9467,48.1867,685400,31.94612
2015-04-10,72.66,72.96,72.19995,72.33,663500,47.9523
2015-04-09,71.89005,72.49005,71.61,72.46995,1415900,48.04508
2015-04-08,69.30,71.19,69.25005,71.01,1030300,47.07719
2015-04-07,69.00,70.09005,68.98995,69.31995,1021300,45.95674
2015-04-06,68.59005,69.85005,68.13,68.98005,1015200,45.7314
2015-04-03,68.77005,68.77005,68.77005,68.77005,000,45.59217
2015-04-02,67.75005,69.01995,67.71,68.77005,891700,45.59217
2015-04-01,67.50,67.69995,66.88005,67.45005,1171700,44.71706
2015-03-31,68.23995,68.50005,67.74,67.74,2947800,44.90929
2015-03-30,67.36995,69.12,67.36995,68.46,1290500,45.38662
2015-03-27,66.19995,67.77,65.80995,67.42995,1072600,44.70374
2015-03-26,66.46995,67.05,65.89005,66.49005,1851300,44.08061
2015-03-25,68.83995,69.28005,67.12005,67.12005,1237900,44.49828
2015-03-24,67.75005,68.77995,67.50,68.64,1055000,45.50596
2015-03-23,68.62995,68.70,67.75005,67.75995,814800,44.92252
2015-03-20,68.29995,69.43995,68.11005,68.71005,4430800,45.5524
2015-03-19,68.35005,68.82,67.98,68.23995,1654100,45.24074
2015-03-18,68.49,68.59995,67.45995,68.17005,947100,45.1944
2015-03-17,67.81005,68.86005,67.39995,68.53995,1232600,45.43963
2015-03-16,67.92,69.18,67.92,68.20005,1510300,45.21429
2015-03-13,68.26005,68.70,67.77,68.08005,578500,45.13473
2015-03-12,67.17,68.80005,67.14,68.74005,989500,45.57229
2015-03-11,67.30005,68.26005,66.85005,67.65,813800,44.84962
2015-03-10,67.24005,67.75005,66.67995,67.30005,1148000,44.61762
2015-03-09,68.23005,68.34,67.42995,67.75995,950900,44.92252
2015-03-06,68.62005,68.65005,67.47,68.35995,1621200,45.32029
2015-03-05,68.44995,69.39,68.44005,68.62005,1052700,45.49273
2015-03-04,67.60995,68.20005,67.47,68.10,996300,45.14796
2015-03-03,68.89995,68.89995,67.03995,67.60995,1852700,44.82307
2015-03-02,67.92,69.37995,67.83,69.13995,1145000,45.83741
2015-02-27,68.19,69.19995,67.78005,67.84995,3203900,44.98218
2015-02-26,68.95005,69.04995,68.08995,68.56005,934500,45.45295
