Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,12.30,12.53,12.27,12.50,1729900,12.50
2015-04-30,12.52,12.53,12.25,12.25,1773700,12.25
2015-04-29,12.48,12.55,12.28,12.48,1770800,12.48
2015-04-28,12.35,12.55,12.31,12.51,1085200,12.51
2015-04-27,12.61,12.62,12.27,12.38,1698000,12.38
2015-04-24,12.48,12.67,12.38,12.62,1260500,12.62
2015-04-23,12.11,12.67,11.83,12.50,2763000,12.50
2015-04-22,12.30,12.30,11.95,12.13,1200900,12.13
2015-04-21,12.30,12.46,12.22,12.33,890600,12.33
2015-04-20,12.16,12.26,11.95,12.25,1017300,12.25
2015-04-17,12.00,12.20,11.93,12.10,1262800,12.10
2015-04-16,12.19,12.37,12.09,12.10,1304100,12.10
2015-04-15,12.22,12.32,12.05,12.27,1747100,12.27
2015-04-14,12.05,12.23,11.90,12.17,1312600,12.17
2015-04-13,12.00,12.16,11.98,12.12,850500,12.12
2015-04-10,11.98,12.11,11.88,12.01,1492900,12.01
2015-04-09,11.67,12.07,11.60,12.01,1642700,12.01
2015-04-08,11.61,11.69,11.42,11.68,1406900,11.68
2015-04-07,11.68,11.84,11.64,11.66,1103500,11.66
2015-04-06,11.25,11.77,11.23,11.65,1305200,11.65
2015-04-02,11.18,11.41,11.17,11.35,1329200,11.35
2015-04-01,11.28,11.47,11.20,11.23,2292100,11.23
2015-03-31,11.10,11.39,10.93,11.29,2456600,11.29
2015-03-30,11.92,11.94,11.11,11.17,4187100,11.17
2015-03-27,12.18,12.19,11.77,11.92,4139500,11.92
2015-03-26,11.50,11.81,11.24,11.60,2616600,11.60
2015-03-25,11.91,11.94,11.61,11.61,1737100,11.61
2015-03-24,11.90,12.00,11.81,11.92,1334400,11.92
2015-03-23,11.89,11.97,11.77,11.90,1504800,11.90
2015-03-20,12.27,12.35,11.95,11.95,3930200,11.95
2015-03-19,12.27,12.45,12.27,12.36,1410400,12.36
2015-03-18,12.41,12.48,12.26,12.27,1720900,12.27
2015-03-17,12.36,12.48,12.32,12.42,1295100,12.42
2015-03-16,12.40,12.63,12.28,12.40,2227200,12.40
2015-03-13,12.61,12.61,12.37,12.52,1890000,12.52
2015-03-12,12.64,12.73,12.53,12.62,2445300,12.62
2015-03-11,12.40,12.77,12.25,12.64,1877700,12.64
2015-03-10,12.40,12.46,12.02,12.39,2375200,12.39
2015-03-09,12.88,13.05,12.39,12.44,4208100,12.44
2015-03-06,13.59,13.74,13.44,13.44,1782500,13.44
2015-03-05,13.53,13.80,13.41,13.61,2432000,13.61
2015-03-04,13.61,13.67,13.31,13.47,2023600,13.47
2015-03-03,13.92,14.23,13.59,13.69,3841900,13.69
2015-03-02,13.71,14.00,13.65,13.87,3945100,13.87
2015-02-27,13.42,13.57,13.25,13.54,2579800,13.54
2015-02-26,13.23,13.70,13.21,13.47,3960100,13.47
2015-02-25,12.74,13.41,12.70,13.07,3841300,13.07
