Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,2.44,2.45,2.42,2.43,2212200,2.43
2015-04-30,2.49,2.49,2.41,2.44,7285400,2.44
2015-04-29,2.45,2.49,2.44,2.47,4178500,2.47
2015-04-28,2.45,2.47,2.41,2.42,6040900,2.42
2015-04-27,2.58,2.58,2.40,2.42,11957600,2.42
2015-04-24,2.60,2.60,2.53,2.54,2220900,2.54
2015-04-23,2.54,2.60,2.51,2.57,3300000,2.57
2015-04-22,2.65,2.66,2.52,2.54,10088000,2.54
2015-04-21,2.66,2.67,2.63,2.66,2229100,2.66
2015-04-20,2.70,2.70,2.64,2.66,2213500,2.66
2015-04-17,2.70,2.71,2.64,2.67,2936800,2.67
2015-04-16,2.71,2.79,2.69,2.71,15233400,2.71
2015-04-15,2.58,2.70,2.58,2.68,11021900,2.68
2015-04-14,2.62,2.63,2.58,2.60,6311400,2.60
2015-04-13,2.68,2.68,2.59,2.60,4408600,2.60
2015-04-10,2.70,2.79,2.64,2.64,16454700,2.64
2015-04-09,2.55,2.62,2.53,2.60,15569200,2.60
2015-04-08,2.65,2.68,2.59,2.60,5319000,2.60
2015-04-07,2.57,2.65,2.56,2.65,45888800,2.65
2015-04-06,2.52,2.58,2.51,2.56,3863600,2.56
2015-04-02,2.50,2.53,2.49,2.52,2887800,2.52
2015-04-01,2.50,2.53,2.47,2.50,2617700,2.50
2015-03-31,2.43,2.50,2.40,2.50,7513800,2.50
2015-03-30,2.49,2.50,2.40,2.40,4777000,2.40
2015-03-27,2.53,2.54,2.47,2.50,4261500,2.50
2015-03-26,2.57,2.57,2.51,2.51,5764600,2.51
2015-03-25,2.53,2.63,2.50,2.54,23359500,2.54
2015-03-24,2.49,2.50,2.45,2.48,2924500,2.48
2015-03-23,2.51,2.51,2.48,2.50,3593300,2.50
2015-03-20,2.50,2.52,2.49,2.52,10004300,2.52
2015-03-19,2.49,2.53,2.46,2.51,7072600,2.51
2015-03-18,2.50,2.52,2.45,2.45,3492900,2.45
2015-03-17,2.55,2.60,2.48,2.48,7332000,2.48
2015-03-16,2.48,2.52,2.43,2.49,4640200,2.49
2015-03-13,2.45,2.51,2.35,2.49,9760000,2.49
2015-03-12,2.50,2.52,2.40,2.45,4659600,2.45
2015-03-11,2.37,2.54,2.30,2.49,10991300,2.49
2015-03-10,2.36,2.38,2.32,2.34,3269400,2.34
2015-03-09,2.37,2.41,2.31,2.39,7834000,2.39
2015-03-06,2.38,2.42,2.28,2.33,11297000,2.33
2015-03-05,2.34,2.41,2.30,2.35,11557700,2.35
2015-03-04,2.42,2.43,2.26,2.30,23788300,2.30
2015-03-03,2.49,2.50,2.38,2.41,11666800,2.41
2015-03-02,2.62,2.64,2.42,2.43,13032900,2.43
2015-02-27,2.59,2.60,2.50,2.60,23919600,2.60
2015-02-26,2.64,2.64,2.57,2.61,8904800,2.61
2015-02-25,2.60,2.65,2.54,2.60,15022100,2.60
2015-02-24,2.38,2.52,2.36,2.50,16913400,2.50
2015-02-23,2.42,2.42,2.30,2.35,14932400,2.35
2015-02-20,2.30,2.55,2.30,2.40,36776900,2.40
2015-02-19,2.55,2.55,2.44,2.45,8131800,2.45
2015-02-18,2.57,2.62,2.52,2.52,8928600,2.52
2015-02-17,2.57,2.58,2.47,2.53,13171600,2.53
2015-02-13,2.72,2.74,2.56,2.58,14854000,2.58
2015-02-12,2.67,2.79,2.50,2.69,40853600,2.69
2015-02-11,2.90,3.05,2.89,3.04,11617300,3.04
2015-02-10,2.89,2.94,2.87,2.90,3989300,2.90
2015-02-09,2.96,2.99,2.85,2.85,8466700,2.85
2015-02-06,2.96,2.99,2.92,2.93,4851700,2.93
2015-02-05,2.94,2.98,2.91,2.94,9986200,2.94
2015-02-04,3.00,3.02,2.93,2.94,9205900,2.94
2015-02-03,2.99,3.04,2.95,2.99,10032200,2.99
2015-02-02,2.95,3.01,2.93,2.94,8581800,2.94
2015-01-30,2.95,2.97,2.89,2.90,5652000,2.90
2015-01-29,2.88,2.94,2.87,2.93,5293300,2.93
2015-01-28,2.81,2.88,2.78,2.87,6346000,2.87
2015-01-27,2.81,2.82,2.76,2.79,4965400,2.79
2015-01-26,2.85,2.86,2.78,2.81,4545900,2.81
2015-01-23,2.85,2.90,2.80,2.80,9208100,2.80
2015-01-22,2.73,2.83,2.67,2.77,11883500,2.77
2015-01-21,2.86,2.95,2.61,2.64,23361800,2.64
2015-01-20,2.72,2.81,2.53,2.80,26920600,2.80
2015-01-19,2.95,2.95,2.64,2.71,17425700,2.71
2015-01-16,3.10,3.13,2.70,2.89,40600000,2.89
2015-01-15,3.40,3.50,2.99,3.07,64944600,3.07
2015-01-14,4.00,4.17,3.96,4.14,9095600,4.14
2015-01-13,3.94,4.06,3.94,4.04,5810600,4.04
2015-01-12,3.96,3.96,3.86,3.93,6318400,3.93
2015-01-09,4.10,4.13,3.87,3.92,15413200,3.92
2015-01-08,4.02,4.17,3.98,4.13,17620100,4.13
2015-01-07,4.09,4.14,3.97,3.99,5652400,3.99
2015-01-06,4.13,4.22,4.04,4.06,6671800,4.06
2015-01-05,4.16,4.24,4.11,4.11,4363700,4.11
2015-01-02,4.16,4.22,4.15,4.20,3095700,4.20
2014-12-31,4.11,4.17,4.10,4.15,3013100,4.15
2014-12-30,4.05,4.12,4.04,4.08,4232600,4.08
2014-12-29,4.00,4.07,3.98,4.04,1920000,4.04
2014-12-24,3.95,4.01,3.95,3.98,838000,3.98
2014-12-23,3.96,4.00,3.92,3.96,2854100,3.96
2014-12-22,3.96,4.00,3.91,3.91,2518500,3.91
2014-12-19,4.07,4.07,3.96,3.97,11285600,3.97
2014-12-18,4.05,4.08,3.99,4.02,4219100,4.02
2014-12-17,3.91,4.04,3.86,4.01,3939900,4.01
2014-12-16,3.96,4.01,3.89,3.90,4996300,3.90
2014-12-15,4.04,4.05,3.95,3.97,3171700,3.97
2014-12-12,4.02,4.09,3.98,4.04,3126300,4.04
2014-12-11,3.93,4.13,3.92,4.06,5520500,4.06
2014-12-10,4.01,4.04,3.92,3.96,6210200,3.96
2014-12-09,4.03,4.09,4.00,4.04,4555900,4.015
2014-12-08,4.15,4.20,4.06,4.09,3117700,4.064691
2014-12-05,4.11,4.25,4.10,4.20,3934700,4.17401
2014-12-04,4.35,4.38,4.13,4.14,8368000,4.114381
2014-12-03,4.32,4.39,4.32,4.35,6716200,4.323082
2014-12-02,4.39,4.41,4.30,4.34,4227100,4.313144
2014-12-01,4.37,4.43,4.37,4.39,8049200,4.362834
2014-11-28,4.35,4.42,4.35,4.36,6020600,4.33302
2014-11-27,4.37,4.40,4.35,4.35,2285200,4.323082
2014-11-26,4.38,4.40,4.35,4.38,3048300,4.352896
2014-11-25,4.26,4.40,4.25,4.40,7486100,4.372772
2014-11-24,4.25,4.34,4.24,4.26,5985200,4.233639
2014-11-21,4.28,4.30,4.21,4.28,5594100,4.253515
2014-11-20,4.18,4.30,4.17,4.29,13620800,4.263453
2014-11-19,4.09,4.19,4.09,4.18,7425300,4.154134
2014-11-18,4.08,4.10,4.07,4.10,3982300,4.074629
2014-11-17,4.05,4.10,4.03,4.08,2915300,4.054752
2014-11-14,4.06,4.09,4.05,4.06,2282600,4.034876
2014-11-13,4.08,4.11,4.01,4.05,5818300,4.024938
2014-11-12,4.00,4.09,3.99,4.07,5868200,4.044815
2014-11-10,3.92,4.09,3.91,4.03,10092600,4.005062
2014-11-07,3.85,3.92,3.82,3.91,4458900,3.885805
2014-11-06,3.81,3.86,3.80,3.82,3759200,3.796361
2014-11-05,3.76,3.83,3.74,3.80,4834400,3.776485
2014-11-04,3.77,3.83,3.75,3.75,3247200,3.726795
2014-11-03,3.74,3.79,3.72,3.77,4649000,3.746671
2014-10-31,3.83,3.84,3.71,3.71,10397800,3.687042
2014-10-30,3.87,3.92,3.75,3.81,8203000,3.786423
2014-10-29,3.89,3.94,3.87,3.87,6089100,3.846052
2014-10-28,3.88,3.94,3.88,3.90,5288700,3.875867
2014-10-27,3.83,3.95,3.80,3.89,7261000,3.865928
2014-10-24,3.75,3.85,3.74,3.83,8225900,3.8063
2014-10-23,3.65,3.79,3.64,3.78,7615200,3.756609
2014-10-22,3.62,3.67,3.56,3.63,4472200,3.607537
2014-10-21,3.64,3.70,3.61,3.61,3872800,3.587661
2014-10-20,3.56,3.65,3.56,3.64,3489800,3.617475
2014-10-17,3.50,3.60,3.48,3.58,4916200,3.557847
2014-10-16,3.45,3.58,3.41,3.54,5782600,3.518094
2014-10-15,3.58,3.63,3.45,3.51,6943800,3.48828
2014-10-14,3.50,3.66,3.46,3.60,9647600,3.577723
2014-10-10,3.53,3.57,3.50,3.52,3308000,3.498218
2014-10-09,3.60,3.62,3.54,3.56,3032700,3.53797
2014-10-08,3.61,3.65,3.51,3.60,6345200,3.577723
2014-10-07,3.58,3.69,3.58,3.60,5935600,3.577723
