Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,53.18,54.110001,53.02,53.880001,1381700,52.598115
2015-04-30,54.549999,54.599998,53.189999,53.189999,1744200,51.924529
2015-04-29,54.18,54.310001,53.860001,54.150002,1074000,52.861692
2015-04-28,54.610001,54.610001,54.02,54.369999,1036400,53.076456
2015-04-27,54.810001,54.810001,54.200001,54.57,881500,53.271698
2015-04-24,54.700001,54.830002,54.450001,54.66,623000,53.359557
2015-04-23,54.43,54.689999,54.310001,54.639999,882700,53.340032
2015-04-22,54.25,54.43,54.049999,54.43,661500,53.135029
2015-04-21,54.189999,54.50,54.130001,54.279999,781700,52.988597
2015-04-20,54.099998,54.540001,53.830002,54.02,1277100,52.734784
2015-04-17,53.810001,54.029999,53.189999,53.970001,3016000,52.685974
2015-04-16,54.549999,54.799999,53.82,53.98,1701800,52.695735
2015-04-15,55.779999,55.889999,54.650002,54.650002,1779500,53.349796
2015-04-14,55.299999,55.650002,55.240002,55.509998,1179200,54.189333
2015-04-13,55.200001,55.349998,54.91,55.349998,1360300,54.033139
2015-04-10,54.59,55.009998,54.470001,54.939999,909900,53.632894
2015-04-09,54.650002,55.139999,54.419998,54.66,1084000,53.359557
2015-04-08,54.009998,54.73,53.93,54.59,1325300,53.291223
2015-04-07,53.860001,54.400002,53.849998,54.009998,942500,52.72502
2015-04-06,53.59,54.240002,53.549999,53.700001,1281600,52.422398
2015-04-02,53.389999,54.200001,53.349998,53.880001,1039800,52.598115
2015-04-01,53.50,53.630001,53.189999,53.400002,1093300,52.129536
2015-03-31,53.84,53.889999,53.509998,53.619999,1219700,52.344299
2015-03-30,53.799999,54.57,53.73,54.00,1151000,52.715259
2015-03-27,53.360001,54.00,53.07,53.77,1248700,52.490732
2015-03-26,53.450001,53.82,52.950001,53.34,1665800,52.070962
2015-03-25,54.299999,54.32,53.50,53.50,1792900,52.227155
2015-03-24,53.119999,54.16,53.119999,54.139999,1644500,52.851928
2015-03-23,52.91,53.439999,52.66,53.18,1021900,51.914769
2015-03-20,53.59,53.700001,52.990002,52.990002,4275700,51.72929
2015-03-19,53.57,53.779999,53.450001,53.73,1573000,52.451683
2015-03-18,54.00,54.009998,53.139999,53.529999,1512100,52.25644
2015-03-17,53.310001,53.84,52.889999,53.790001,1419400,52.510257
2015-03-16,53.150002,54.099998,53.130001,53.389999,1431800,52.119772
2015-03-13,53.009998,53.259998,52.669998,53.080002,1190900,51.817149
2015-03-12,52.990002,53.220001,52.610001,53.099998,1476300,51.83667
2015-03-11,53.380001,53.799999,53.009998,53.380001,1901200,51.475473
2015-03-10,53.599998,53.599998,53.07,53.240002,1808400,51.340468
2015-03-09,54.299999,54.459999,53.610001,53.689999,1843700,51.77441
2015-03-06,55.049999,55.27,54.130001,54.240002,2185400,52.30479
2015-03-05,55.34,55.57,54.990002,55.099998,1606700,53.134103
2015-03-04,54.32,55.419998,54.299999,55.110001,2122900,53.143748
2015-03-03,54.75,54.75,54.279999,54.549999,1515700,52.603727
2015-03-02,54.830002,55.049999,54.650002,54.75,1769100,52.796592
2015-02-27,55.00,55.630001,54.709999,54.709999,8065800,52.758018
2015-02-26,55.00,55.490002,54.75,55.049999,1788700,53.085888
2015-02-25,55.220001,55.25,54.68,54.93,1565000,52.97017
2015-02-24,55.950001,56.189999,55.209999,55.209999,1750300,53.240179
2015-02-23,55.900002,56.360001,55.709999,55.860001,1379600,53.866989
2015-02-20,55.48,56.09,55.18,55.950001,1666900,53.953778
2015-02-19,55.509998,55.810001,55.27,55.34,1459600,53.365542
2015-02-18,55.57,55.790001,55.080002,55.630001,1484300,53.645196
2015-02-17,55.700001,56.09,55.509998,55.57,1391400,53.587335
2015-02-13,55.790001,55.900002,55.50,55.799999,1364000,53.809129
2015-02-12,56.59,56.59,54.880001,55.77,2937900,53.7802
2015-02-11,55.990002,56.650002,55.73,56.119999,1544700,54.117711
2015-02-10,55.200001,56.119999,55.049999,55.68,2243500,53.693411
2015-02-09,58.700001,58.75,54.27,54.799999,4097400,52.844807
2015-02-06,58.700001,58.75,56.299999,56.740002,2853900,54.715593
2015-02-05,59.150002,60.200001,58.790001,58.970001,1612300,56.866029
2015-02-04,57.880001,59.110001,57.880001,58.790001,1654700,56.692451
2015-02-03,58.459999,58.73,57.77,57.880001,1609600,55.814919
2015-02-02,58.689999,58.869999,58.02,58.48,1116800,56.39351
2015-01-30,58.23,59.279999,58.07,58.360001,1781600,56.277793
2015-01-29,57.91,58.50,57.34,58.310001,1846900,56.229577
2015-01-28,57.93,58.580002,57.77,57.900002,1234200,55.834206
2015-01-27,57.369999,57.959999,57.16,57.779999,1518400,55.718484
2015-01-26,58.27,58.41,57.59,57.869999,1362800,55.805273
2015-01-23,58.650002,59.099998,58.439999,58.57,1446100,56.480299
2015-01-22,57.59,59.02,57.580002,58.650002,1823300,56.557447
2015-01-21,57.25,58.279999,56.860001,57.529999,1752900,55.477404
2015-01-20,57.400002,57.830002,57.209999,57.41,1801500,55.361687
2015-01-19,56.799999,57.169998,56.27,57.049999,595100,55.01453
2015-01-16,55.119999,57.310001,55.119999,56.900002,2362900,54.869884
2015-01-15,55.299999,55.43,54.529999,55.169998,1254500,53.201605
2015-01-14,55.029999,55.720001,54.830002,55.139999,1412800,53.172677
2015-01-13,55.00,55.799999,54.810001,55.299999,1388600,53.326968
2015-01-12,54.459999,54.939999,53.91,54.880001,1170200,52.921955
2015-01-09,54.650002,54.889999,54.040001,54.349998,844100,52.410862
2015-01-08,54.50,55.349998,54.380001,54.810001,1245800,52.854453
2015-01-07,53.799999,54.68,53.709999,54.400002,2322600,52.459081
2015-01-06,53.009998,53.93,52.860001,53.490002,1626400,51.581549
2015-01-05,53.549999,53.689999,52.810001,53.099998,1459000,51.20546
2015-01-02,53.400002,53.790001,53.32,53.709999,928000,51.793697
2014-12-31,53.59,53.599998,53.119999,53.279999,498300,51.379039
2014-12-30,53.700001,53.900002,53.240002,53.450001,582100,51.542975
2014-12-29,53.50,53.98,53.43,53.689999,997700,51.77441
2014-12-24,53.400002,53.599998,53.27,53.419998,318100,51.514043
2014-12-23,53.360001,53.639999,53.220001,53.41,821900,51.504401
2014-12-22,53.099998,53.57,53.080002,53.349998,1074200,51.446541
2014-12-19,53.50,53.50,52.759998,53.02,5835500,51.128317
2014-12-18,52.970001,53.09,52.189999,52.970001,1944200,51.080101
2014-12-17,52.400002,52.700001,51.82,52.610001,1513500,50.732945
2014-12-16,51.369999,52.73,51.360001,52.349998,2005200,50.482219
2014-12-15,51.50,52.18,51.220001,51.759998,1803700,49.91327
2014-12-12,51.91,52.060001,51.139999,51.650002,1627600,49.807197
2014-12-11,50.970001,52.389999,50.919998,52.23,1738900,50.366502
2014-12-10,52.169998,52.209999,51.09,51.50,1618900,49.066599
2014-12-09,51.830002,52.200001,51.419998,52.18,1458700,49.714469
2014-12-08,52.25,52.50,51.529999,52.09,1657100,49.628721
2014-12-05,52.130001,52.549999,51.509998,52.240002,1322400,49.771635
2014-12-04,52.68,52.709999,51.82,52.049999,1774800,49.59061
2014-12-03,52.689999,52.830002,52.209999,52.77,1200000,50.276591
2014-12-02,53.259998,53.639999,52.380001,52.709999,1941500,50.219425
2014-12-01,53.50,53.849998,53.00,53.209999,1839100,50.6958
2014-11-28,53.279999,53.93,53.200001,53.34,1333000,50.819658
2014-11-27,53.00,53.330002,52.93,53.330002,689600,50.810132
2014-11-26,52.560001,53.09,52.560001,52.869999,1094200,50.371865
2014-11-25,52.880001,52.970001,52.450001,52.599998,1998900,50.114622
2014-11-24,53.389999,53.599998,52.84,52.93,1656900,50.429031
2014-11-21,53.32,53.349998,52.900002,53.32,1416900,50.800603
2014-11-20,53.869999,54.16,52.959999,53.220001,1831300,50.705329
2014-11-19,54.209999,54.23,53.68,54.060001,1367300,51.505639
2014-11-18,53.50,54.240002,53.50,54.209999,1494000,51.648549
2014-11-17,52.84,53.740002,52.84,53.50,1614600,50.972098
2014-11-14,52.73,52.98,52.439999,52.869999,1219000,50.371865
2014-11-13,52.470001,52.84,52.279999,52.73,1245900,50.23848
2014-11-12,51.799999,52.25,51.75,52.25,1450300,49.781161
2014-11-10,51.040001,51.970001,50.98,51.73,1337700,49.285731
2014-11-07,50.560001,51.02,50.560001,50.98,1251000,48.571169
2014-11-06,51.00,51.73,50.540001,50.939999,1685400,48.533058
2014-11-05,51.09,51.66,51.080002,51.080002,1941800,48.666446
2014-11-04,50.32,51.119999,50.220001,51.060001,1851600,48.64739
2014-11-03,50.029999,50.400002,49.830002,50.18,1640400,47.80897
2014-10-31,49.900002,50.389999,49.849998,50.049999,1703500,47.685111
2014-10-30,49.299999,49.779999,49.25,49.759998,1220100,47.408813
2014-10-29,49.389999,49.529999,49.189999,49.299999,1096500,46.970549
2014-10-28,49.009998,49.470001,48.93,49.310001,1356800,46.980079
2014-10-27,48.450001,49.139999,48.43,49.110001,1473100,46.789528
2014-10-24,48.279999,48.740002,48.09,48.59,908200,46.294098
2014-10-23,48.34,48.419998,48.080002,48.32,1085500,46.036855
2014-10-22,48.25,48.279999,47.700001,48.09,1262300,45.817723
2014-10-21,47.900002,48.310001,47.509998,48.25,1228700,45.970163
2014-10-20,47.290001,47.950001,47.110001,47.889999,1226800,45.627173
2014-10-17,47.189999,47.48,46.860001,47.330002,1621700,45.093635
2014-10-16,46.490002,47.529999,46.459999,47.18,1407300,44.950721
2014-10-15,47.41,47.669998,46.43,47.119999,1820000,44.893555
2014-10-14,47.290001,47.950001,47.290001,47.740002,1725700,45.484262
2014-10-10,48.099998,48.470001,47.650002,47.669998,1503700,45.417566
2014-10-09,48.02,48.25,47.799999,48.240002,1620900,45.960637
2014-10-08,47.84,48.25,47.82,48.139999,1115000,45.86536
2014-10-07,48.389999,48.48,47.959999,47.959999,1750400,45.693865
2014-10-06,48.360001,48.720001,48.25,48.279999,1104300,45.998744
2014-10-03,48.150002,48.470001,48.00,48.27,1571000,45.989218
2014-10-02,47.799999,48.18,47.619999,48.18,1871000,45.903471
2014-10-01,47.549999,48.029999,47.50,47.84,2310100,45.579536
2014-09-30,48.279999,48.279999,47.75,47.889999,2746300,45.627173
2014-09-29,47.849998,48.43,47.389999,48.43,5697700,46.141658
2014-09-26,47.299999,48.080002,47.27,47.799999,3153200,45.541425
2014-09-25,48.189999,48.209999,47.330002,47.330002,3544600,45.093635
2014-09-24,47.849998,48.110001,47.439999,48.060001,1692500,45.789142
2014-09-23,47.68,48.009998,47.650002,47.77,1022500,45.512844
2014-09-22,47.459999,47.91,47.380001,47.66,1328800,45.408041
2014-09-19,47.98,48.150002,47.380001,47.380001,3694200,45.141272
2014-09-18,48.00,48.200001,47.849998,48.09,1034900,45.817723
2014-09-17,48.060001,48.200001,47.849998,47.93,944600,45.665283
2014-09-16,48.209999,48.290001,47.849998,48.099998,1466200,45.827249
2014-09-15,48.349998,48.529999,48.09,48.25,1115700,45.970163
2014-09-12,48.549999,48.599998,48.25,48.34,1234000,46.055911
2014-09-11,48.720001,48.84,48.50,48.529999,1398300,46.236932
2014-09-10,49.279999,49.41,49.23,49.34,1242400,46.419861
2014-09-09,49.23,49.43,49.07,49.279999,2869300,46.363411
2014-09-08,49.25,49.310001,49.150002,49.150002,2385800,46.241107
2014-09-05,49.34,49.349998,49.16,49.189999,1460200,46.278737
2014-09-04,49.369999,49.419998,49.16,49.279999,717600,46.363411
2014-09-03,49.25,49.360001,49.09,49.279999,987900,46.363411
2014-09-02,49.00,49.209999,48.849998,49.189999,792700,46.278737
2014-08-29,48.950001,49.060001,48.740002,48.950001,1208900,46.052943
2014-08-28,48.799999,48.970001,48.75,48.869999,752200,45.977676
2014-08-27,48.759998,48.98,48.75,48.849998,577400,45.958859
2014-08-26,48.650002,49.00,48.650002,48.810001,822200,45.92123
2014-08-25,48.599998,48.799999,48.529999,48.720001,731000,45.836556
2014-08-22,48.630001,48.759998,48.450001,48.599998,574700,45.723655
2014-08-21,48.630001,48.799999,48.50,48.630001,621700,45.751882
2014-08-20,48.349998,48.619999,48.259998,48.610001,1330500,45.733066
2014-08-19,48.330002,48.459999,48.18,48.400002,1005700,45.535495
2014-08-18,48.419998,48.48,48.18,48.209999,777400,45.356738
2014-08-15,48.540001,48.700001,48.07,48.290001,856900,45.432005
2014-08-14,48.34,48.57,48.220001,48.57,651900,45.695432
2014-08-13,48.450001,48.52,48.139999,48.23,1158400,45.375555
2014-08-12,48.419998,48.650002,48.25,48.400002,2256600,45.535495
2014-08-11,48.169998,48.450001,48.169998,48.41,829400,45.544902
2014-08-08,48.599998,48.689999,48.049999,48.209999,984800,45.356738
2014-08-07,49.049999,49.080002,48.27,48.57,1365200,45.695432
