Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,66.519997,67.080002,66.300003,66.82,1346800,65.327508
2015-04-30,67.00,67.239998,66.279999,66.529999,2284500,65.043984
2015-04-29,66.93,67.440002,66.870003,67.279999,1387000,65.777232
2015-04-28,66.809998,67.400002,66.639999,67.339996,1463400,65.83589
2015-04-27,66.970001,67.089996,66.510002,66.93,1625300,65.435051
2015-04-24,66.82,67.160004,66.639999,66.910004,1060300,65.415501
2015-04-23,66.019997,67.00,66.019997,66.839996,1456300,65.347058
2015-04-22,66.599998,66.599998,65.699997,66.559998,1163600,65.073313
2015-04-21,66.440002,66.690002,66.209999,66.599998,2092400,65.11242
2015-04-20,66.150002,66.489998,66.00,66.260002,1530300,64.780018
2015-04-17,65.599998,66.07,65.220001,65.879997,1688500,64.408501
2015-04-16,65.279999,65.800003,64.919998,65.730003,2102700,64.261858
2015-04-15,64.75,65.68,64.720001,65.43,2211300,63.968555
2015-04-14,64.449997,64.849998,64.160004,64.660004,1902000,63.215757
2015-04-13,64.510002,64.68,64.169998,64.440002,1357300,63.00067
2015-04-10,64.339996,64.50,64.139999,64.410004,2610400,62.971341
2015-04-09,63.599998,64.379997,63.599998,64.220001,1746800,62.785583
2015-04-08,63.75,63.98,63.48,63.689999,1662200,62.267418
2015-04-07,63.279999,63.959999,63.27,63.779999,1660500,62.355408
2015-04-06,62.950001,63.619999,62.799999,63.139999,1610600,61.729704
2015-04-02,62.869999,63.380001,62.810001,63.09,1819000,61.680822
2015-04-01,63.470001,63.720001,62.950001,63.459999,1944800,61.377746
2015-03-31,62.57,63.740002,62.34,63.540001,3756100,61.455123
2015-03-30,62.48,63.130001,62.25,62.709999,2772600,60.652355
2015-03-27,62.66,63.029999,61.900002,62.32,2085900,60.275152
2015-03-26,62.75,63.09,62.259998,62.689999,2372300,60.633011
2015-03-25,63.889999,64.269997,62.759998,62.799999,2900300,60.739402
2015-03-24,63.700001,64.099998,63.380001,63.889999,1900400,61.793637
2015-03-23,63.639999,64.190002,63.400002,63.75,1635200,61.658231
2015-03-20,63.299999,63.75,63.150002,63.459999,6606300,61.377746
2015-03-19,63.330002,63.459999,62.720001,63.060001,2889300,60.990873
2015-03-18,63.25,63.470001,62.639999,63.080002,2023300,61.010217
2015-03-17,63.720001,63.740002,62.560001,63.330002,1907600,61.252014
2015-03-16,62.950001,64.220001,62.830002,63.75,2054400,61.658231
2015-03-13,63.049999,63.169998,62.209999,62.849998,1827100,60.787761
2015-03-12,62.82,63.639999,62.810001,63.240002,1661600,61.164967
2015-03-11,63.00,63.110001,62.52,62.740002,2507500,60.681373
2015-03-10,64.199997,64.220001,62.619999,62.619999,2882800,60.565308
2015-03-09,64.660004,64.93,64.379997,64.540001,1364000,62.422311
2015-03-06,65.18,65.629997,64.150002,64.629997,2245100,62.509354
2015-03-05,65.260002,65.879997,65.169998,65.18,1858300,63.04131
2015-03-04,65.50,65.650002,64.709999,65.169998,2341200,63.031636
2015-03-03,66.699997,66.849998,65.57,65.779999,2453800,63.621622
2015-03-02,66.860001,67.059998,66.480003,66.93,1853000,64.733889
2015-02-27,66.400002,67.489998,66.400002,66.809998,2916200,64.617824
2015-02-26,66.129997,67.510002,66.080002,66.57,2415300,64.385701
2015-02-25,65.510002,66.160004,65.160004,65.82,1916400,63.66031
2015-02-24,65.209999,65.559998,64.760002,65.220001,2701500,63.079999
2015-02-23,66.089996,66.18,65.290001,65.919998,1799400,63.757027
2015-02-20,66.360001,66.459999,65.739998,66.25,1721500,64.076201
2015-02-19,66.239998,66.559998,65.400002,66.360001,1743800,64.182592
2015-02-18,67.230003,67.330002,66.349998,66.389999,2129800,64.211607
2015-02-17,67.029999,67.720001,66.75,67.370003,1872300,65.159454
2015-02-13,66.849998,67.279999,66.739998,67.199997,2304600,64.995027
2015-02-12,66.239998,66.610001,65.870003,66.519997,2064200,64.337339
2015-02-11,65.690002,66.239998,65.32,65.870003,1897100,63.708672
2015-02-10,66.00,66.099998,64.949997,65.50,1953700,63.35081
2015-02-09,65.099998,66.110001,64.849998,65.470001,1608700,63.321796
2015-02-06,65.099998,65.900002,64.849998,65.129997,2514600,62.992948
2015-02-05,63.689999,64.779999,63.470001,64.599998,1770100,62.48034
2015-02-04,63.91,64.370003,63.25,63.43,1750000,61.348731
2015-02-03,62.470001,64.370003,62.119999,63.84,2806000,61.745278
2015-02-02,61.580002,62.700001,61.299999,62.049999,2493400,60.014011
2015-01-30,61.799999,61.91,60.810001,61.060001,4422700,59.056497
2015-01-29,62.50,62.689999,61.400002,62.48,2218300,60.429902
2015-01-28,63.799999,63.799999,62.509998,62.52,1882400,60.468591
2015-01-27,63.200001,63.43,62.540001,63.220001,2374600,61.145623
2015-01-26,64.129997,64.279999,63.299999,63.490002,1388400,61.406764
2015-01-23,64.230003,64.660004,63.82,63.82,1872400,61.725934
2015-01-22,63.240002,64.050003,63.130001,63.779999,3146000,61.687246
2015-01-21,61.400002,63.150002,61.330002,62.790001,3916700,60.729732
2015-01-20,61.599998,62.049999,61.43,61.639999,3057700,59.617464
2015-01-19,61.93,61.93,61.080002,61.650002,929500,59.627138
2015-01-16,61.110001,62.02,60.970001,61.619999,2969000,59.59812
2015-01-15,61.950001,62.450001,61.119999,61.34,3069200,59.327308
2015-01-14,61.110001,61.75,60.75,61.650002,3720400,59.627138
