Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,13.29,13.49,13.15,13.18,3710500,13.013063
2015-04-30,13.00,13.34,12.84,13.11,5860500,12.943949
2015-04-29,12.02,12.97,12.01,12.66,3349700,12.499648
2015-04-28,12.54,12.66,12.06,12.22,3363700,12.065222
2015-04-27,13.00,13.09,12.55,12.60,2186000,12.440409
2015-04-24,12.98,13.11,12.81,12.88,1932200,12.716862
2015-04-23,12.56,13.00,12.55,12.93,2388400,12.766229
2015-04-22,12.76,12.88,12.41,12.59,2053300,12.430535
2015-04-21,13.36,13.36,12.47,12.69,2383000,12.529268
2015-04-20,12.89,13.38,12.88,13.20,2244500,13.032809
2015-04-17,12.73,13.06,12.61,12.96,3413500,12.795849
2015-04-16,12.71,13.15,12.38,12.96,5001500,12.795849
2015-04-15,12.22,13.04,12.21,12.84,7990100,12.677369
2015-04-14,11.43,12.14,11.42,12.07,4303000,11.917121
2015-04-13,11.70,11.75,11.20,11.37,2181900,11.225988
2015-04-10,11.36,11.64,11.34,11.56,2716000,11.413582
2015-04-09,10.84,11.37,10.83,11.25,3365000,11.107508
2015-04-08,11.39,11.50,10.71,10.77,3509400,10.633588
2015-04-07,11.21,11.73,11.00,11.38,3249400,11.235861
2015-04-06,11.00,11.51,10.99,11.31,3526100,11.166748
2015-04-02,10.13,10.94,10.11,10.79,4430700,10.653334
2015-04-01,9.88,10.37,9.88,10.21,2896400,10.08068
2015-03-31,9.79,10.03,9.70,9.85,2399300,9.72524
2015-03-30,9.82,10.04,9.75,9.83,2719500,9.705493
2015-03-27,9.84,9.95,9.60,9.84,3201900,9.715367
2015-03-26,9.94,10.12,9.61,9.91,4308700,9.78448
2015-03-25,9.87,9.87,9.31,9.57,4452400,9.448786
2015-03-24,9.76,9.86,9.64,9.76,2500000,9.63638
2015-03-23,9.64,10.05,9.58,9.63,3170900,9.508027
2015-03-20,9.52,10.07,9.40,9.85,11879900,9.72524
2015-03-19,9.36,9.45,9.21,9.26,2821900,9.142713
2015-03-18,8.75,9.82,8.73,9.70,3689500,9.57714
2015-03-17,8.60,9.25,8.58,9.02,2880200,8.905753
2015-03-16,9.20,9.25,8.71,8.87,4618300,8.757653
2015-03-13,9.45,9.64,9.21,9.48,3084600,9.359926
2015-03-12,9.63,9.83,9.46,9.56,3690500,9.438914
2015-03-11,9.13,9.55,9.12,9.46,2339700,9.34018
2015-03-10,9.68,9.78,9.15,9.15,3528600,9.034106
2015-03-09,10.50,10.57,9.84,9.86,2820500,9.735113
2015-03-06,10.57,10.82,10.43,10.49,2080300,10.357134
2015-03-05,10.96,11.06,10.69,10.70,2353700,10.564474
2015-03-04,11.24,11.25,10.83,11.08,2908200,10.939661
2015-03-03,10.90,11.26,10.82,11.24,2695700,11.097634
2015-03-02,11.13,11.15,10.41,10.80,3494000,10.663208
2015-02-27,11.10,11.34,10.95,11.21,4256800,11.068014
2015-02-26,11.52,11.60,10.84,10.93,2878500,10.791561
2015-02-25,11.40,11.79,11.23,11.68,2991800,11.532062
2015-02-24,11.23,11.50,11.06,11.50,3314900,11.354341
2015-02-23,10.80,11.23,10.78,11.10,2516000,10.959408
2015-02-20,11.01,11.45,10.95,11.03,2069900,10.890294
2015-02-19,10.80,11.34,10.74,11.15,3542500,11.008774
2015-02-18,11.46,11.86,11.21,11.35,3667300,11.206241
2015-02-17,11.74,12.14,11.38,11.88,2651800,11.680161
2015-02-13,12.25,12.30,11.84,11.95,3442700,11.748984
2015-02-12,11.99,12.31,11.81,11.93,4987800,11.72932
2015-02-11,10.78,11.52,10.70,11.50,6579600,11.306553
2015-02-10,11.32,11.81,10.96,11.08,7540800,10.893618
2015-02-09,10.35,11.68,10.12,11.55,8038500,11.355713
2015-02-06,10.35,10.47,10.12,10.47,5175500,10.29388
2015-02-05,10.60,10.80,9.81,10.19,7252500,10.018589
2015-02-04,10.83,11.03,10.15,10.60,10807700,10.421693
2015-02-03,10.75,11.52,10.60,11.39,13606500,11.198404
2015-02-02,8.90,9.83,8.62,9.45,15587800,9.291037
2015-01-30,6.05,8.23,6.01,7.85,22236300,7.717952
2015-01-29,7.28,7.28,6.45,6.51,6644900,6.400493
2015-01-28,7.70,7.72,6.90,7.01,9734900,6.892082
2015-01-27,8.01,8.09,7.76,7.82,5150300,7.688456
2015-01-26,7.85,8.17,7.63,8.10,6008700,7.963747
2015-01-23,7.70,8.14,7.64,7.93,4316000,7.796606
2015-01-22,7.74,7.84,7.48,7.71,4658300,7.580307
2015-01-21,7.50,7.95,7.43,7.67,4334700,7.54098
2015-01-20,7.86,7.86,7.28,7.41,6043200,7.285353
2015-01-19,8.32,8.32,7.85,7.96,1582700,7.826101
2015-01-16,7.91,8.54,7.80,8.27,4825800,8.130887
2015-01-15,8.20,8.42,7.56,7.64,4410400,7.511484
2015-01-14,7.32,8.04,7.15,7.96,5178400,7.826101
2015-01-13,7.34,7.58,7.10,7.44,3936800,7.314849
2015-01-12,7.95,8.01,7.28,7.37,4399000,7.246026
2015-01-09,7.99,8.17,7.90,8.09,3811000,7.953915
2015-01-08,8.22,8.27,7.74,7.94,4599700,7.806438
2015-01-07,8.74,8.75,7.97,7.99,5185400,7.855596
2015-01-06,8.94,8.94,8.42,8.46,4112100,8.317691
2015-01-05,10.10,10.17,8.88,8.93,5341200,8.779785
2015-01-02,10.35,10.55,10.21,10.33,2654900,10.156234
2014-12-31,10.40,10.50,10.20,10.42,2382200,10.244721
2014-12-30,10.61,10.66,10.39,10.50,2277800,10.323375
2014-12-29,10.73,11.04,10.65,10.69,2246000,10.510178
2014-12-24,10.93,10.93,10.51,10.76,1500200,10.579001
2014-12-23,10.92,11.10,10.65,11.02,2684700,10.834628
2014-12-22,11.40,11.41,10.89,10.90,3452700,10.716646
2014-12-19,10.99,11.67,10.89,11.37,7020300,11.17874
2014-12-18,10.80,11.38,10.43,10.75,7562100,10.569169
2014-12-17,9.08,10.35,8.99,9.74,6635900,9.576159
2014-12-16,8.30,9.42,8.20,8.99,6707200,8.838775
2014-12-15,9.01,9.15,8.46,8.60,5575700,8.455336
2014-12-12,9.10,9.35,8.68,9.05,4205800,8.897766
2014-12-11,9.37,9.68,9.20,9.37,5420600,9.212383
2014-12-10,9.86,9.87,9.21,9.37,6280800,9.212383
2014-12-09,10.15,10.24,9.89,10.10,5644200,9.930104
2014-12-08,11.00,11.03,10.00,10.05,5845600,9.880945
2014-12-05,10.96,11.44,10.69,11.21,10121200,11.021432
2014-12-04,11.50,11.59,10.72,10.98,12679400,10.7953
2014-12-03,13.45,13.87,13.05,13.13,4650100,12.909135
2014-12-02,13.74,13.95,13.27,13.40,6664900,13.174592
2014-12-01,14.18,14.56,13.31,13.80,5248600,13.567864
2014-11-28,14.97,15.00,14.26,14.54,3760100,14.295416
2014-11-27,16.35,16.360001,15.03,15.27,2505000,15.013137
2014-11-26,17.10,17.10,16.41,16.450001,2548800,16.173288
2014-11-25,17.15,17.51,17.00,17.09,2406200,16.802522
2014-11-24,17.709999,17.709999,17.00,17.10,1610300,16.812354
2014-11-21,17.83,18.01,17.57,17.65,1731700,17.353101
2014-11-20,17.08,17.540001,17.02,17.469999,1747200,17.176129
2014-11-19,17.10,17.10,16.77,16.969999,2371400,16.684539
2014-11-18,17.25,17.469999,17.190001,17.379999,2437100,16.74353
2014-11-17,17.299999,17.40,17.08,17.18,2435800,16.550855
2014-11-14,17.00,17.35,16.85,17.34,2497400,16.704996
2014-11-13,17.360001,17.40,16.85,16.98,1633400,16.358178
2014-11-12,17.15,17.559999,16.870001,17.35,2569800,16.71463
2014-11-10,18.00,18.10,17.00,17.10,1951200,16.473785
2014-11-07,17.01,17.690001,16.959999,17.610001,2599400,16.965108
2014-11-06,16.93,17.17,16.65,16.91,2203600,16.290742
2014-11-05,16.27,16.93,16.16,16.790001,2706200,16.175138
2014-11-04,17.00,17.049999,16.030001,16.030001,4015600,15.442969
2014-11-03,17.950001,17.950001,17.040001,17.049999,2706200,16.425615
2014-10-31,17.27,17.67,17.16,17.66,2888200,17.013277
2014-10-30,17.219999,17.309999,17.01,17.09,1713500,16.464151
2014-10-29,17.50,17.67,17.209999,17.360001,1559700,16.724264
2014-10-28,17.10,17.42,16.889999,17.389999,1631000,16.753164
2014-10-27,17.700001,17.700001,16.889999,17.049999,2684100,16.425615
2014-10-24,17.92,17.950001,17.68,17.799999,1123300,17.148149
2014-10-23,17.940001,18.23,17.90,17.98,1538200,17.321558
2014-10-22,18.629999,18.65,17.68,17.709999,2693800,17.061445
2014-10-21,18.25,18.48,18.00,18.450001,2072900,17.774347
2014-10-20,18.00,18.129999,17.74,17.98,1662900,17.321558
2014-10-17,18.00,18.32,17.82,18.00,3551300,17.340826
2014-10-16,17.02,17.799999,17.00,17.629999,3429300,16.984375
2014-10-15,17.50,17.52,17.01,17.290001,4157000,16.656827
2014-10-14,18.299999,18.48,17.67,17.709999,2889900,17.061445
2014-10-10,18.790001,18.85,17.940001,18.299999,4491300,17.629839
2014-10-09,19.110001,19.24,18.860001,18.889999,2987900,18.198233
2014-10-08,19.049999,19.24,18.809999,19.15,3372000,18.448711
2014-10-07,19.59,19.60,19.10,19.15,2808300,18.448711
2014-10-06,20.110001,20.16,19.610001,19.629999,2359300,18.911133
2014-10-03,20.040001,20.10,19.75,20.01,2904300,19.277218
2014-10-02,20.07,20.09,19.57,20.08,2384600,19.344654
2014-10-01,20.73,20.74,20.059999,20.120001,2205100,19.38319
2014-09-30,20.85,20.889999,20.33,20.66,2784500,19.903414
2014-09-29,20.49,21.01,20.15,21.00,2893500,20.230963
2014-09-26,20.42,20.74,20.379999,20.58,1472600,19.826344
2014-09-25,20.799999,20.950001,20.42,20.450001,1704000,19.701105
2014-09-24,20.889999,21.120001,20.370001,20.84,1441700,20.076823
2014-09-23,20.799999,21.09,20.700001,20.91,1543200,20.144259
2014-09-22,20.91,20.91,20.52,20.82,1120600,20.057555
2014-09-19,21.450001,21.549999,20.76,20.91,3039600,20.144259
2014-09-18,21.790001,21.790001,21.41,21.50,793500,20.712653
2014-09-17,21.99,22.00,21.50,21.68,1343300,20.886061
2014-09-16,21.73,22.15,21.59,22.01,1892700,21.203977
2014-09-15,21.459999,21.790001,21.360001,21.77,1065000,20.972766
2014-09-12,21.50,21.52,21.32,21.469999,1117900,20.683751
2014-09-11,21.42,21.639999,21.27,21.549999,1730900,20.760821
2014-09-10,21.65,21.700001,21.360001,21.60,1160500,20.808991
2014-09-09,21.799999,21.940001,21.68,21.75,1377000,20.953498
2014-09-08,22.17,22.17,21.83,21.870001,888900,21.069104
2014-09-05,22.16,22.34,22.07,22.27,1131600,21.454455
2014-09-04,22.889999,22.99,22.18,22.24,1390700,21.425553
2014-09-03,22.75,22.98,22.66,22.879999,1144300,22.042115
2014-09-02,23.23,23.32,22.66,22.799999,1252300,21.965045
2014-08-29,23.35,23.43,23.129999,23.42,1204900,22.562341
2014-08-28,23.190001,23.440001,23.15,23.389999,1223100,22.533439
2014-08-27,23.23,23.27,23.00,23.15,763900,22.302228
2014-08-26,23.09,23.35,23.049999,23.16,757800,22.311862
2014-08-25,23.059999,23.10,22.860001,23.040001,724600,22.196258
2014-08-22,23.02,23.139999,22.91,23.01,1085800,22.167356
2014-08-21,23.00,23.190001,22.870001,23.139999,992700,22.292594
2014-08-20,22.98,22.99,22.73,22.950001,1304200,22.109553
2014-08-19,23.059999,23.309999,23.059999,23.24,1601800,22.05175
2014-08-18,23.17,23.200001,22.799999,23.00,1995700,21.824021
2014-08-15,23.00,23.16,22.719999,23.049999,2011200,21.871464
2014-08-14,23.129999,23.16,22.879999,23.00,1389400,21.824021
2014-08-13,23.309999,23.35,23.049999,23.059999,873200,21.880953
2014-08-12,23.35,23.40,23.209999,23.280001,1201300,22.089705
2014-08-11,23.629999,23.709999,23.459999,23.50,1081000,22.298456
2014-08-08,23.40,23.610001,23.280001,23.530001,1466400,22.326923
2014-08-07,23.360001,23.42,23.219999,23.35,1919000,22.156126
2014-08-06,23.450001,23.639999,23.18,23.18,1724500,21.994818
2014-08-05,23.379999,23.700001,23.290001,23.469999,2474000,22.26999
2014-08-01,23.25,23.60,23.16,23.34,2340800,22.146637
2014-07-31,23.90,23.90,23.17,23.290001,2608800,22.099194
2014-07-30,23.790001,24.08,23.73,24.059999,849600,22.829823
2014-07-29,23.74,23.879999,23.66,23.719999,649900,22.507207
2014-07-28,23.870001,23.92,23.690001,23.799999,685600,22.583117
2014-07-25,23.90,24.139999,23.780001,23.889999,740000,22.668515
2014-07-24,23.870001,24.10,23.870001,23.93,642300,22.706471
2014-07-23,23.889999,24.07,23.83,23.93,890300,22.706471
2014-07-22,23.65,23.950001,23.610001,23.809999,769300,22.592606
2014-07-21,23.780001,23.82,23.540001,23.639999,544800,22.431298
2014-07-18,23.50,24.17,23.40,23.780001,1910100,22.564141
2014-07-17,23.43,23.66,23.379999,23.49,1235500,22.288967
2014-07-16,23.26,23.60,23.26,23.440001,1056800,22.241525
2014-07-15,23.280001,23.34,22.879999,23.15,1265800,21.966351
2014-07-14,22.98,23.379999,22.98,23.370001,915300,22.175104
2014-07-11,23.309999,23.49,22.84,22.99,945900,21.814532
2014-07-10,23.40,23.43,23.190001,23.280001,931300,22.089705
2014-07-09,23.639999,23.639999,23.370001,23.60,599600,22.393344
2014-07-08,23.73,23.83,23.299999,23.58,1245000,22.374366
2014-07-07,24.07,24.10,23.690001,23.93,755200,22.706471
2014-07-04,24.059999,24.280001,23.950001,24.07,228300,22.839312
2014-07-03,24.18,24.299999,24.030001,24.190001,701100,22.953177
2014-07-02,24.24,24.370001,24.08,24.16,988900,22.924711
2014-06-30,24.15,24.33,23.93,24.18,828700,22.943688
2014-06-27,24.139999,24.35,24.10,24.27,774000,23.029087
2014-06-26,23.620001,24.120001,23.59,24.059999,974100,22.829823
2014-06-25,23.77,24.049999,23.58,23.65,1114200,22.440786
2014-06-24,24.40,24.43,23.719999,23.780001,1299200,22.564141
2014-06-23,24.49,24.60,24.35,24.41,1000600,23.161928
2014-06-20,24.389999,24.50,24.26,24.41,2710600,23.161928
2014-06-19,24.35,24.48,24.219999,24.27,908600,23.029087
2014-06-18,24.219999,24.32,24.110001,24.32,793500,23.07653
2014-06-17,24.41,24.41,24.139999,24.219999,612500,22.981642
2014-06-16,24.60,24.639999,24.110001,24.370001,1339000,23.123974
2014-06-13,23.950001,24.68,23.809999,24.66,1854300,23.399146
2014-06-12,23.50,23.91,23.48,23.90,1256600,22.678004
2014-06-11,23.440001,23.440001,23.15,23.389999,1136200,22.19408
2014-06-10,23.23,23.469999,23.200001,23.389999,1229200,22.19408
2014-06-09,23.10,23.34,23.10,23.219999,1459200,22.032772
2014-06-06,23.049999,23.09,22.969999,23.030001,642600,21.852488
2014-06-05,22.879999,23.139999,22.719999,22.889999,1686700,21.719645
2014-06-04,22.76,22.950001,22.58,22.879999,901500,21.710156
2014-06-03,22.75,22.950001,22.67,22.83,917600,21.662713
2014-06-02,22.76,22.889999,22.65,22.860001,701800,21.69118
2014-05-30,22.629999,22.83,22.49,22.809999,1537000,21.643735
2014-05-29,22.85,22.860001,22.43,22.629999,679500,21.472938
2014-05-28,22.629999,22.84,22.52,22.77,697700,21.605781
2014-05-27,22.959999,22.959999,22.549999,22.68,1312900,21.520383
2014-05-26,22.879999,22.98,22.780001,22.879999,158500,21.710156
2014-05-23,22.90,22.950001,22.75,22.82,581200,21.653224
2014-05-22,22.75,22.99,22.639999,22.93,1013400,21.7576
2014-05-21,22.57,22.85,22.559999,22.690001,1200100,21.529872
2014-05-20,23.25,23.280001,22.85,22.90,2014000,21.39703
2014-05-16,23.209999,23.309999,23.09,23.139999,1666500,21.621278
2014-05-15,23.309999,23.450001,22.90,23.15,2079600,21.630622
2014-05-14,23.379999,23.49,23.290001,23.42,963400,21.882902
2014-05-13,23.309999,23.309999,23.07,23.290001,1505300,21.761435
2014-05-12,22.83,23.190001,22.780001,23.120001,1856900,21.602592
2014-05-09,22.40,22.709999,22.35,22.700001,1232400,21.210157
2014-05-08,22.73,22.860001,22.309999,22.42,1213100,20.948534
2014-05-07,22.73,22.950001,22.530001,22.809999,1344700,21.312937
2014-05-06,22.65,22.75,22.42,22.639999,1972600,21.154094
2014-05-05,22.91,23.00,22.709999,22.950001,1792800,21.443749
2014-05-02,22.809999,23.059999,22.780001,23.02,1321100,21.509155
2014-05-01,23.40,23.450001,22.68,22.860001,3626900,21.359656
2014-04-30,23.59,23.84,23.299999,23.76,1123600,22.200587
2014-04-29,23.440001,23.90,23.40,23.639999,1444800,22.088462
2014-04-28,23.09,23.48,23.00,23.360001,1393400,21.82684
2014-04-25,23.32,23.50,22.75,23.25,3546600,21.724059
2014-04-24,24.299999,24.459999,24.110001,24.129999,967700,22.546302
2014-04-23,24.18,24.450001,24.059999,24.299999,1257400,22.705145
2014-04-22,23.99,24.209999,23.83,24.18,1379000,22.593022
2014-04-21,23.92,24.16,23.82,24.040001,1800400,22.462211
2014-04-17,23.389999,23.91,23.280001,23.83,2593300,22.265993
2014-04-16,22.860001,23.49,22.85,23.389999,1437300,21.85487
2014-04-15,22.65,22.959999,22.60,22.73,872300,21.238187
2014-04-14,22.67,23.059999,22.50,22.690001,1191200,21.200813
