Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,31.459999,31.65,31.059999,31.27,1278700,29.80454
2015-04-30,32.060001,32.150002,31.43,31.51,1240600,30.033292
2015-04-29,31.40,32.240002,31.280001,31.959999,878000,30.462202
2015-04-28,31.879999,32.029999,31.40,31.50,887100,30.02376
2015-04-27,32.32,32.400002,31.84,32.00,1193500,30.281107
2015-04-24,32.209999,32.50,31.90,32.099998,1531800,30.375734
2015-04-23,31.85,32.540001,31.84,32.290001,1009300,30.55553
2015-04-22,32.110001,32.16,31.389999,31.84,1096200,30.129702
2015-04-21,32.57,32.77,31.709999,32.009998,1185500,30.290568
2015-04-20,32.529999,32.970001,32.400002,32.470001,1420300,30.725862
2015-04-17,32.299999,32.57,31.860001,32.380001,1047200,30.640696
2015-04-16,32.549999,32.720001,31.76,32.369999,1449800,30.631231
2015-04-15,31.92,33.150002,31.82,32.529999,2858900,30.782637
2015-04-14,30.57,31.549999,30.57,31.459999,1355200,29.770112
2015-04-13,31.10,31.299999,30.40,30.549999,1421000,28.908994
2015-04-10,30.51,30.90,30.48,30.76,1057800,29.107714
2015-04-09,30.23,30.67,30.219999,30.49,1128700,28.852217
2015-04-08,31.190001,31.309999,30.15,30.190001,1538000,28.568332
2015-04-07,30.90,31.809999,30.75,31.309999,1987100,29.62817
2015-04-06,30.00,31.09,29.879999,30.799999,1872800,29.145565
2015-04-02,28.940001,29.90,28.85,29.84,1883000,28.237132
2015-04-01,28.35,29.27,28.219999,29.139999,1537300,27.574732
2015-03-31,28.50,28.82,28.200001,28.24,1302300,26.723077
2015-03-30,28.700001,29.33,28.58,28.76,1420800,27.215145
2015-03-27,29.25,29.43,28.67,28.77,1011500,27.224608
2015-03-26,30.10,30.25,29.34,29.48,1914100,27.678824
2015-03-25,29.60,29.92,29.200001,29.469999,1779500,27.669435
2015-03-24,29.309999,29.50,28.90,29.360001,1271900,27.566157
2015-03-23,28.809999,29.610001,28.68,29.110001,1403800,27.331431
2015-03-20,28.74,29.18,28.25,28.77,4513000,27.012205
2015-03-19,28.40,28.90,27.940001,28.209999,2047100,26.486418
2015-03-18,27.040001,28.83,27.02,28.74,2455800,26.984037
2015-03-17,26.98,27.58,26.57,27.370001,2130500,25.697743
2015-03-16,27.450001,27.620001,26.59,27.049999,3247400,25.397292
2015-03-13,28.00,28.030001,27.23,27.90,1906700,26.195359
2015-03-12,29.00,29.02,27.85,28.059999,2225500,26.345584
2015-03-11,28.639999,28.889999,28.01,28.209999,2446300,26.486418
2015-03-10,27.639999,28.059999,27.26,27.709999,2041300,26.016968
2015-03-09,29.01,29.17,27.99,28.07,2285200,26.354973
2015-03-06,29.639999,29.99,28.65,28.92,2103400,27.15304
2015-03-05,30.50,30.549999,29.83,29.860001,1502500,28.035608
2015-03-04,30.540001,30.950001,30.040001,30.549999,1508600,28.683449
2015-03-03,30.360001,30.889999,30.16,30.49,1391400,28.627115
2015-03-02,30.73,30.809999,30.200001,30.299999,1181300,28.448723
2015-02-27,31.10,31.49,30.85,30.85,1880100,28.96512
2015-02-26,31.40,31.709999,30.85,30.99,1310700,29.096566
2015-02-25,31.77,31.860001,31.15,31.76,1754200,29.819521
2015-02-24,31.60,31.879999,31.370001,31.870001,1802100,29.706852
2015-02-23,30.690001,31.530001,30.66,31.23,1703800,29.11029
2015-02-20,31.00,31.540001,30.66,31.00,2054500,28.895902
2015-02-19,31.25,31.49,30.73,30.77,2807200,28.681513
2015-02-18,32.349998,32.790001,31.809999,31.98,1600700,29.809385
2015-02-17,32.400002,33.02,32.009998,32.73,1872000,30.508479
2015-02-13,32.950001,33.169998,32.50,32.639999,1848300,30.424588
2015-02-12,32.299999,32.82,31.879999,32.50,2436300,30.294091
2015-02-11,31.00,31.940001,31.00,31.879999,2543300,29.716172
2015-02-10,32.50,32.50,31.02,31.700001,2119600,29.548391
2015-02-09,32.25,33.009998,31.950001,32.540001,1723300,30.331377
2015-02-06,32.25,32.450001,31.950001,32.200001,1572700,30.014454
2015-02-05,32.23,32.439999,31.57,31.809999,2904900,29.650923
2015-02-04,32.00,32.459999,30.950001,31.700001,4184900,29.548391
2015-02-03,31.40,33.849998,31.290001,33.110001,4996500,30.862688
2015-02-02,30.969999,31.379999,30.16,30.77,2330700,28.681513
2015-01-30,28.58,30.42,28.32,30.200001,4127100,28.150202
2015-01-29,29.120001,29.459999,28.280001,28.83,3010000,26.873189
2015-01-28,30.120001,30.200001,29.02,29.049999,2542900,27.078256
2015-01-27,30.68,30.91,29.91,30.68,3131400,28.383234
2015-01-26,30.440001,31.66,30.200001,30.93,2274900,28.614519
2015-01-23,29.200001,30.790001,29.01,30.459999,2591000,28.179703
2015-01-22,29.84,29.90,28.91,29.10,2203400,26.921516
2015-01-21,29.450001,29.98,28.90,29.43,2320700,27.226812
2015-01-20,29.719999,29.860001,28.719999,28.780001,2737900,26.625472
2015-01-19,29.99,30.17,29.77,30.040001,708800,27.791146
2015-01-16,28.84,30.66,28.700001,30.07,3115800,27.818899
2015-01-15,28.90,29.26,28.27,28.41,2129400,26.28317
2015-01-14,26.50,28.870001,26.41,28.620001,2684000,26.47745
2015-01-13,27.16,27.459999,26.610001,26.940001,2522100,24.923218
2015-01-12,27.50,27.66,26.610001,27.23,2718100,25.191507
2015-01-09,27.790001,28.950001,27.34,28.629999,3095400,26.4867
2015-01-08,26.40,28.02,26.25,27.24,2973100,25.200759
2015-01-07,25.719999,26.030001,25.24,25.940001,3251600,23.99808
2015-01-06,24.709999,25.950001,24.68,25.129999,4539500,23.248717
