Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,127.010002,128.940002,126.970001,128.029999,174700,127.506103
2015-04-30,129.00,129.029999,126.550003,127.790001,194600,127.267087
2015-04-29,129.350006,130.240005,129.119995,129.520004,174400,128.990011
2015-04-28,130.990005,131.00,128.979996,130.00,112200,129.468043
2015-04-27,132.149994,132.940002,130.690002,131.279999,108100,130.219952
2015-04-24,130.360001,132.539993,130.360001,131.539993,156000,130.477847
2015-04-23,130.690002,130.940002,130.070007,130.320007,179600,129.267712
2015-04-22,132.220001,132.220001,130.059998,130.559998,198900,129.505765
2015-04-21,131.320007,132.130005,131.199997,131.610001,177600,130.547289
2015-04-20,132.50,134.600006,131.369995,131.690002,142100,130.626645
2015-04-17,132.630005,132.630005,131.369995,132.020004,119300,130.953982
2015-04-16,132.910004,133.570007,132.089996,132.990005,109100,131.916151
2015-04-15,134.600006,134.690002,132.779999,133.160004,156500,132.084776
2015-04-14,135.169998,135.75,133.529999,134.50,110300,133.413953
2015-04-13,136.160004,136.649994,134.520004,135.029999,111300,133.939672
2015-04-10,135.630005,137.479996,135.339996,135.990005,125100,134.891927
2015-04-09,134.800003,136.00,134.699997,135.539993,128500,134.445548
2015-04-08,134.179993,135.25,133.899994,134.850006,139400,133.761133
2015-04-07,133.789993,135.009995,133.779999,134.339996,163800,133.255241
2015-04-06,132.600006,134.330002,132.360001,133.259995,156700,132.18396
2015-04-02,130.660004,133.25,130.660004,132.880005,231100,131.807039
2015-04-01,129.460007,131.119995,128.50,130.679993,201800,129.624791
2015-03-31,128.740005,130.479996,128.059998,129.029999,362000,127.98812
2015-03-30,129.75,131.949997,128.270004,129.190002,207300,128.146832
2015-03-27,129.75,130.50,128.789993,129.139999,158600,128.097233
2015-03-26,130.00,130.210007,127.510002,129.899994,277300,128.85109
2015-03-25,130.160004,132.100006,129.490005,130.00,264800,128.950289
2015-03-24,128.649994,130.25,128.649994,129.699997,157200,128.652708
2015-03-23,128.940002,129.779999,128.360001,129.070007,153700,128.027806
2015-03-20,128.020004,129.979996,128.009995,129.490005,539600,128.444412
2015-03-19,129.259995,129.600006,128.350006,128.580002,183100,127.541757
2015-03-18,130.00,130.00,128.740005,129.00,165600,127.958364
2015-03-17,129.979996,130.100006,128.110001,129.990005,123200,128.940375
2015-03-16,129.520004,131.779999,129.220001,129.389999,185200,128.345214
2015-03-13,130.179993,130.860001,128.589996,128.679993,95300,127.64094
2015-03-12,129.529999,131.100006,128.770004,130.630005,221800,129.575207
2015-03-11,127.139999,129.800003,127.099998,128.899994,275000,127.859165
2015-03-10,127.529999,128.419998,126.75,127.400002,185200,126.371285
2015-03-09,126.00,129.460007,125.519997,128.770004,201600,127.730225
2015-03-06,128.690002,128.729996,125.639999,126.080002,266800,125.061944
2015-03-05,130.360001,130.50,128.399994,128.509995,262200,127.472315
2015-03-04,130.020004,131.589996,128.639999,130.350006,164600,129.297469
2015-03-03,132.889999,132.889999,130.399994,130.679993,176700,129.624791
2015-03-02,131.410004,133.029999,131.009995,132.889999,202200,131.816952
2015-02-27,132.279999,133.080002,131.380005,131.720001,341600,130.656402
2015-02-26,125.239998,133.690002,125.239998,133.440002,535800,132.362514
2015-02-25,122.410004,123.00,121.559998,122.589996,257300,121.600119
2015-02-24,121.459999,123.209999,121.190002,122.150002,220400,121.163677
2015-02-23,119.889999,122.379997,119.50,120.900002,164000,119.92377
2015-02-20,119.400002,120.110001,118.900002,119.760002,149700,118.792976
2015-02-19,118.010002,119.900002,117.959999,119.099998,174900,118.138302
2015-02-18,118.889999,119.300003,116.82,118.370003,354800,117.4142
2015-02-17,116.449997,119.75,116.360001,119.029999,189100,118.068867
2015-02-13,118.199997,118.199997,116.059998,116.699997,233500,115.757679
2015-02-12,118.510002,119.370003,117.410004,118.25,165400,117.295167
2015-02-11,119.50,119.50,117.690002,118.440002,247400,117.483635
2015-02-10,118.040001,119.489998,116.760002,119.220001,120700,118.257335
2015-02-09,118.199997,118.50,115.879997,117.349998,106900,116.402432
2015-02-06,118.199997,118.50,116.279999,117.099998,154200,116.154451
2015-02-05,116.330002,118.889999,116.120003,117.910004,201200,116.957916
2015-02-04,118.18,118.93,115.300003,115.879997,304100,114.944301
2015-02-03,120.480003,120.480003,118.010002,118.18,164100,117.225732
2015-02-02,117.610001,120.370003,117.059998,120.029999,181900,119.060792
2015-01-30,119.099998,120.50,116.860001,117.190002,285100,116.243728
2015-01-29,120.480003,120.989998,118.199997,119.82,213400,118.852489
2015-01-28,123.010002,123.010002,120.120003,120.160004,160200,119.189748
2015-01-27,122.029999,122.839996,120.629997,122.480003,163300,120.970256
2015-01-26,122.220001,123.379997,121.449997,122.50,74900,120.990006
2015-01-23,122.50,124.550003,121.629997,122.029999,122800,120.525799
2015-01-22,119.379997,122.919998,118.68,122.029999,147500,120.525799
2015-01-21,117.589996,120.290001,116.040001,118.940002,177000,117.473891
2015-01-20,120.809998,120.809998,117.639999,118.00,214000,116.545475
2015-01-19,121.00,121.00,119.470001,120.800003,26300,119.310964
2015-01-16,119.480003,121.010002,119.050003,120.260002,163100,118.77762
2015-01-15,118.050003,122.269997,118.050003,119.620003,314700,118.145509
2015-01-14,119.080002,119.260002,115.190002,116.239998,264700,114.807168
2015-01-13,121.379997,121.709999,118.089996,119.839996,168500,118.362791
2015-01-12,119.699997,120.690002,118.50,120.489998,153600,119.00478
