Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,22.68,23.139999,22.60,23.09,2101500,22.590353
2015-04-30,22.74,22.99,22.10,22.73,2983400,22.238143
2015-04-29,22.75,23.139999,22.51,22.60,1877500,22.110957
2015-04-28,23.120001,23.35,23.02,23.129999,1753400,22.629487
2015-04-27,23.58,23.59,23.02,23.23,1551700,22.727323
2015-04-24,23.33,23.559999,23.10,23.34,2143300,22.834943
2015-04-23,23.18,23.950001,22.959999,23.440001,2547500,22.93278
2015-04-22,22.940001,23.129999,22.530001,22.91,1422500,22.414248
2015-04-21,23.110001,23.309999,22.629999,22.889999,997900,22.39468
2015-04-20,23.129999,23.49,23.01,23.219999,1597800,22.717539
2015-04-17,22.879999,23.120001,22.65,23.07,5114100,22.570785
2015-04-16,23.41,23.41,22.74,23.02,1908600,22.521868
2015-04-15,23.02,24.280001,23.01,23.43,4108600,22.922996
2015-04-14,22.299999,22.860001,22.25,22.74,2404400,22.247926
2015-04-13,22.309999,22.389999,22.059999,22.200001,850000,21.719613
2015-04-10,22.32,22.34,21.809999,22.129999,6963100,21.651126
2015-04-09,21.85,22.25,21.85,22.10,1904800,21.621776
2015-04-08,22.360001,22.41,21.58,21.790001,1809600,21.318485
2015-04-07,21.99,22.68,21.91,22.389999,3146400,21.9055
2015-04-06,22.15,22.219999,21.83,21.99,2128700,21.514156
2015-04-02,21.49,22.00,21.469999,21.969999,2408100,21.494588
2015-04-01,21.50,21.75,21.32,21.59,2228000,21.122812
2015-03-31,21.25,21.65,21.200001,21.35,2182800,20.888005
2015-03-30,20.719999,21.620001,20.719999,21.52,2507300,21.054327
2015-03-27,20.969999,21.040001,20.450001,20.68,2041800,20.232504
2015-03-26,21.75,22.129999,21.049999,21.059999,2806800,20.60428
2015-03-25,21.709999,21.879999,21.389999,21.469999,2957600,21.005408
2015-03-24,21.35,21.66,21.10,21.639999,1441000,21.171729
2015-03-23,21.049999,21.42,21.00,21.290001,1552900,20.829304
2015-03-20,21.23,21.24,20.889999,21.040001,5999600,20.584714
2015-03-19,21.68,21.74,20.790001,20.809999,2133800,20.35969
2015-03-18,21.450001,22.16,21.200001,21.969999,1788000,21.494588
2015-03-17,21.120001,21.57,20.879999,21.450001,1331500,20.985842
2015-03-16,20.91,21.34,20.799999,21.309999,1301600,20.84887
2015-03-13,21.190001,21.309999,20.950001,21.280001,1226400,20.81952
2015-03-12,21.940001,21.959999,21.360001,21.360001,1988800,20.897789
2015-03-11,21.49,21.959999,21.370001,21.959999,2328100,21.484804
2015-03-10,21.75,21.959999,21.48,21.719999,1745400,20.989754
2015-03-09,22.35,22.48,21.780001,21.92,2121600,21.18303
2015-03-06,22.209999,22.370001,21.879999,22.049999,2044900,21.308659
2015-03-05,22.25,22.25,21.91,22.200001,2344200,21.453617
2015-03-04,21.99,22.26,21.73,22.24,9614100,21.492271
2015-03-03,21.50,22.07,21.23,21.82,2766400,21.086392
2015-03-02,21.52,21.559999,21.309999,21.40,4363300,20.680513
2015-02-27,21.93,21.950001,21.57,21.57,2474900,20.844797
2015-02-26,22.00,22.030001,21.74,21.76,1793600,21.02841
2015-02-25,22.15,22.24,21.879999,22.190001,2571700,21.443953
2015-02-24,22.200001,22.200001,21.90,22.08,2216400,21.337651
2015-02-23,22.00,22.209999,21.780001,22.049999,2438400,21.308659
2015-02-20,22.139999,22.290001,22.00,22.219999,5959600,21.472943
2015-02-19,21.799999,22.15,21.610001,22.110001,2961800,21.366643
2015-02-18,21.83,22.190001,21.74,22.120001,7927200,21.376307
2015-02-17,23.950001,23.959999,23.030001,23.290001,2786900,22.50697
2015-02-13,24.85,24.85,23.92,24.18,2282300,23.367047
2015-02-12,24.610001,25.00,24.09,24.629999,2449700,23.801917
2015-02-11,24.75,25.08,24.35,24.68,1720400,23.850237
2015-02-10,25.59,25.639999,24.48,25.10,1873100,24.256116
2015-02-09,26.00,26.01,25.49,25.49,1535100,24.633003
2015-02-06,26.00,26.02,25.440001,25.59,1613600,24.729641
2015-02-05,25.40,25.610001,25.01,25.40,1914900,24.546029
2015-02-04,25.00,25.17,24.25,25.040001,2685800,24.198134
2015-02-03,25.799999,26.42,25.549999,25.60,3609100,24.739305
2015-02-02,24.469999,25.209999,24.26,25.129999,2539900,24.285106
2015-01-30,22.60,24.280001,22.41,24.07,3490600,23.260745
2015-01-29,23.129999,23.299999,21.870001,22.75,4434900,21.985125
2015-01-28,24.299999,24.299999,22.93,22.940001,3230300,22.168737
2015-01-27,24.469999,24.870001,24.24,24.67,2789200,23.840573
2015-01-26,24.450001,24.799999,24.25,24.610001,1859200,23.78259
2015-01-23,24.41,24.73,24.120001,24.389999,1805400,23.569986
2015-01-22,24.08,24.48,23.809999,24.459999,2102000,23.637632
2015-01-21,23.52,24.799999,23.48,24.07,1966100,23.260745
2015-01-20,23.77,24.10,23.120001,23.299999,2061400,22.516632
2015-01-19,24.49,24.549999,23.59,23.799999,582400,22.999822
2015-01-16,23.209999,24.950001,23.209999,24.639999,2222800,23.811581
2015-01-15,23.76,23.860001,22.969999,23.07,4369900,22.294366
2015-01-14,22.25,23.450001,22.24,23.32,2267300,22.53596
