Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,17.040001,17.290001,16.90,17.040001,2182500,16.779013
2015-04-30,17.190001,17.389999,16.83,17.129999,2736300,16.867633
2015-04-29,16.780001,17.15,16.700001,17.049999,2927200,16.788858
2015-04-28,16.92,17.15,16.77,16.870001,2880900,16.611617
2015-04-27,17.059999,17.200001,16.870001,16.90,2492600,16.641156
2015-04-24,17.110001,17.309999,16.74,17.049999,1821300,16.788858
2015-04-23,17.059999,17.27,16.940001,17.049999,4347900,16.788858
2015-04-22,16.76,17.10,16.629999,16.98,4413800,16.719931
2015-04-21,17.00,17.110001,16.34,16.67,5637400,16.414679
2015-04-20,15.94,16.90,15.90,16.549999,4232400,16.296516
2015-04-17,15.67,16.059999,15.51,15.95,2091900,15.705707
2015-04-16,15.64,16.309999,15.39,15.83,3012300,15.587545
2015-04-15,15.22,15.87,15.10,15.63,3349000,15.390608
2015-04-14,14.57,15.00,14.55,14.87,2179200,14.642248
2015-04-13,14.75,14.80,14.53,14.56,2183200,14.336997
2015-04-10,14.74,14.80,14.51,14.56,1413700,14.336997
2015-04-09,14.57,14.95,14.57,14.58,2369700,14.35669
2015-04-08,15.00,15.10,14.52,14.52,2444800,14.297609
2015-04-07,14.57,15.38,14.53,15.07,5144500,14.839185
2015-04-06,14.45,14.69,14.25,14.52,3247000,14.297609
2015-04-02,14.10,14.59,14.08,14.43,1788700,14.208988
2015-04-01,14.22,14.40,14.04,14.28,1897600,14.061285
2015-03-31,13.79,14.25,13.74,14.14,2725500,13.923429
2015-03-30,13.83,13.98,13.78,13.90,1423900,13.687105
2015-03-27,14.05,14.05,13.65,13.77,1785000,13.559097
2015-03-26,14.34,14.45,14.01,14.07,2388500,13.854501
2015-03-25,14.20,14.36,13.96,14.15,2530200,13.933276
2015-03-24,14.00,14.13,13.88,14.12,2167700,13.903735
2015-03-23,13.88,14.14,13.84,13.98,1942900,13.765879
2015-03-20,14.28,14.32,13.87,13.87,15143600,13.657564
2015-03-19,14.19,14.34,13.70,13.75,2702900,13.539402
2015-03-18,13.93,14.45,13.81,14.35,2848200,14.130213
2015-03-17,13.95,14.08,13.69,13.92,2371400,13.706799
2015-03-16,13.60,14.03,13.55,14.01,4571900,13.79542
2015-03-13,13.81,13.85,13.50,13.78,5361100,13.568943
2015-03-12,14.30,14.39,13.89,13.91,2879000,13.696952
2015-03-11,14.13,14.32,14.03,14.31,2602600,14.090826
2015-03-10,14.29,14.32,14.01,14.05,2687000,13.747171
2015-03-09,14.66,14.83,14.40,14.40,3103500,14.089626
2015-03-06,14.74,14.89,14.60,14.66,4139000,14.344023
2015-03-05,14.64,14.77,14.50,14.71,10442900,14.392945
2015-03-04,15.66,15.75,15.06,15.20,2932700,14.872384
2015-03-03,15.99,16.120001,15.61,15.67,2854300,15.332254
2015-03-02,16.139999,16.299999,15.88,15.95,1616300,15.606218
2015-02-27,16.379999,16.559999,16.280001,16.290001,1893400,15.938891
2015-02-26,16.26,16.48,16.059999,16.379999,2056100,16.02695
2015-02-25,16.040001,17.02,15.99,16.50,5157200,16.144364
2015-02-24,16.709999,16.90,16.18,16.280001,1662900,15.929107
2015-02-23,16.50,16.84,16.360001,16.60,1636900,16.242209
2015-02-20,17.030001,17.290001,16.75,16.809999,2277400,16.447682
2015-02-19,16.860001,17.309999,16.60,17.01,2433900,16.643372
2015-02-18,17.299999,17.450001,17.030001,17.17,2843200,16.799923
2015-02-17,17.34,17.540001,17.07,17.40,1401900,17.024965
2015-02-13,17.49,17.700001,17.42,17.559999,1821000,17.181517
