Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,5.93,6.30,5.90,6.15,5945800,6.13833
2015-04-30,5.92,6.04,5.86,6.01,2478000,5.998596
2015-04-29,6.02,6.17,5.97,6.13,1874300,6.118368
2015-04-28,5.81,6.05,5.80,6.03,2210200,6.018558
2015-04-27,5.80,5.97,5.75,5.78,3600400,5.769033
2015-04-24,5.89,5.97,5.71,5.71,2794500,5.699165
2015-04-23,5.85,5.98,5.85,5.93,2537800,5.918748
2015-04-22,5.94,5.98,5.82,5.85,1783900,5.838899
2015-04-21,6.01,6.11,5.97,6.00,1791000,5.988615
2015-04-20,5.99,6.09,5.90,6.09,1216500,6.078444
2015-04-17,6.14,6.22,5.95,6.04,1520300,6.028539
2015-04-16,6.36,6.40,6.10,6.11,2385600,6.098406
2015-04-15,6.12,6.35,6.10,6.29,3851700,6.278065
2015-04-14,5.91,6.12,5.89,6.09,2319700,6.078444
2015-04-13,6.04,6.12,5.87,5.88,1217900,5.868843
2015-04-10,6.02,6.11,6.00,6.10,1397600,6.088425
2015-04-09,5.90,5.97,5.84,5.91,1564500,5.898786
2015-04-08,6.10,6.14,5.91,5.98,2252400,5.968653
2015-04-07,6.10,6.27,6.09,6.14,1198100,6.128349
2015-04-06,6.30,6.34,6.17,6.19,1591600,6.178254
2015-04-02,6.15,6.20,5.99,6.09,2501100,6.078444
2015-04-01,5.97,6.26,5.92,6.25,2542000,6.238141
2015-03-31,5.93,6.01,5.77,5.81,1894900,5.798975
2015-03-30,6.01,6.13,5.88,5.88,1905400,5.868843
2015-03-27,6.11,6.24,6.00,6.11,1288100,6.098406
2015-03-26,6.48,6.52,6.11,6.15,1537800,6.13833
2015-03-25,6.65,6.68,6.35,6.35,2687800,6.337951
2015-03-24,6.35,6.62,6.29,6.59,1838200,6.577496
2015-03-23,6.37,6.43,6.25,6.33,2602100,6.317989
2015-03-20,6.25,6.46,6.25,6.37,5198000,6.357913
