Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,63.00,63.700001,62.720001,63.369999,859900,62.374105
2015-04-30,63.810001,63.919998,63.060001,63.060001,1610100,62.068979
2015-04-29,64.440002,64.699997,63.619999,63.950001,865400,62.944992
2015-04-28,65.480003,65.57,64.43,64.760002,895200,63.742264
2015-04-27,65.739998,65.879997,65.07,65.849998,777600,64.81513
2015-04-24,65.300003,65.690002,65.169998,65.50,717700,64.470632
2015-04-23,64.919998,65.900002,64.57,65.260002,1176400,64.234406
2015-04-22,64.940002,65.419998,64.300003,65.25,737400,64.224561
2015-04-21,65.32,65.599998,64.540001,64.949997,782000,63.929273
2015-04-20,64.980003,66.139999,64.610001,65.260002,1509600,64.234406
2015-04-17,64.129997,64.970001,63.650002,64.82,1074900,63.801318
2015-04-16,64.010002,64.620003,63.029999,64.419998,1423200,63.407603
2015-04-15,64.540001,64.870003,63.849998,64.129997,1508000,63.12216
2015-04-14,63.610001,64.529999,63.48,64.040001,1373000,63.033578
2015-04-13,63.50,63.959999,63.200001,63.52,1015500,62.521749
2015-04-10,62.799999,63.459999,62.75,63.34,684000,62.344578
2015-04-09,61.919998,63.16,61.919998,62.950001,1073800,61.960708
2015-04-08,61.919998,62.470001,61.720001,61.919998,1419000,60.946892
2015-04-07,61.610001,62.900002,61.400002,61.950001,1500000,60.976423
2015-04-06,60.59,61.450001,60.360001,61.389999,813500,60.425222
2015-04-02,59.959999,60.810001,59.900002,60.639999,828300,59.687009
2015-04-01,61.25,61.50,59.91,60.00,1376900,59.057068
2015-03-31,61.040001,61.869999,60.610001,61.049999,1669400,60.090566
2015-03-30,61.299999,62.650002,60.950001,61.130001,1793900,60.16931
2015-03-27,61.25,61.41,59.939999,61.060001,1649300,60.100411
2015-03-26,62.18,62.759998,60.93,61.060001,1524400,60.100411
2015-03-25,62.23,62.77,62.00,62.200001,1656500,61.222494
2015-03-24,60.529999,62.27,60.220001,62.080002,1022300,61.104381
2015-03-23,61.189999,61.470001,60.200001,60.580002,1011500,59.627954
2015-03-20,61.330002,61.669998,60.84,60.900002,4354100,59.942925
2015-03-19,61.900002,62.110001,60.779999,61.459999,1503500,60.494122
2015-03-18,61.16,62.209999,60.779999,61.98,1905100,61.00595
2015-03-17,59.790001,61.639999,59.450001,61.310001,1812900,60.346482
2015-03-16,59.169998,59.939999,58.740002,59.57,1535400,58.633825
2015-03-13,58.50,59.169998,58.450001,59.110001,1280100,58.181055
2015-03-12,58.110001,58.939999,57.59,58.939999,1586200,58.013725
2015-03-11,57.57,58.369999,57.16,58.169998,1258100,57.255825
2015-03-10,57.970001,58.25,57.509998,57.57,950000,56.665256
2015-03-09,59.299999,60.02,58.279999,58.279999,1205700,57.364097
2015-03-06,58.330002,59.259998,58.189999,59.049999,1490900,58.121997
2015-03-05,57.740002,58.279999,57.599998,58.07,963600,57.157398
2015-03-04,57.77,58.009998,57.25,57.490002,861800,56.586515
2015-03-03,58.439999,58.439999,57.290001,57.919998,1296200,57.009754
2015-03-02,58.240002,58.669998,58.02,58.16,844400,57.245984
2015-02-27,57.549999,58.68,57.540001,58.130001,3095200,57.216457
2015-02-26,58.93,58.950001,57.540001,57.610001,1615600,56.704628
2015-02-25,60.509998,60.82,59.02,59.16,1543900,58.230269
2015-02-24,61.220001,61.360001,60.139999,60.369999,1379000,59.421252
2015-02-23,61.580002,61.68,60.830002,61.209999,1192700,60.248051
2015-02-20,61.68,62.23,61.169998,61.82,1018100,60.848465
2015-02-19,61.470001,62.09,61.34,61.639999,969800,60.671294
2015-02-18,61.66,62.00,61.07,61.610001,824600,60.641766
2015-02-17,61.580002,62.619999,61.50,61.790001,744200,60.818938
2015-02-13,62.50,62.560001,61.470001,61.52,709600,60.55318
2015-02-12,62.049999,62.509998,61.349998,61.98,1305700,61.00595
2015-02-11,60.68,62.049999,60.560001,61.540001,1056800,60.572867
2015-02-10,61.00,61.490002,59.740002,61.220001,1546100,59.800202
2015-02-09,63.470001,63.470001,60.50,60.790001,1131300,59.380174
2015-02-06,63.470001,63.50,60.50,61.240002,1554600,59.819739
2015-02-05,63.200001,63.599998,62.790001,63.110001,1324200,61.646369
2015-02-04,62.759998,63.200001,61.700001,62.779999,1204800,61.324021
2015-02-03,63.00,63.66,62.41,63.07,1402700,61.607296
2015-02-02,62.639999,62.830002,61.66,62.57,1099000,61.118892
2015-01-30,61.139999,62.400002,60.540001,61.549999,1814800,60.122547
2015-01-29,61.57,63.00,60.669998,61.580002,1905900,60.151854
2015-01-28,63.00,63.169998,61.549999,61.560001,1671600,60.132317
2015-01-27,62.18,62.98,61.700001,62.799999,1039200,61.343557
2015-01-26,61.799999,62.860001,61.349998,62.41,1097900,60.962603
2015-01-23,61.700001,62.220001,61.580002,61.689999,1098600,60.2593
2015-01-22,60.00,61.779999,60.00,61.400002,1737000,59.976028
2015-01-21,56.900002,60.18,56.740002,59.869999,1924600,58.481509
2015-01-20,56.650002,57.66,55.240002,57.25,1751700,55.922272
