Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,18.73,19.83,18.57,19.52,3885600,19.422401
2015-04-30,18.32,18.65,17.700001,18.48,5673800,18.3876
2015-04-29,18.190001,18.440001,18.030001,18.299999,1217700,18.208499
2015-04-28,18.469999,18.610001,18.35,18.450001,2603300,18.357751
2015-04-27,17.74,18.75,17.67,18.700001,3190100,18.606501
2015-04-24,17.02,17.610001,17.00,17.540001,1918000,17.452301
2015-04-23,16.10,16.60,16.040001,16.549999,1651900,16.467249
2015-04-22,15.83,16.18,15.79,16.049999,1281000,15.969749
2015-04-21,16.629999,16.629999,16.00,16.09,2245700,16.00955
2015-04-20,15.33,16.709999,15.32,16.620001,2252400,16.536901
2015-04-17,15.88,16.049999,15.37,15.55,1741100,15.47225
2015-04-16,16.200001,16.50,15.89,16.00,2108600,15.92
2015-04-15,16.01,16.40,15.97,16.18,2342200,16.0991
2015-04-14,16.00,16.120001,15.65,15.86,2114500,15.7807
2015-04-13,16.040001,16.049999,15.47,15.68,2285700,15.6016
2015-04-10,16.48,16.790001,16.02,16.190001,1718500,16.060296
2015-04-09,16.959999,17.10,16.23,16.629999,1991800,16.49677
2015-04-08,16.549999,17.209999,16.549999,16.809999,2013000,16.675328
2015-04-07,16.15,16.59,16.15,16.49,1389300,16.357892
2015-04-06,16.379999,16.40,16.00,16.129999,943300,16.000775
2015-04-02,15.53,16.16,15.35,16.120001,2395100,15.990857
2015-04-01,15.51,15.75,15.32,15.69,2227400,15.564301
2015-03-31,15.18,15.41,14.95,15.35,2343200,15.227025
2015-03-30,14.68,15.64,14.55,15.25,2410700,15.127826
2015-03-27,14.71,15.38,14.22,14.80,2065600,14.681431
2015-03-26,15.11,15.81,14.90,14.99,3458500,14.869909
2015-03-25,15.30,15.70,14.87,14.90,1775400,14.78063
2015-03-24,15.21,15.69,15.11,15.38,1362800,15.256785
2015-03-23,15.25,15.79,15.05,15.64,1647400,15.514702
2015-03-20,14.06,16.00,14.06,15.01,5240300,14.889749
2015-03-19,13.50,14.05,13.39,13.59,1943600,13.481125
2015-03-18,13.48,13.76,12.98,13.57,2923300,13.461285
2015-03-17,13.52,13.90,13.44,13.86,1744600,13.748962
2015-03-16,13.63,13.97,13.52,13.77,1361900,13.659683
2015-03-13,13.54,13.98,13.46,13.86,1389300,13.748962
2015-03-12,14.21,14.45,13.68,13.81,2145800,13.699363
2015-03-11,14.15,14.15,13.51,13.74,2239900,13.629923
2015-03-10,14.77,14.77,14.16,14.23,2154700,14.115997
2015-03-09,15.20,15.49,15.04,15.30,1832600,15.177426
2015-03-06,15.20,15.25,14.96,15.05,4027500,14.929429
2015-03-05,15.62,15.66,15.37,15.37,1415400,15.246865
2015-03-04,15.28,15.83,15.15,15.35,3632800,15.227025
2015-03-03,15.84,15.84,15.20,15.47,3006500,15.346064
2015-03-02,16.280001,16.43,15.57,15.76,1954100,15.633741
2015-02-27,15.56,16.040001,15.53,15.85,3180600,15.72302
2015-02-26,15.55,16.09,15.41,15.79,3400400,15.6635
2015-02-25,15.09,15.20,14.86,15.12,2408200,14.998868
2015-02-24,14.49,15.29,14.27,15.21,3016100,15.088147
2015-02-23,13.99,14.18,13.77,14.12,1926100,14.006879
2015-02-20,14.00,14.10,13.67,13.99,1618800,13.87792
2015-02-19,14.15,14.42,13.81,13.93,1715200,13.818401
2015-02-18,13.77,14.47,13.76,14.33,3073300,14.215197
2015-02-17,13.65,14.30,13.58,13.83,2145500,13.719202
2015-02-13,13.49,13.93,13.46,13.69,1934000,13.580324
2015-02-12,12.93,13.32,12.73,13.29,2002300,13.183528
2015-02-11,12.45,12.66,12.35,12.46,1922100,12.360178
2015-02-10,12.69,12.75,12.22,12.44,1878300,12.340338
2015-02-09,12.82,13.40,12.81,12.83,1378300,12.727214
2015-02-06,12.82,13.17,12.61,13.03,1668900,12.925611
2015-02-05,12.90,13.21,12.64,12.96,1807600,12.856172
2015-02-04,12.87,13.12,12.62,12.70,2477800,12.598255
2015-02-03,13.00,13.55,12.84,13.12,3128600,13.01489
2015-02-02,11.70,12.31,11.56,12.28,1646500,12.18162
2015-01-30,11.79,11.79,11.14,11.59,3013300,11.497148
2015-01-29,11.83,11.88,11.09,11.30,3675400,11.209471
2015-01-28,12.03,12.52,11.71,11.94,2474900,11.844343
2015-01-27,11.77,12.10,10.83,12.04,5710200,11.943543
2015-01-26,12.40,12.94,12.07,12.22,3767500,12.122101
2015-01-23,13.60,13.60,12.48,12.67,2861700,12.568496
2015-01-22,14.35,14.83,14.07,14.15,3131100,14.036638
2015-01-21,13.65,14.82,13.60,14.58,2771300,14.463194
2015-01-20,13.46,14.21,13.46,13.73,2498000,13.620003
2015-01-19,13.23,13.79,13.23,13.40,1097200,13.292647
2015-01-16,12.20,13.32,11.99,13.28,4012200,13.173608
2015-01-15,12.00,12.44,11.82,11.95,4845100,11.854264
2015-01-14,11.90,12.34,9.89,11.70,7087700,11.606266
2015-01-13,15.89,15.89,13.13,13.47,4923100,13.362087
2015-01-12,16.610001,16.610001,15.75,15.82,2364700,15.693259
2015-01-09,17.370001,17.370001,16.469999,16.91,1205500,16.774527
2015-01-08,16.459999,17.24,16.200001,17.18,1821600,17.042364
2015-01-07,16.50,16.629999,16.02,16.129999,1151300,16.000775
2015-01-06,15.80,16.440001,15.80,16.27,1400700,16.139655
2015-01-05,16.93,17.00,15.65,15.85,2034300,15.72302
2015-01-02,16.879999,17.280001,16.440001,17.129999,1317500,16.992764
2014-12-31,16.48,16.83,16.10,16.51,1519600,16.377732
2014-12-30,16.049999,16.75,16.040001,16.52,1089400,16.387652
2014-12-29,16.200001,16.459999,15.85,16.02,1351400,15.891658
2014-12-24,16.219999,16.25,15.74,16.190001,596800,16.060296
2014-12-23,15.61,16.139999,15.61,16.10,1667300,15.971017
2014-12-22,16.26,16.26,15.31,15.48,2196300,15.355983
2014-12-19,16.780001,16.780001,15.67,15.85,6437500,15.72302
2014-12-18,16.889999,17.40,16.00,16.450001,3602500,16.318213
2014-12-17,16.09,17.08,15.97,16.610001,3862900,16.476931
2014-12-16,16.51,16.67,15.91,16.01,3973700,15.881738
2014-12-15,16.27,17.450001,16.25,16.799999,3042500,16.665408
2014-12-12,16.43,16.83,16.18,16.42,1399500,16.288453
2014-12-11,17.25,17.50,16.49,16.93,2564900,16.794367
2014-12-10,17.50,17.709999,16.77,16.99,1856100,16.853886
2014-12-09,16.35,17.790001,16.35,17.60,1454100,17.459
