Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,39.209999,39.310001,38.880001,39.07,657700,38.384124
2015-04-30,39.639999,39.720001,39.00,39.27,693100,38.580613
2015-04-29,39.650002,39.790001,39.279999,39.73,398700,39.032537
2015-04-28,39.75,39.880001,39.549999,39.77,284100,39.071836
2015-04-27,39.77,39.860001,39.34,39.700001,457200,39.003065
2015-04-24,39.700001,39.900002,39.599998,39.66,277200,38.963766
2015-04-23,39.34,39.68,39.299999,39.630001,252900,38.934294
2015-04-22,39.50,39.77,39.200001,39.389999,257200,38.698506
2015-04-21,39.639999,39.639999,39.18,39.34,474200,38.649384
2015-04-20,39.389999,39.700001,39.349998,39.52,374900,38.826225
2015-04-17,39.02,39.299999,38.900002,39.27,256800,38.580613
2015-04-16,39.009998,39.240002,38.869999,39.009998,359700,38.325176
2015-04-15,39.110001,39.470001,39.099998,39.150002,403300,38.462721
2015-04-14,39.299999,39.490002,38.98,39.09,361800,38.403773
2015-04-13,39.419998,39.529999,39.209999,39.380001,1378900,38.688683
2015-04-10,39.50,39.700001,39.380001,39.50,363500,38.806575
2015-04-09,39.400002,39.779999,39.400002,39.599998,465400,38.904818
2015-04-08,39.25,39.580002,39.169998,39.400002,616700,38.708332
2015-04-07,39.099998,39.48,39.080002,39.23,480800,38.541315
2015-04-06,38.93,39.330002,38.849998,39.00,346000,38.315353
2015-04-02,38.299999,38.970001,38.299999,38.919998,677600,38.236755
2015-04-01,38.419998,38.580002,38.049999,38.369999,586400,37.696411
2015-03-31,38.849998,38.889999,38.470001,38.580002,1008900,37.902728
2015-03-30,38.939999,39.16,38.529999,38.98,735300,38.295703
2015-03-27,39.110001,39.209999,38.360001,38.84,913800,38.158162
2015-03-26,39.720001,39.900002,38.990002,39.169998,890500,38.482367
2015-03-25,40.18,40.25,39.599998,39.799999,763000,39.101308
2015-03-24,39.25,40.240002,39.25,40.18,900300,39.474638
2015-03-23,39.02,39.279999,38.82,39.220001,610900,38.531492
2015-03-20,39.32,39.369999,38.619999,38.93,3101300,38.246582
2015-03-19,39.650002,39.830002,39.029999,39.07,632700,38.384124
2015-03-18,39.610001,39.700001,39.119999,39.580002,566100,38.885173
2015-03-17,39.369999,39.939999,39.369999,39.610001,568600,38.914645
2015-03-16,39.470001,40.290001,39.310001,39.560001,730300,38.865523
2015-03-13,39.470001,39.619999,39.110001,39.360001,618000,38.669034
2015-03-12,38.849998,39.41,38.610001,39.380001,642300,38.688683
2015-03-11,38.689999,39.099998,38.450001,38.869999,595600,38.187634
2015-03-10,38.610001,38.889999,38.360001,38.759998,584800,38.079564
2015-03-09,38.790001,38.830002,38.470001,38.68,653800,38.000971
2015-03-06,39.700001,39.73,38.599998,38.700001,1072800,38.02062
2015-03-05,39.34,40.119999,39.25,39.830002,751100,39.130784
2015-03-04,39.18,39.369999,38.970001,39.25,633000,38.560964
2015-03-03,39.040001,39.360001,38.900002,39.25,624500,38.560964
2015-03-02,39.50,39.50,38.82,39.060001,876200,38.374301
2015-02-27,38.93,39.73,38.91,39.580002,1111800,38.885173
2015-02-26,38.639999,39.040001,38.32,38.91,722500,38.226933
2015-02-25,39.470001,39.650002,38.549999,38.549999,840900,37.873252
2015-02-24,40.040001,40.200001,39.299999,39.43,515700,38.737804
2015-02-23,39.669998,40.00,39.459999,39.950001,461500,39.248676
2015-02-20,39.689999,39.799999,39.25,39.709999,869400,39.012888
2015-02-19,39.439999,40.290001,39.32,39.41,616100,38.718155
2015-02-18,39.00,39.470001,38.959999,39.299999,722000,38.610085
2015-02-17,39.330002,39.639999,38.939999,39.029999,628200,38.344825
2015-02-13,39.98,40.029999,39.049999,39.32,685700,38.629735
2015-02-12,40.25,40.299999,39.66,39.98,511900,39.278148
2015-02-11,40.470001,41.09,40.09,40.41,1019100,39.36657
2015-02-10,39.849998,40.740002,39.790001,40.389999,1114400,39.347086
2015-02-09,40.919998,40.919998,39.830002,39.93,1337800,38.898964
2015-02-06,40.919998,41.27,39.82,40.00,1056000,38.967156
2015-02-05,40.77,41.25,40.759998,40.84,864200,39.785467
2015-02-04,40.599998,40.98,40.50,40.560001,661700,39.512698
2015-02-03,41.50,41.50,40.450001,40.599998,979500,39.551662
2015-02-02,42.099998,42.23,39.75,41.599998,754300,40.525841
2015-01-30,41.57,42.23,41.389999,41.91,1125100,40.827838
2015-01-29,41.459999,41.93,41.169998,41.84,572700,40.759646
2015-01-28,41.029999,41.59,40.790001,41.509998,640000,40.438165
2015-01-27,40.48,40.900002,40.099998,40.869999,1528700,39.814691
2015-01-26,40.889999,40.939999,40.43,40.52,387600,39.47373
2015-01-23,40.84,41.189999,40.560001,40.779999,646900,39.727015
2015-01-22,40.299999,40.93,40.259998,40.560001,810500,39.512698
2015-01-21,40.049999,40.380001,39.810001,40.16,590600,39.123025
2015-01-20,40.220001,40.23,39.900002,40.00,745800,38.967156
2015-01-19,40.43,40.450001,40.02,40.150002,315700,39.113285
2015-01-16,39.849998,40.509998,39.66,40.369999,720700,39.327602
2015-01-15,39.549999,39.990002,39.060001,39.869999,753800,38.840512
2015-01-14,39.099998,39.630001,38.900002,39.560001,734500,38.538519
2015-01-13,39.549999,39.650002,38.830002,39.290001,590100,38.27549
2015-01-12,39.349998,39.50,38.799999,39.490002,678600,38.470327
2015-01-09,39.439999,39.610001,39.209999,39.389999,450000,38.372907
2015-01-08,39.57,39.799999,39.25,39.450001,845800,38.431359
2015-01-07,39.23,39.630001,39.00,39.380001,719100,38.363167
2015-01-06,39.09,39.470001,38.889999,39.150002,700100,38.139106
2015-01-05,39.150002,39.369999,38.77,39.18,631500,38.16833
2015-01-02,39.00,39.349998,38.900002,39.220001,348600,38.207298
2014-12-31,38.849998,39.049999,38.599998,38.959999,418000,37.954009
2014-12-30,38.860001,39.080002,38.50,38.700001,279100,37.700725
2014-12-29,39.099998,39.150002,38.790001,38.869999,448600,37.866333
2014-12-24,39.09,39.200001,38.709999,38.990002,200200,37.983237
2014-12-23,38.740002,39.16,38.619999,38.919998,588100,37.915041
2014-12-22,38.16,38.990002,38.040001,38.709999,925300,37.710465
2014-12-19,38.939999,38.939999,37.740002,37.959999,4047400,36.979831
2014-12-18,38.349998,38.650002,37.810001,38.619999,1961500,37.622788
2014-12-17,38.139999,38.470001,37.959999,38.25,1590200,37.262343
