Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,26.950001,27.129999,26.67,26.959999,468800,26.266914
2015-04-30,27.219999,27.219999,26.77,26.98,787700,26.2864
2015-04-29,27.24,27.440001,26.99,27.209999,740900,26.510487
2015-04-28,27.66,27.809999,27.17,27.299999,816200,26.598174
2015-04-27,27.98,28.030001,27.559999,27.690001,626100,26.978149
2015-04-24,27.85,27.93,27.50,27.860001,746200,27.143778
2015-04-23,27.48,28.049999,27.360001,27.860001,1091000,27.143778
2015-04-22,27.32,27.43,26.809999,27.40,568600,26.695603
2015-04-21,27.559999,27.629999,27.030001,27.25,547800,26.54946
2015-04-20,27.690001,28.059999,27.389999,27.41,687800,26.705346
2015-04-17,27.32,27.66,27.059999,27.540001,347300,26.832005
2015-04-16,27.84,27.860001,27.120001,27.450001,737600,26.744319
2015-04-15,27.76,28.049999,27.59,27.870001,955900,27.153522
2015-04-14,27.360001,27.700001,27.27,27.50,658300,26.793033
2015-04-13,27.870001,27.870001,27.18,27.34,683200,26.637146
2015-04-10,27.32,27.52,27.15,27.32,563600,26.61766
2015-04-09,26.709999,27.610001,26.709999,27.059999,936500,26.364344
2015-04-08,27.120001,27.379999,26.530001,26.60,895000,25.91617
2015-04-07,26.92,27.540001,26.85,27.200001,774400,26.500746
2015-04-06,26.690001,27.219999,26.59,27.02,703800,26.325373
2015-04-02,25.90,26.690001,25.90,26.620001,831700,25.935657
2015-04-01,25.889999,26.33,25.809999,25.91,803300,25.243908
2015-03-31,25.90,26.27,25.530001,25.85,1860200,25.185451
2015-03-30,25.700001,26.58,25.690001,26.290001,868700,25.61414
2015-03-27,25.60,26.07,25.299999,25.60,522200,24.941878
2015-03-26,26.33,26.549999,25.700001,25.73,919100,25.068535
2015-03-25,26.360001,26.469999,25.870001,25.950001,1323100,25.282881
2015-03-24,26.00,26.280001,25.76,26.10,711700,25.429024
2015-03-23,25.35,26.01,25.25,25.870001,769900,25.204937
2015-03-20,25.51,25.719999,25.049999,25.33,2129500,24.678819
2015-03-19,25.799999,25.860001,24.969999,25.02,710000,24.376789
2015-03-18,25.01,26.139999,25.01,25.959999,680700,25.292622
2015-03-17,24.719999,25.530001,24.700001,25.26,535500,24.610619
2015-03-16,24.84,25.18,24.48,25.10,458700,24.454732
2015-03-13,25.120001,25.219999,24.75,25.02,799800,24.376789
2015-03-12,25.75,26.00,25.27,25.290001,766200,24.639848
2015-03-11,26.280001,26.280001,25.50,25.719999,2112900,25.058792
2015-03-10,26.60,26.879999,26.25,26.51,1078700,25.536195
2015-03-09,27.280001,27.639999,26.68,26.77,1322200,25.786644
2015-03-06,27.41,27.77,26.889999,27.110001,1683900,26.114155
2015-03-05,27.639999,27.799999,27.280001,27.51,1156100,26.499461
2015-03-04,27.77,27.969999,27.389999,27.799999,737600,26.778808
2015-03-03,28.049999,28.219999,27.709999,27.860001,984600,26.836605
2015-03-02,27.969999,28.24,27.51,27.950001,873900,26.923299
2015-02-27,28.35,28.60,28.040001,28.09,1130700,27.058156
2015-02-26,28.60,28.780001,28.299999,28.389999,655100,27.347135
2015-02-25,29.049999,29.110001,28.58,28.889999,667700,27.828768
2015-02-24,28.889999,29.110001,28.65,29.059999,1340500,27.992524
2015-02-23,28.35,28.73,27.870001,28.58,1393600,27.530156
2015-02-20,28.299999,28.77,28.25,28.610001,1086200,27.559055
2015-02-19,28.309999,28.50,27.940001,28.389999,1796800,27.347135
2015-02-18,28.66,29.110001,28.43,28.790001,1186200,27.732443
