Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,2.89,2.99,2.88,2.98,2380900,2.98
2015-04-30,2.83,2.94,2.83,2.93,3231700,2.93
2015-04-29,2.87,2.96,2.85,2.94,12208600,2.94
2015-04-28,2.81,2.88,2.80,2.85,4580600,2.85
2015-04-27,2.81,2.85,2.78,2.78,3225200,2.78
2015-04-24,2.80,2.82,2.75,2.79,1437100,2.79
2015-04-23,2.82,2.84,2.79,2.82,1272500,2.82
2015-04-22,2.84,2.87,2.77,2.81,1485400,2.81
2015-04-21,2.82,2.88,2.81,2.87,2210400,2.87
2015-04-20,2.78,2.82,2.75,2.82,1436200,2.82
2015-04-17,2.82,2.82,2.76,2.80,1367800,2.80
2015-04-16,2.84,2.86,2.75,2.79,1380500,2.79
2015-04-15,2.88,2.88,2.79,2.82,1855900,2.82
2015-04-14,2.75,2.89,2.75,2.84,1614100,2.84
2015-04-13,2.90,2.93,2.76,2.78,2428800,2.78
2015-04-10,2.93,2.95,2.87,2.90,1293100,2.90
2015-04-09,2.86,2.90,2.85,2.88,2002500,2.88
2015-04-08,2.97,3.00,2.88,2.90,2076900,2.90
2015-04-07,3.01,3.03,2.94,2.97,1097100,2.97
2015-04-06,3.00,3.05,2.91,3.04,1938700,3.04
2015-04-02,2.94,2.98,2.86,2.91,1591700,2.91
2015-04-01,2.87,3.00,2.86,2.97,1837200,2.97
2015-03-31,2.93,2.94,2.80,2.81,2713400,2.81
2015-03-30,2.93,2.96,2.86,2.89,1356200,2.89
2015-03-27,2.96,3.04,2.85,2.96,2198000,2.96
2015-03-26,3.12,3.12,2.90,2.95,2372800,2.95
2015-03-25,3.20,3.21,3.03,3.07,2160100,3.07
2015-03-24,3.12,3.20,3.04,3.16,2440000,3.16
2015-03-23,3.09,3.11,3.00,3.11,2771000,3.11
2015-03-20,3.05,3.11,2.98,3.06,15283300,3.06
2015-03-19,2.97,3.00,2.83,3.00,2862400,3.00
2015-03-18,2.86,2.98,2.81,2.97,1811400,2.97
2015-03-17,2.93,2.98,2.83,2.86,2477700,2.86
2015-03-16,2.99,3.01,2.87,2.99,2670700,2.99
2015-03-13,3.02,3.03,2.87,2.97,1954500,2.97
2015-03-12,3.07,3.07,2.93,2.99,1800200,2.99
