Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,61.189999,62.130001,61.049999,62.009998,322500,61.544125
2015-04-30,61.639999,61.779999,60.709999,61.330002,573800,60.869238
2015-04-29,62.450001,62.580002,61.93,62.049999,475600,61.583826
2015-04-28,63.119999,63.200001,62.23,62.450001,377900,61.980822
2015-04-27,63.200001,63.299999,62.650002,62.970001,241100,62.496916
2015-04-24,63.240002,63.240002,62.799999,62.990002,215000,62.516766
2015-04-23,63.50,63.50,62.650002,62.91,473600,62.437365
2015-04-22,64.440002,64.519997,63.099998,63.41,437000,62.933609
2015-04-21,63.259998,64.379997,63.240002,64.25,501800,63.767298
2015-04-20,63.330002,63.889999,62.549999,63.07,284100,62.596163
2015-04-17,63.299999,63.34,62.619999,63.09,194200,62.616013
2015-04-16,63.75,64.080002,63.07,63.349998,413400,62.874058
2015-04-15,64.68,64.68,63.759998,63.849998,430700,63.370302
2015-04-14,65.230003,65.379997,64.489998,64.589996,280500,64.10474
2015-04-13,64.800003,65.389999,64.790001,65.370003,295400,64.878887
2015-04-10,65.050003,65.209999,64.739998,64.949997,233900,64.462036
2015-04-09,64.800003,65.550003,64.730003,65.059998,343400,64.57121
2015-04-08,64.57,65.360001,64.550003,64.660004,460300,64.174222
2015-04-07,63.700001,64.839996,63.700001,64.639999,333600,64.154368
2015-04-06,63.299999,64.199997,63.09,63.639999,578100,63.161881
2015-04-02,62.310001,63.630001,62.25,63.369999,397400,62.893909
2015-04-01,61.790001,62.610001,61.169998,62.290001,758200,61.822024
2015-03-31,62.009998,62.34,61.650002,61.919998,384100,61.454801
2015-03-30,61.970001,62.82,61.900002,62.169998,432300,61.702923
2015-03-27,62.82,63.599998,61.799999,62.32,401700,61.851798
2015-03-26,63.599998,64.00,62.669998,62.720001,617600,62.248794
2015-03-25,64.769997,64.980003,63.41,63.650002,779100,63.171808
2015-03-24,63.259998,64.949997,63.240002,64.769997,775100,64.283388
2015-03-23,63.439999,63.68,63.099998,63.200001,425600,62.725188
2015-03-20,63.00,63.68,62.57,63.439999,1138000,62.963382
2015-03-19,63.50,63.639999,62.560001,63.00,627200,62.526689
2015-03-18,62.77,64.169998,62.279999,63.68,591800,63.201581
2015-03-17,62.27,63.130001,61.700001,62.82,371700,62.348041
2015-03-16,61.950001,63.650002,61.889999,62.400002,512000,61.931199
2015-03-13,62.169998,62.169998,61.529999,61.779999,389200,61.315854
2015-03-12,61.200001,62.50,61.049999,62.139999,796100,61.67315
2015-03-11,61.200001,61.549999,60.93,61.360001,548300,60.899011
2015-03-10,61.549999,61.57,60.450001,61.360001,824400,60.655849
2015-03-09,61.450001,61.889999,60.93,61.540001,486600,60.833784
2015-03-06,62.200001,62.299999,61.119999,61.52,562400,60.814013
2015-03-05,62.799999,63.869999,62.25,62.259998,479600,61.545519
2015-03-04,61.950001,62.990002,61.630001,62.68,636900,61.960701
2015-03-03,62.549999,62.59,61.759998,61.93,677800,61.219308
2015-03-02,63.450001,63.990002,62.200001,62.59,798800,61.871733
2015-02-27,64.650002,65.040001,63.400002,63.790001,687400,63.057963
2015-02-26,66.389999,66.879997,64.25,64.669998,878000,63.927862
2015-02-25,65.620003,65.900002,63.959999,64.349998,545400,63.611535
2015-02-24,65.370003,65.980003,65.089996,65.620003,444800,64.866965
2015-02-23,65.00,65.580002,64.699997,65.209999,349700,64.461666
2015-02-20,64.230003,65.199997,63.889999,64.870003,453600,64.125571
2015-02-19,63.84,64.669998,63.50,64.089996,319000,63.354516
2015-02-18,63.799999,64.019997,63.110001,63.57,275700,62.840487
2015-02-17,63.259998,64.220001,62.939999,63.869999,293700,63.137043
2015-02-13,63.110001,63.59,62.669998,63.02,288000,62.296799
2015-02-12,63.68,63.709999,62.599998,63.00,399400,62.277028
2015-02-11,62.860001,64.089996,62.360001,63.50,513900,62.77129
2015-02-10,61.110001,63.23,60.98,62.880001,684400,62.158406
2015-02-09,61.990002,61.990002,60.599998,60.860001,306000,60.161587
2015-02-06,61.990002,62.380001,60.830002,61.459999,387000,60.7547
2015-02-05,62.419998,63.50,61.299999,61.709999,565000,61.001831
2015-02-04,62.77,63.220001,61.990002,62.240002,480900,61.525751
2015-02-03,63.950001,63.98,62.290001,62.75,483200,62.029897
2015-02-02,63.330002,64.18,62.799999,63.400002,305000,62.672439
2015-01-30,62.740002,64.00,62.580002,63.130001,522900,62.405537
2015-01-29,62.490002,63.490002,62.18,62.990002,441400,62.267145
2015-01-28,62.169998,63.419998,62.080002,62.389999,581500,61.674028
2015-01-27,60.639999,62.630001,60.610001,62.150002,762200,61.436784
2015-01-26,61.299999,61.689999,60.619999,60.880001,214800,60.181358
2015-01-23,60.23,61.439999,60.200001,61.080002,664800,60.379063
2015-01-22,59.82,60.790001,59.82,60.200001,816000,59.509161
2015-01-21,59.419998,60.130001,58.849998,59.790001,459200,59.103866
2015-01-20,60.330002,60.380001,58.849998,59.150002,460200,58.471211
2015-01-19,59.50,60.209999,59.360001,59.919998,179400,59.232372
2015-01-16,59.73,60.029999,59.529999,59.549999,509500,58.866619
2015-01-15,59.07,60.549999,58.41,60.02,634800,59.331226
2015-01-14,59.490002,60.00,58.09,58.700001,482600,58.026375
2015-01-13,59.869999,60.860001,59.139999,59.779999,444100,59.093979
2015-01-12,59.709999,59.919998,58.029999,59.75,372000,59.064324
2015-01-09,60.709999,60.790001,59.419998,59.689999,311900,59.005012
2015-01-08,60.990002,61.970001,60.23,60.709999,387900,60.013307
2015-01-07,60.439999,60.849998,59.48,60.709999,359900,60.013307
2015-01-06,61.34,61.34,59.419998,60.119999,379500,59.430077
2015-01-05,62.259998,62.990002,60.900002,61.349998,352000,60.645962
2015-01-02,62.220001,63.200001,62.110001,62.66,237500,61.94093
2014-12-31,62.25,62.650002,62.02,62.169998,178800,61.456551
2014-12-30,62.52,62.560001,61.639999,62.299999,212900,61.585061
2014-12-29,62.400002,62.98,62.060001,62.52,260200,61.802537
2014-12-24,62.830002,62.950001,62.34,62.529999,107600,61.812421
2014-12-23,61.950001,62.889999,61.630001,62.77,262700,62.049668
2014-12-22,61.869999,62.349998,60.810001,61.75,403200,61.041373
2014-12-19,61.130001,61.990002,60.599998,61.380001,1954000,60.67562
2014-12-18,60.380001,61.189999,59.50,60.73,760800,60.033078
2014-12-17,59.77,60.77,59.650002,60.080002,571400,59.390539
2014-12-16,59.720001,60.240002,59.50,59.75,593100,59.064324
2014-12-15,59.709999,60.459999,59.16,59.880001,717700,59.192834
2014-12-12,59.25,60.490002,59.25,59.599998,1000700,58.916044
2014-12-11,60.029999,60.459999,59.25,59.799999,738900,59.11375
2014-12-10,60.580002,60.869999,59.77,59.939999,632900,59.009956
2014-12-09,60.07,61.099998,59.48,61.080002,629200,60.132271
2014-12-08,59.200001,60.369999,59.150002,59.91,749000,58.980423
2014-12-05,59.080002,59.50,58.68,59.189999,435600,58.271593
2014-12-04,59.799999,60.18,58.84,59.110001,643700,58.192837
2014-12-03,60.900002,60.900002,59.43,60.00,2441700,59.069027
2014-12-02,62.290001,62.650002,60.549999,61.040001,822700,60.092891
2014-12-01,62.00,63.27,61.549999,61.990002,758000,61.028151
2014-11-28,61.189999,61.98,60.740002,61.509998,602700,60.555596
2014-11-27,61.00,61.50,60.009998,61.139999,395700,60.191338
2014-11-26,59.77,60.77,59.77,60.509998,497100,59.571112
2014-11-25,60.450001,60.82,59.799999,59.849998,528700,58.921353
2014-11-24,61.00,61.360001,60.040001,60.299999,500600,59.364371
2014-11-21,60.66,61.41,60.330002,61.41,506600,60.457149
2014-11-20,60.830002,61.259998,60.279999,60.599998,643500,59.659715
2014-11-19,60.00,61.259998,59.900002,61.119999,884600,60.171647
2014-11-18,60.02,60.849998,59.91,60.07,691600,59.13794
2014-11-17,60.900002,61.799999,60.130001,60.299999,723400,59.364371
2014-11-14,59.77,61.080002,59.57,60.990002,712200,60.043667
2014-11-13,59.98,60.889999,59.50,59.939999,795200,59.009956
2014-11-12,58.369999,60.310001,57.669998,60.099998,787600,59.167474
2014-11-10,57.470001,58.689999,57.32,58.549999,415800,57.641524
2014-11-07,57.540001,57.599998,56.82,57.18,425200,56.292783
2014-11-06,58.34,58.540001,57.330002,57.540001,511500,56.647198
2014-11-05,58.299999,59.02,58.110001,58.330002,418900,57.424941
2014-11-04,57.459999,58.529999,57.400002,58.23,462700,57.32649
2014-11-03,58.830002,58.830002,57.150002,57.360001,441100,56.46999
2014-10-31,58.50,59.200001,58.419998,58.720001,614800,57.808889
2014-10-30,57.630001,58.50,57.25,57.990002,427700,57.090216
2014-10-29,58.450001,58.529999,57.450001,57.59,663200,56.696421
2014-10-28,58.330002,58.599998,57.790001,58.509998,498400,57.602144
2014-10-27,57.119999,58.689999,56.619999,58.299999,830800,57.395404
2014-10-24,54.669998,57.209999,54.669998,56.709999,906500,55.830074
2014-10-23,54.150002,54.700001,53.799999,54.529999,523800,53.683899
2014-10-22,54.310001,54.32,53.700001,53.919998,726900,53.083364
2014-10-21,54.389999,54.650002,53.700001,54.310001,632900,53.467315
2014-10-20,53.610001,54.52,53.459999,54.369999,358400,53.526382
2014-10-17,54.25,54.540001,53.259998,53.970001,629700,53.132591
2014-10-16,54.150002,54.860001,53.34,54.290001,853800,53.447625
2014-10-15,55.080002,55.689999,54.23,54.740002,835800,53.890644
2014-10-14,54.84,55.459999,54.73,55.360001,579900,54.501023
2014-10-10,55.59,56.049999,55.02,55.060001,453300,54.205678
2014-10-09,55.950001,56.18,55.119999,55.689999,780900,54.8259
2014-10-08,55.50,56.110001,55.470001,56.099998,518500,55.229538
2014-10-07,56.099998,56.259998,55.540001,55.540001,414000,54.67823
2014-10-06,56.650002,56.759998,56.259998,56.330002,451600,55.455973
2014-10-03,56.139999,56.630001,55.900002,56.599998,550300,55.72178
2014-10-02,55.990002,56.25,55.369999,56.16,641700,55.288609
2014-10-01,56.029999,56.209999,55.509998,55.799999,669300,54.934194
2014-09-30,55.82,56.299999,55.349998,56.049999,817800,55.180315
2014-09-29,55.720001,56.09,55.150002,55.75,538900,54.884971
2014-09-26,55.779999,56.299999,55.549999,55.82,1025000,54.953884
2014-09-25,56.990002,57.23,55.950001,55.970001,1275300,55.101558
2014-09-24,57.650002,57.700001,56.650002,56.970001,880700,56.086042
2014-09-23,57.799999,57.799999,57.34,57.52,711700,56.627507
2014-09-22,57.50,58.57,57.349998,57.799999,743200,56.903162
2014-09-19,58.00,58.580002,57.509998,57.900002,2364700,57.001612
2014-09-18,57.540001,58.169998,57.529999,57.98,536000,57.080369
2014-09-17,57.099998,57.849998,57.099998,57.709999,1058700,56.814558
2014-09-16,55.560001,57.34,55.50,57.220001,870500,56.332163
2014-09-15,55.34,55.990002,55.299999,55.580002,476000,54.71761
2014-09-12,55.34,55.599998,55.00,55.529999,321500,54.668383
2014-09-11,55.00,55.580002,54.990002,55.25,541900,54.392729
2014-09-10,54.830002,55.25,54.799999,55.209999,304500,54.112148
2014-09-09,55.25,55.290001,54.810001,54.919998,455000,53.827914
2014-09-08,55.00,55.459999,55.00,55.18,285900,54.082746
2014-09-05,54.950001,55.34,54.880001,55.02,517700,53.925928
2014-09-04,54.709999,55.220001,54.599998,55.029999,498800,53.935727
2014-09-03,54.549999,54.73,54.259998,54.59,560500,53.504478
2014-09-02,54.029999,54.50,53.869999,54.50,440900,53.416267
2014-08-29,54.150002,54.25,53.889999,54.200001,625500,53.122234
2014-08-28,53.150002,54.150002,53.07,54.150002,394100,53.073229
