Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,42.00,42.650002,41.91,42.599998,427200,41.561056
2015-04-30,42.68,42.990002,41.990002,41.990002,711700,40.965936
2015-04-29,42.860001,43.16,42.639999,42.73,632000,41.687887
2015-04-28,43.040001,43.509998,42.73,43.07,409100,42.019595
2015-04-27,43.360001,43.490002,42.75,43.200001,430500,42.146426
2015-04-24,43.07,43.299999,42.779999,43.09,432200,42.039108
2015-04-23,42.25,43.299999,42.18,43.07,626000,42.019595
2015-04-22,42.349998,42.349998,41.580002,42.259998,477500,41.229348
2015-04-21,42.549999,42.580002,41.650002,42.02,521400,40.853742
2015-04-20,42.290001,43.099998,42.18,42.549999,731000,41.369031
2015-04-17,42.00,42.290001,41.560001,42.200001,603800,41.028746
2015-04-16,42.00,42.209999,41.299999,42.139999,541900,40.97041
2015-04-15,41.860001,42.470001,41.700001,41.98,620900,40.814851
2015-04-14,41.00,42.09,40.950001,41.650002,623000,40.494012
2015-04-13,41.189999,41.470001,40.779999,40.959999,1066600,39.823161
2015-04-10,41.080002,41.50,40.470001,40.939999,1154300,39.803715
2015-04-09,40.540001,41.200001,40.52,40.950001,476100,39.81344
2015-04-08,41.34,41.349998,40.119999,40.610001,781700,39.482876
2015-04-07,40.849998,41.630001,40.700001,41.34,738800,40.192615
2015-04-06,40.709999,41.09,40.41,40.73,468800,39.599545
2015-04-02,40.279999,41.029999,40.16,40.66,658200,39.531488
2015-04-01,40.23,40.740002,40.00,40.330002,790300,39.210649
2015-03-31,40.00,40.560001,39.950001,40.02,1008700,38.909252
2015-03-30,40.009998,40.619999,39.900002,40.00,710400,38.889806
2015-03-27,40.349998,40.650002,39.619999,40.040001,786500,38.928697
2015-03-26,41.060001,41.549999,40.18,40.389999,876500,39.268981
2015-03-25,41.32,41.630001,41.00,41.110001,641100,39.968999
2015-03-24,40.290001,41.23,40.25,41.049999,496700,39.910663
2015-03-23,40.75,41.150002,40.310001,40.369999,498800,39.249536
2015-03-20,40.459999,41.18,40.299999,40.709999,2880500,39.439122
2015-03-19,41.00,41.279999,39.959999,40.150002,886100,38.896606
2015-03-18,40.509998,41.50,40.220001,41.23,804400,39.942889
2015-03-17,39.900002,40.869999,39.75,40.810001,761500,39.536002
2015-03-16,39.810001,40.029999,39.599998,39.880001,959200,38.635035
2015-03-13,40.130001,40.200001,39.549999,39.939999,1288300,38.693159
2015-03-12,40.16,40.509998,39.93,40.220001,907100,38.964421
2015-03-11,40.299999,40.560001,39.599998,40.02,2016400,38.770664
2015-03-10,39.50,39.830002,39.110001,39.459999,1326900,38.228144
2015-03-09,40.98,40.98,39.84,39.84,751600,38.596282
2015-03-06,40.740002,41.009998,40.099998,40.540001,927500,39.274431
2015-03-05,41.490002,41.599998,40.849998,40.91,892600,39.632879
2015-03-04,41.509998,41.75,40.619999,41.360001,917000,40.068832
2015-03-03,41.799999,42.279999,41.119999,41.630001,1220300,40.330403
2015-03-02,40.369999,41.889999,40.07,41.700001,1773900,40.398218
2015-02-27,39.00,40.00,38.75,39.98,1624400,38.731911
2015-02-26,39.299999,39.330002,38.50,38.889999,1169900,37.675939
2015-02-25,39.990002,39.990002,38.98,39.310001,1046700,38.082829
2015-02-24,39.900002,40.00,39.310001,39.82,825500,38.576906
2015-02-23,39.290001,39.639999,38.900002,39.32,739500,38.092515
2015-02-20,39.799999,40.009998,39.060001,39.389999,693000,38.019857
2015-02-19,40.00,40.509998,39.549999,39.860001,798000,38.47351
2015-02-18,40.299999,40.779999,40.02,40.150002,689900,38.753423
2015-02-17,40.080002,40.889999,39.709999,40.540001,837700,39.129857
2015-02-13,40.860001,41.16,40.25,40.389999,838100,38.985073
2015-02-12,39.50,40.360001,39.09,40.16,1337600,38.763074
2015-02-11,38.540001,38.970001,37.849998,38.970001,1714700,37.614468
2015-02-10,38.75,38.810001,37.639999,38.299999,1543100,36.967771
2015-02-09,40.00,40.049999,38.439999,38.580002,662500,37.238034
2015-02-06,40.00,40.049999,38.450001,38.689999,1054200,37.344205
2015-02-05,39.869999,40.220001,39.330002,39.82,1466800,38.4349
2015-02-04,40.799999,40.849998,39.259998,39.82,1543700,38.4349
2015-02-03,41.240002,42.32,40.75,41.439999,908800,39.998549
2015-02-02,40.200001,40.790001,39.119999,40.66,588000,39.245682
2015-01-30,38.639999,39.84,38.240002,39.48,1143700,38.106726
2015-01-29,39.849998,40.549999,38.380001,38.790001,1633400,37.440729
2015-01-28,40.82,41.099998,39.669998,39.73,1430100,38.34803
2015-01-27,41.16,41.43,40.16,41.189999,1231000,39.757245
2015-01-26,40.040001,41.459999,40.040001,41.139999,937600,39.708985
2015-01-23,39.98,40.75,39.849998,40.18,712000,38.782378
2015-01-22,39.240002,40.169998,39.18,39.849998,1146100,38.463855
2015-01-21,37.23,39.380001,36.950001,39.200001,935000,37.836467
2015-01-20,38.349998,38.400002,36.950001,37.240002,1087800,35.80469
2015-01-19,38.09,38.450001,37.849998,38.080002,277500,36.612314
2015-01-16,37.169998,38.41,37.169998,38.09,1245400,36.621927
2015-01-15,38.650002,38.650002,36.98,37.259998,1053700,35.823916
2015-01-14,36.849998,38.209999,36.16,38.189999,1444800,36.718072
2015-01-13,39.00,39.459999,36.990002,37.23,1932200,35.795073
2015-01-12,39.50,39.799999,38.209999,38.82,1270500,37.323791
2015-01-09,40.439999,41.189999,39.75,39.799999,853600,38.266019
2015-01-08,39.759998,40.52,39.380001,40.389999,1235200,38.83328
2015-01-07,40.459999,40.880001,39.439999,39.549999,1207200,38.025655
2015-01-06,41.150002,41.220001,39.509998,40.209999,1567200,38.660217
2015-01-05,42.799999,43.130001,40.950001,41.150002,1200000,39.563989
2015-01-02,42.34,43.66,42.34,43.349998,551500,41.679194
2014-12-31,42.330002,42.669998,42.02,42.34,592300,40.708123
2014-12-30,42.27,42.830002,42.02,42.610001,476200,40.967717
2014-12-29,41.630001,42.73,41.580002,42.189999,751700,40.563903
2014-12-24,41.849998,41.990002,41.18,41.580002,379100,39.838004
2014-12-23,40.349998,42.18,40.279999,41.84,897400,40.08711
2014-12-22,40.349998,40.610001,39.25,40.380001,907100,38.688277
2014-12-19,40.189999,40.759998,39.529999,40.349998,4401900,38.659532
2014-12-18,40.689999,40.689999,39.00,39.66,1914900,37.998441
2014-12-17,37.52,39.50,37.049999,38.75,1789000,37.126565
2014-12-16,36.900002,38.610001,36.43,37.759998,1942600,36.17804
2014-12-15,37.009998,37.849998,36.509998,36.830002,1323200,35.287006
2014-12-12,37.200001,38.52,36.599998,37.139999,962300,35.584016
2014-12-11,36.50,38.950001,36.450001,38.299999,1428500,36.695417
2014-12-10,39.330002,39.400002,36.669998,37.169998,1341800,35.612758
2014-12-09,39.060001,39.98,38.610001,39.68,982500,38.017603
2014-12-08,39.799999,40.139999,38.849998,39.529999,2423500,37.873886
2014-12-05,40.349998,40.75,39.919998,39.990002,850300,38.314617
2014-12-04,41.200001,42.099998,40.02,40.380001,1895900,38.688277
2014-12-03,38.299999,40.860001,38.200001,40.689999,2251000,38.985287
2014-12-02,36.950001,38.919998,36.93,38.130001,2496700,36.532541
2014-12-01,37.34,38.669998,36.259998,37.040001,2838800,35.488207
2014-11-28,39.810001,40.740002,38.82,38.959999,1317500,37.327766
2014-11-27,41.84,42.189999,40.349998,40.950001,515000,39.234397
2014-11-26,41.50,42.459999,41.110001,42.130001,1128800,40.364961
2014-11-25,42.080002,42.93,41.689999,41.759998,1946600,40.010459
2014-11-24,43.66,43.82,42.07,42.18,1170700,40.412865
2014-11-21,44.32,44.32,44.32,44.32,000,42.463209
