Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,43.00,43.41,42.77,43.00,710700,42.511825
2015-04-30,43.220001,43.400002,42.880001,43.099998,899600,42.610689
2015-04-29,43.889999,43.900002,43.09,43.349998,839500,42.85785
2015-04-28,43.939999,44.009998,43.799999,43.950001,577700,43.451041
2015-04-27,43.970001,44.02,43.630001,43.990002,930500,43.490588
2015-04-24,43.389999,43.779999,43.200001,43.77,774100,43.273084
2015-04-23,42.939999,43.419998,42.919998,43.299999,937000,42.808419
2015-04-22,42.580002,43.48,42.580002,42.990002,1921800,42.501941
2015-04-21,41.00,42.470001,40.959999,42.060001,3800800,41.582499
2015-04-20,41.900002,41.98,41.400002,41.860001,1774900,41.384768
2015-04-17,41.880001,41.959999,40.720001,41.540001,2235400,41.068402
2015-04-16,42.110001,42.25,41.490002,42.029999,1310400,41.552837
2015-04-15,42.970001,43.110001,42.060001,42.099998,1691600,41.622042
2015-04-14,43.09,43.349998,42.540001,42.830002,806200,42.343757
2015-04-13,43.490002,43.50,43.029999,43.119999,607100,42.630462
2015-04-10,43.599998,43.599998,43.279999,43.419998,466200,42.927055
2015-04-09,43.16,43.869999,43.16,43.50,899000,43.006149
2015-04-08,42.84,43.27,42.82,43.16,611500,42.670009
2015-04-07,42.990002,43.439999,42.900002,42.98,703000,42.492052
2015-04-06,42.900002,43.360001,42.849998,42.98,429900,42.492052
2015-04-02,42.700001,43.240002,42.700001,43.00,544000,42.511825
2015-04-01,42.490002,42.799999,42.330002,42.75,813400,42.264664
2015-03-31,43.00,43.00,42.259998,42.400002,1101600,41.918639
2015-03-30,43.52,43.889999,43.18,43.189999,869200,42.699667
2015-03-27,43.23,43.650002,42.68,43.540001,829900,43.045696
2015-03-26,43.290001,43.389999,42.82,43.18,877200,42.689782
2015-03-25,44.25,44.25,43.279999,43.389999,949800,42.897397
2015-03-24,44.07,44.50,43.970001,44.169998,654800,43.668541
2015-03-23,43.990002,44.330002,43.849998,44.009998,565900,43.510357
2015-03-20,43.77,44.060001,43.41,44.060001,2704300,43.559793
2015-03-19,43.759998,43.93,43.299999,43.540001,811600,43.045696
2015-03-18,43.50,43.73,43.110001,43.700001,734800,43.203879
2015-03-17,43.41,43.639999,42.91,43.50,661500,43.006149
2015-03-16,42.700001,43.720001,42.639999,43.619999,850000,43.124786
2015-03-13,42.959999,42.959999,42.439999,42.689999,477000,42.205343
2015-03-12,42.419998,42.880001,42.34,42.810001,936600,42.323984
2015-03-11,42.349998,42.619999,42.099998,42.470001,898100,41.987844
2015-03-10,42.970001,43.009998,42.419998,42.66,1330900,41.701135
2015-03-09,43.610001,43.610001,42.93,42.959999,1298300,41.994391
2015-03-06,43.860001,44.110001,43.450001,43.700001,1128900,42.71776
2015-03-05,43.650002,44.080002,43.610001,43.610001,764300,42.629782
2015-03-04,43.50,43.889999,43.279999,43.470001,774400,42.49293
2015-03-03,44.09,44.09,43.560001,43.66,732300,42.678658
2015-03-02,44.16,44.349998,44.07,44.110001,806700,43.118544
2015-02-27,44.59,44.900002,44.209999,44.209999,1259800,43.216295
2015-02-26,44.880001,44.959999,44.279999,44.669998,863200,43.665955
2015-02-25,45.290001,45.310001,44.700001,44.709999,842300,43.705056
2015-02-24,45.630001,46.02,45.310001,45.310001,559200,44.291572
2015-02-23,46.040001,46.16,45.619999,45.75,846400,44.721681
2015-02-20,46.400002,46.400002,45.950001,45.990002,553700,44.956288
2015-02-19,46.459999,46.650002,46.119999,46.34,577000,45.29842
2015-02-18,46.27,46.509998,45.869999,46.349998,817500,45.308194
2015-02-17,45.57,46.549999,45.52,46.09,878700,45.054039
2015-02-13,45.060001,45.799999,44.950001,45.759998,1067500,44.731455
2015-02-12,45.790001,45.790001,44.740002,45.09,1183600,44.076516
2015-02-11,45.43,45.970001,45.419998,45.75,871100,44.721681
2015-02-10,44.799999,45.66,44.799999,45.18,767800,44.164493
2015-02-09,45.389999,45.389999,44.41,44.619999,759700,43.617079
2015-02-06,45.389999,45.389999,44.41,44.619999,989100,43.617079
2015-02-05,45.18,45.93,44.880001,45.00,1163500,43.988539
2015-02-04,44.77,45.25,44.529999,45.07,983900,44.056965
2015-02-03,44.799999,45.07,44.490002,44.599998,650900,43.597528
