Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,27.56,27.72,27.44,27.65,961500,26.56142
2015-04-30,27.50,27.86,27.46,27.58,1232800,26.49418
2015-04-29,27.62,27.79,27.605,27.69,954400,26.59985
2015-04-28,27.73,27.86,27.44,27.71,955800,26.61906
2015-04-27,27.72,27.75,27.59,27.74,606800,26.64788
2015-04-24,27.46,27.66,27.44,27.64,590800,26.55182
2015-04-23,27.24,27.62,27.20,27.49,1039800,26.40772
2015-04-22,27.47,27.53,27.23,27.34,1029000,26.26363
2015-04-21,27.45,27.60,27.39,27.44,823700,26.35969
2015-04-20,27.50,27.64,27.27,27.31,589100,26.23481
2015-04-17,27.25,27.46,27.06,27.39,926500,26.31166
2015-04-16,27.04,27.40,26.90,27.33,1221900,26.25402
2015-04-15,28.15,28.19,26.76,27.07,2801000,26.00426
2015-04-14,28.32,28.49,27.73,28.10,2415500,26.99371
2015-04-13,29.16,29.28,28.72,28.92,1537200,27.78142
2015-04-10,29.42,29.42,29.17,29.30,556200,28.0516
2015-04-09,29.00,29.56,29.00,29.24,494300,27.99416
2015-04-08,28.77,29.22,28.76,29.05,769700,27.81225
2015-04-07,28.67,28.91,28.67,28.74,461000,27.51546
2015-04-06,28.57,29.105,28.53,28.70,611500,27.47717
2015-04-03,28.61,28.61,28.61,28.61,000,27.391
2015-04-02,28.05,28.72,28.04,28.61,670300,27.391
2015-04-01,28.25,28.29,27.98,28.18,603700,26.97932
2015-03-31,28.45,28.61,28.20,28.42,1316900,27.2091
2015-03-30,28.52,28.96,28.44,28.61,961600,27.391
2015-03-27,28.60,28.88,28.31,28.50,650500,27.28569
2015-03-26,28.48,28.73,28.29,28.61,825300,27.391
2015-03-25,28.99,29.03,28.425,28.49,1157400,27.27611
2015-03-24,28.34,28.92,28.34,28.91,582000,27.67822
2015-03-23,28.56,28.56,28.30,28.44,673600,27.22824
2015-03-20,28.71,29.15,28.48,28.59,2640600,27.37185
2015-03-19,28.81,28.93,28.60,28.62,922300,27.40057
2015-03-18,28.82,28.93,28.60,28.74,1038400,27.51546
2015-03-17,28.87,29.04,28.71,28.89,1095200,27.65907
2015-03-16,28.85,29.27,28.74,28.96,704200,27.72609
2015-03-13,28.80,29.08,28.56,28.84,594300,27.6112
2015-03-12,28.77,29.00,28.62,28.85,1014800,27.62077
2015-03-11,28.68,28.86,28.50,28.80,820200,27.5729
2015-03-10,28.63,28.86,28.36,28.75,683300,27.43049
2015-03-09,28.87,28.87,28.63,28.79,605600,27.46866
2015-03-06,28.89,29.00,28.75,28.93,852000,27.60223
2015-03-05,29.03,29.21,28.86,28.98,700100,27.64994
2015-03-04,28.75,29.10,28.66,29.01,611400,27.67856
2015-03-03,28.82,28.90,28.64,28.85,585300,27.5259
2015-03-02,29.00,29.21,28.79,28.90,1385400,27.57361
2015-02-27,28.88,29.21,28.88,29.00,1852300,27.66902
2015-02-26,29.13,29.43,28.935,29.01,2383900,27.67856
2015-02-25,29.43,29.56,29.04,29.20,2245200,27.85984
2015-02-24,29.64,29.94,28.08,29.48,1357800,28.12699
2015-02-23,29.56,29.75,29.52,29.64,815800,28.27964
2015-02-20,29.65,29.74,29.53,29.63,1167100,28.2701
2015-02-19,29.65,29.79,29.53,29.62,1173200,28.26056
2015-02-18,29.69,29.96,29.51,29.64,2041900,28.27964
2015-02-17,29.75,29.98,29.61,29.66,737500,28.29873
2015-02-16,29.80,29.80,29.80,29.80,000,28.4323
2015-02-13,29.69,29.97,29.60,29.80,485000,28.4323
2015-02-12,29.49,29.78,29.34,29.75,1974700,28.3846
2015-02-11,29.80,29.94,29.46,29.60,919500,28.24148
2015-02-10,29.61,29.83,29.25,29.81,1118900,28.35438
2015-02-09,29.59,29.69,29.21,29.47,763800,28.03098
2015-02-06,30.07,30.09,29.52,29.68,486100,28.23073
2015-02-05,29.90,30.37,29.65,29.91,959800,28.4495
2015-02-04,29.73,30.00,29.60,29.81,908500,28.35438
2015-02-03,29.83,29.96,29.56,29.65,714700,28.20219
2015-02-02,29.39,29.87,29.29,29.67,711300,28.22122
2015-01-30,29.45,29.84,29.29,29.34,1482500,27.90733
2015-01-29,29.36,29.63,29.03,29.57,1774600,28.1261
2015-01-28,29.85,29.87,29.38,29.40,838400,27.9644
2015-01-27,29.12,29.75,28.76,29.73,2031700,28.27829
2015-01-26,29.22,29.625,29.15,29.32,1190500,27.88831
2015-01-23,29.93,29.94,29.26,29.39,1350100,27.95489
2015-01-22,29.51,29.91,29.49,29.80,1383400,28.34487
2015-01-21,29.13,29.65,29.06,29.57,1489300,28.1261
2015-01-20,29.75,29.81,29.065,29.26,1327800,27.83124
2015-01-19,29.63,29.70,29.21,29.53,308900,28.08806
2015-01-16,29.96,30.11,29.66,29.75,1236400,28.29731
2015-01-15,29.91,30.26,29.45,30.15,1069300,28.67778
2015-01-14,30.57,30.63,29.22,30.17,1280900,28.6968
