Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,38.720001,39.25,38.68,39.060001,736900,38.334175
2015-04-30,39.16,39.389999,38.580002,38.610001,1222100,37.892536
2015-04-29,39.220001,39.50,39.16,39.34,1098100,38.608971
2015-04-28,39.290001,39.490002,39.080002,39.48,521900,38.746369
2015-04-27,39.669998,39.75,39.139999,39.330002,849700,38.599158
2015-04-24,39.32,39.619999,39.080002,39.540001,996900,38.805255
2015-04-23,38.93,39.509998,38.830002,39.32,1127000,38.589342
2015-04-22,38.919998,39.130001,38.560001,39.110001,658600,38.383245
2015-04-21,39.389999,39.59,38.900002,39.00,887000,38.275289
2015-04-20,39.310001,39.82,39.209999,39.32,843900,38.589342
2015-04-17,39.630001,39.66,39.150002,39.16,769900,38.432315
2015-04-16,39.970001,40.209999,39.720001,39.77,674100,39.030981
2015-04-15,39.75,40.419998,39.740002,40.040001,1121000,39.295964
2015-04-14,39.360001,39.709999,39.279999,39.689999,865500,38.952465
2015-04-13,39.369999,39.740002,39.330002,39.439999,866000,38.707111
2015-04-10,39.810001,39.900002,39.279999,39.419998,1142100,38.687482
2015-04-09,39.599998,40.099998,39.599998,39.75,1070600,39.011352
2015-04-08,39.349998,39.919998,39.32,39.720001,896900,38.98191
2015-04-07,39.290001,39.57,39.169998,39.380001,665200,38.648228
2015-04-06,39.07,39.529999,38.900002,39.16,533500,38.432315
2015-04-02,38.709999,39.43,38.689999,39.169998,661200,38.442128
2015-04-01,38.900002,39.029999,38.599998,38.779999,1164300,38.059375
2015-03-31,38.959999,39.490002,38.599998,39.029999,1446100,38.30473
2015-03-30,39.220001,39.790001,39.16,39.16,927000,38.432315
2015-03-27,39.580002,40.080002,39.00,39.09,839100,38.363616
2015-03-26,39.990002,40.110001,39.400002,39.669998,897200,38.932837
2015-03-25,40.619999,40.720001,39.900002,39.950001,1021900,39.207636
2015-03-24,40.259998,40.77,40.049999,40.619999,873400,39.865184
2015-03-23,40.880001,41.110001,40.23,40.27,827900,39.521689
2015-03-20,40.220001,41.110001,40.150002,40.880001,3497900,40.120355
2015-03-19,40.080002,40.360001,39.799999,40.110001,1442100,39.364663
2015-03-18,40.32,40.610001,40.00,40.169998,933400,39.423545
2015-03-17,40.509998,40.599998,39.84,40.490002,973800,39.737603
2015-03-16,39.860001,40.889999,39.82,40.540001,1205400,39.786673
2015-03-13,39.799999,40.07,39.400002,39.810001,1131200,39.070238
2015-03-12,39.150002,40.139999,39.119999,39.919998,1833400,39.178191
2015-03-11,38.650002,39.419998,38.529999,39.09,843700,38.363616
