Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,23.700001,24.65,23.700001,24.52,960500,24.369904
2015-04-30,24.34,24.35,23.780001,23.799999,1362600,23.65431
2015-04-29,24.700001,25.030001,24.450001,24.75,1374900,24.598495
2015-04-28,24.24,24.860001,24.049999,24.629999,1462900,24.479229
2015-04-27,23.59,24.48,23.469999,24.040001,1625200,23.892843
2015-04-24,23.360001,23.67,23.110001,23.309999,595800,23.16731
2015-04-23,23.41,23.620001,23.15,23.48,1249400,23.336269
2015-04-22,23.67,23.799999,23.200001,23.290001,899700,23.147434
2015-04-21,23.860001,24.17,23.690001,23.940001,689100,23.793454
2015-04-20,23.719999,23.860001,23.379999,23.83,1266900,23.684127
2015-04-17,23.540001,24.25,23.459999,23.790001,970900,23.644373
2015-04-16,24.02,24.15,23.43,23.440001,811100,23.296515
2015-04-15,23.969999,24.040001,23.700001,23.940001,801100,23.793454
2015-04-14,24.030001,24.190001,23.66,23.719999,709500,23.5748
2015-04-13,24.67,24.68,24.040001,24.07,586200,23.922658
2015-04-10,24.57,24.860001,24.49,24.66,731000,24.509046
2015-04-09,24.049999,24.379999,23.91,24.17,745900,24.022046
2015-04-08,24.379999,24.49,24.00,24.209999,867200,24.0618
2015-04-07,24.40,24.860001,24.360001,24.40,1047700,24.250638
2015-04-06,24.82,24.870001,24.43,24.51,780000,24.359965
2015-04-02,24.860001,24.950001,24.059999,24.10,1005900,23.952475
2015-04-01,24.18,25.360001,24.18,25.02,1304900,24.866843
2015-03-31,24.35,24.389999,23.780001,24.059999,1524200,23.912719
2015-03-30,24.67,24.67,24.129999,24.34,981500,24.191005
2015-03-27,24.780001,25.040001,24.049999,24.719999,989700,24.568678
2015-03-26,25.280001,25.50,24.42,24.58,1199600,24.367916
2015-03-25,25.620001,25.690001,25.09,25.17,919200,24.952826
2015-03-24,25.50,25.639999,25.17,25.48,2292400,25.26015
2015-03-23,25.50,25.60,24.91,25.51,1586900,25.289892
2015-03-20,24.950001,25.48,24.82,25.48,6956000,25.26015
2015-03-19,24.17,25.01,23.85,24.690001,1767900,24.476968
2015-03-18,23.48,24.18,23.35,23.91,2350100,23.703697
2015-03-17,23.780001,24.02,23.43,23.58,1089800,23.376544
2015-03-16,24.209999,24.34,23.66,23.959999,2169700,23.753265
2015-03-13,23.780001,24.15,23.40,24.129999,1091900,23.921798
2015-03-12,23.75,23.85,23.309999,23.559999,1071200,23.356717
2015-03-11,23.10,23.780001,22.82,23.780001,1341400,23.574819
2015-03-10,23.389999,23.68,22.90,23.059999,1404800,22.861031
2015-03-09,23.77,23.83,23.059999,23.299999,851300,23.09896
2015-03-06,24.059999,24.370001,23.65,23.709999,1281400,23.505422
2015-03-05,24.879999,24.959999,24.469999,24.469999,834700,24.258865
2015-03-04,24.93,25.040001,24.58,24.700001,972400,24.486882
2015-03-03,25.190001,25.43,24.700001,24.969999,1980500,24.75455
2015-03-02,26.92,27.09,26.440001,26.60,523700,26.370487
2015-02-27,26.93,27.280001,26.799999,27.00,910600,26.767036
2015-02-26,26.969999,27.209999,26.67,26.860001,550100,26.628244
2015-02-25,26.58,26.76,26.32,26.549999,531600,26.320918
2015-02-24,26.40,26.969999,26.389999,26.389999,565200,26.162298
2015-02-23,26.73,26.870001,26.360001,26.66,801400,26.429969
2015-02-20,27.25,27.690001,26.790001,26.860001,590600,26.628244
2015-02-19,27.950001,27.99,27.01,27.120001,719000,26.886001
2015-02-18,27.10,27.780001,26.790001,27.68,941000,27.441169
2015-02-17,27.549999,27.85,26.889999,26.889999,1135100,26.657984
2015-02-13,28.42,28.76,28.35,28.35,590400,28.105388
2015-02-12,28.059999,28.17,27.610001,28.02,1071000,27.778235
2015-02-11,28.00,28.219999,27.549999,27.879999,765800,27.639442
2015-02-10,27.84,28.07,27.33,27.870001,726900,27.62953
2015-02-09,28.23,28.23,27.719999,28.049999,565700,27.807975
2015-02-06,28.23,28.700001,27.719999,27.959999,1144000,27.718752
2015-02-05,28.629999,29.040001,28.50,29.02,831900,28.769607
2015-02-04,28.50,29.35,28.26,29.040001,876300,28.789435
2015-02-03,28.85,28.91,27.90,28.02,1027200,27.778235
2015-02-02,28.719999,29.370001,28.50,29.10,1008300,28.848917
2015-01-30,28.309999,29.440001,28.16,29.190001,1449200,28.93814
2015-01-29,27.639999,28.379999,27.49,28.07,1401600,27.827803
2015-01-28,29.629999,29.780001,28.370001,28.67,1201100,28.422626
2015-01-27,29.32,29.860001,29.110001,29.77,1088900,29.513136
2015-01-26,28.209999,29.290001,27.93,29.290001,1048800,29.037278
2015-01-23,28.98,29.200001,28.42,28.620001,1166800,28.373059
2015-01-22,29.24,29.84,29.129999,29.209999,1668400,28.957966
2015-01-21,29.120001,29.219999,28.24,28.879999,2145100,28.630814
2015-01-20,28.389999,29.08,28.35,28.85,1502400,28.601074
2015-01-19,27.950001,28.32,27.66,28.25,259400,28.00625
2015-01-16,27.629999,28.40,27.50,27.92,1687200,27.679098
2015-01-15,27.450001,27.66,27.08,27.280001,2505200,27.04462
2015-01-14,27.00,27.190001,26.280001,26.65,1762600,26.420055
2015-01-13,27.799999,27.799999,26.43,26.879999,1715000,26.64807
2015-01-12,25.92,27.389999,25.84,27.26,1820900,27.024793
2015-01-09,25.190001,25.879999,25.15,25.76,1238800,25.537735
2015-01-08,25.32,25.809999,24.790001,24.959999,1261600,24.744637
2015-01-07,25.360001,26.02,25.030001,25.26,1368900,25.042049
2015-01-06,25.00,25.90,24.860001,25.809999,1421900,25.587303
2015-01-05,24.799999,24.98,24.129999,24.82,1211300,24.605845
2015-01-02,23.41,24.540001,23.309999,24.530001,1171100,24.318348
2014-12-31,23.299999,23.889999,23.25,23.629999,675000,23.426112
2014-12-30,23.40,23.950001,23.299999,23.49,1029900,23.287321
2014-12-29,23.379999,23.50,22.940001,23.040001,705300,22.841205
2014-12-24,22.75,23.450001,22.41,23.200001,444200,22.999824
2014-12-23,22.76,23.57,22.48,22.690001,825500,22.494224
2014-12-22,23.950001,24.049999,22.41,22.67,1259300,22.474396
2014-12-19,24.299999,24.629999,23.709999,23.77,3563800,23.564906
2014-12-18,24.18,24.23,23.200001,24.030001,1840500,23.822662
2014-12-17,22.08,23.76,21.780001,23.67,4130900,23.465768
2014-12-16,22.90,23.00,21.76,21.950001,2314500,21.760609
2014-12-15,23.52,23.879999,22.42,22.469999,1561300,22.276121
2014-12-12,23.940001,24.450001,23.639999,23.83,1154600,23.624387
2014-12-11,24.10,24.870001,23.809999,23.99,1267100,23.783007
2014-12-10,24.98,25.49,24.23,24.34,1561400,24.129987
2014-12-09,24.639999,25.35,24.50,24.98,2005900,24.764464
2014-12-08,24.59,24.59,23.440001,24.23,1971600,24.020936
2014-12-05,23.799999,24.440001,23.42,24.17,2177900,23.961454
2014-12-04,24.709999,24.90,23.870001,24.07,1912600,23.862316
2014-12-03,24.059999,24.870001,23.83,24.629999,3762000,24.417484
2014-12-02,23.90,24.48,23.440001,23.68,1895600,23.475682
2014-12-01,23.07,24.33,23.07,24.209999,1847100,24.001108
2014-11-28,23.379999,23.52,22.440001,22.58,922200,22.385173
2014-11-27,23.90,24.040001,23.459999,23.84,268700,23.634301
2014-11-26,24.58,24.58,24.00,24.059999,1334700,23.852402
2014-11-25,23.75,24.66,23.74,24.66,2674700,24.447226
2014-11-24,23.799999,24.209999,23.540001,23.799999,1785000,23.594645
2014-11-21,24.610001,24.700001,23.709999,23.959999,1949700,23.686843
2014-11-20,23.74,24.219999,23.58,24.09,1768700,23.815362
2014-11-19,24.17,24.299999,23.209999,23.440001,2467600,23.172772
2014-11-18,23.73,24.219999,23.440001,24.129999,1998200,23.854905
2014-11-17,22.799999,23.57,22.540001,23.27,2022600,23.00471
2014-11-14,21.34,23.00,21.08,22.799999,2582600,22.540067
2014-11-13,21.870001,22.16,21.299999,21.700001,2271200,21.452609
2014-11-12,21.280001,21.889999,20.780001,21.51,2286900,21.264775
2014-11-10,21.139999,21.200001,20.290001,20.41,1811800,20.177315
2014-11-07,20.68,21.52,20.67,21.379999,1624500,21.136256
2014-11-06,19.50,20.84,19.50,20.379999,2167700,20.147657
2014-11-05,19.10,20.34,18.93,19.43,1862800,19.208488
2014-11-04,20.219999,20.360001,19.57,19.620001,1404100,19.396323
2014-11-03,19.59,20.459999,19.43,20.34,1787800,20.108114
2014-10-31,19.24,19.950001,18.92,19.59,2852300,19.366664
2014-10-30,21.209999,21.290001,19.889999,20.00,2033000,19.77199
2014-10-29,21.940001,22.309999,21.32,21.52,1518000,21.274661
2014-10-28,21.889999,22.32,21.620001,22.219999,777400,21.96668
2014-10-27,22.040001,22.040001,21.66,21.74,760500,21.492152
2014-10-24,22.209999,22.309999,21.77,22.17,961700,21.917251
2014-10-23,21.85,22.379999,21.58,22.16,1094300,21.907364
2014-10-22,22.40,22.50,21.610001,21.76,1208700,21.511925
2014-10-21,22.99,22.99,22.43,22.57,996500,22.31269
2014-10-20,22.120001,22.559999,22.01,22.540001,1087500,22.283033
2014-10-17,22.24,22.33,21.799999,21.969999,1491400,21.71953
2014-10-16,22.299999,22.860001,22.129999,22.280001,1776500,22.025997
2014-10-15,22.57,23.25,22.07,22.379999,2108000,22.124856
2014-10-14,22.049999,22.799999,21.98,22.43,1879800,22.174287
2014-10-10,21.790001,22.450001,21.360001,21.780001,1548700,21.531697
2014-10-09,23.120001,23.120001,21.33,21.84,2009700,21.591013
2014-10-08,21.57,22.98,21.059999,22.84,2454500,22.579612
2014-10-07,21.889999,21.98,21.15,21.290001,1383800,21.047284
2014-10-06,21.73,21.93,21.440001,21.790001,932100,21.541584
2014-10-03,22.17,22.17,21.559999,21.60,1465900,21.353749
2014-10-02,22.60,22.60,21.809999,22.389999,1403600,22.134742
2014-10-01,22.32,22.91,22.32,22.469999,1646200,22.21383
2014-09-30,22.50,22.559999,22.17,22.34,1530600,22.085313
2014-09-29,22.940001,22.98,22.559999,22.559999,776000,22.302804
2014-09-26,22.959999,22.969999,22.719999,22.90,844700,22.638928
2014-09-25,22.84,23.18,22.65,22.99,1047000,22.727902
2014-09-24,23.059999,23.33,22.73,23.01,1594800,22.747674
2014-09-23,23.23,23.360001,22.950001,23.059999,1077200,22.797103
2014-09-22,23.67,23.67,22.91,22.98,1163100,22.718016
2014-09-19,24.139999,24.24,23.32,23.58,2158000,23.311176
2014-09-18,24.50,24.57,24.23,24.370001,935700,24.09217
2014-09-17,25.299999,25.299999,24.65,24.74,988800,24.457951
2014-09-16,25.24,25.49,24.84,25.290001,1008300,25.001682
2014-09-15,25.549999,25.559999,25.049999,25.219999,646100,24.932478
2014-09-12,25.84,26.049999,25.33,25.549999,1164100,25.258716
2014-09-11,25.74,26.02,25.469999,25.98,2058600,25.683814
2014-09-10,26.040001,26.26,25.719999,25.870001,1162700,25.575069
2014-09-09,25.99,26.25,25.639999,26.120001,1775500,25.822219
2014-09-08,26.15,26.23,25.540001,25.799999,1768700,25.505866
2014-09-05,26.00,26.299999,25.879999,26.25,739600,25.950736
2014-09-04,26.450001,26.77,25.93,26.040001,1192000,25.743131
2014-09-03,26.700001,26.84,26.35,26.43,1484100,26.128685
2014-09-02,26.68,27.040001,26.469999,26.65,887800,26.346176
2014-08-29,26.889999,27.360001,26.68,27.16,664900,26.850362
2014-08-28,26.85,27.07,26.620001,26.950001,932200,26.642757
2014-08-27,26.99,27.08,26.59,26.620001,721400,26.316519
2014-08-26,27.07,27.23,26.879999,27.049999,1020500,26.741615
