Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,12.00,12.05,11.90,11.92,604700,11.422405
2015-04-30,12.12,12.18,11.91,12.00,1185900,11.499065
2015-04-29,12.28,12.29,12.10,12.16,1468600,11.652386
2015-04-28,12.30,12.50,12.28,12.34,441800,11.824872
2015-04-27,12.33,12.34,12.23,12.28,401200,11.767376
2015-04-24,12.21,12.37,12.16,12.29,434400,11.776959
2015-04-23,12.30,12.35,12.15,12.24,1021100,11.729046
2015-04-22,12.06,12.39,12.05,12.32,1642000,11.805706
2015-04-21,12.21,12.28,12.04,12.05,374300,11.546978
2015-04-20,12.16,12.33,12.16,12.18,566400,11.671551
2015-04-17,11.97,12.16,11.96,12.15,752800,11.642803
2015-04-16,12.07,12.13,12.00,12.07,448500,11.566143
2015-04-15,12.00,12.15,11.94,11.95,1622700,11.451152
2015-04-14,11.96,12.05,11.92,11.99,480800,11.489482
2015-04-13,11.96,12.04,11.87,11.96,413100,11.460735
2015-04-10,11.85,12.04,11.84,11.97,1405800,11.470318
2015-04-09,11.73,11.98,11.72,11.88,845400,11.384074
2015-04-08,11.76,11.80,11.65,11.74,331100,11.249918
2015-04-07,11.76,11.88,11.70,11.74,417300,11.249918
2015-04-06,11.71,11.97,11.68,11.79,255900,11.297831
2015-04-02,11.69,11.80,11.69,11.72,569400,11.230754
2015-04-01,11.69,11.79,11.66,11.74,359400,11.249918
2015-03-31,11.65,11.79,11.65,11.75,681600,11.259501
2015-03-30,11.66,11.84,11.66,11.69,1372200,11.202005
2015-03-27,11.62,11.76,11.55,11.66,418400,11.173258
2015-03-26,11.57,11.76,11.57,11.65,822900,11.163675
2015-03-25,12.04,12.04,11.60,11.63,1121000,11.144511
2015-03-24,11.90,12.05,11.81,11.98,792000,11.479899
2015-03-23,11.75,11.94,11.61,11.88,1189100,11.384074
2015-03-20,11.57,11.77,11.47,11.77,4427400,11.278667
2015-03-19,11.50,11.69,11.48,11.50,769300,11.019937
2015-03-18,11.40,11.63,11.30,11.57,678700,11.087015
2015-03-17,11.32,11.53,11.25,11.41,631200,10.933694
2015-03-16,11.45,11.64,11.36,11.40,603400,10.924111
2015-03-13,11.29,11.45,11.29,11.43,674000,10.95286
2015-03-12,11.34,11.39,11.27,11.35,476200,10.876199
2015-03-11,11.34,11.34,11.13,11.34,567200,10.866616
2015-03-10,11.30,11.36,11.21,11.31,896000,10.837869
2015-03-09,11.64,11.67,11.27,11.33,828800,10.857034
2015-03-06,11.35,11.66,11.35,11.65,1373900,11.163675
2015-03-05,11.56,11.68,11.36,11.36,818800,10.885781
2015-03-04,11.44,11.61,11.41,11.52,508200,11.039103
2015-03-03,11.62,11.62,11.45,11.46,701800,10.981607
2015-03-02,11.76,11.77,11.39,11.53,795900,11.048685
2015-02-27,11.71,11.81,11.70,11.78,849200,11.288248
2015-02-26,12.00,12.00,11.66,11.67,914300,11.182841
2015-02-25,12.09,12.15,12.01,12.07,798800,11.393657
2015-02-24,12.12,12.20,12.04,12.06,822600,11.384218
2015-02-23,11.92,12.23,11.82,12.17,1371300,11.488054
2015-02-20,11.45,11.97,11.36,11.95,1658000,11.280381
2015-02-19,11.35,11.77,11.35,11.42,2440800,10.78008
2015-02-18,10.93,11.14,10.92,11.10,1072500,10.478011
2015-02-17,11.00,11.00,10.88,10.91,588700,10.298658
2015-02-13,10.96,11.00,10.84,10.91,774600,10.298658
2015-02-12,10.98,10.98,10.82,10.89,675000,10.279779
2015-02-11,10.81,11.00,10.80,10.92,454400,10.308097
2015-02-10,10.99,10.99,10.74,10.81,965200,10.204262
2015-02-09,11.20,11.23,10.87,10.95,446100,10.336416
2015-02-06,11.20,11.23,10.95,11.00,610800,10.383615
2015-02-05,11.13,11.22,11.06,11.18,539000,10.553529
2015-02-04,11.23,11.29,11.05,11.10,447100,10.478011
