Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,55.779999,56.25,55.630001,55.959999,1674400,54.88789
2015-04-30,55.950001,55.990002,55.32,55.700001,3082100,54.632873
2015-04-29,55.919998,56.16,55.639999,56.080002,2283200,55.005594
2015-04-28,56.049999,56.189999,55.799999,56.119999,1693700,55.044825
2015-04-27,56.330002,56.34,55.98,56.169998,2842100,55.093866
2015-04-24,56.23,56.34,55.880001,56.130001,1352200,55.054635
2015-04-23,55.560001,56.240002,55.549999,56.040001,2025700,54.96636
2015-04-22,55.75,55.900002,55.220001,55.889999,1952400,54.819232
2015-04-21,56.25,56.299999,55.75,55.990002,2404400,54.917318
2015-04-20,56.00,56.310001,55.82,56.150002,2130400,55.074253
2015-04-17,55.759998,55.830002,55.400002,55.75,2131000,54.681915
2015-04-16,55.889999,56.119999,55.549999,56.029999,2425000,54.956549
2015-04-15,55.50,56.16,55.43,55.900002,4213400,54.829042
2015-04-14,55.400002,55.540001,55.25,55.349998,2433600,54.289576
2015-04-13,55.299999,55.400002,55.200001,55.369999,1701200,54.309194
2015-04-10,55.23,55.41,55.130001,55.290001,1687900,54.230728
2015-04-09,54.689999,55.400002,54.650002,55.25,3072700,54.191494
2015-04-08,54.540001,54.900002,54.43,54.650002,2155400,53.60299
2015-04-07,54.290001,54.799999,54.25,54.540001,2792700,53.495097
2015-04-06,54.00,54.34,53.84,54.099998,2277500,53.063525
2015-04-02,54.139999,54.330002,54.009998,54.130001,2869600,53.092952
2015-04-01,54.279999,54.650002,53.939999,54.580002,4150600,53.034103
2015-03-31,53.299999,54.34,52.939999,54.209999,4659300,52.67458
2015-03-30,53.299999,53.900002,53.099998,53.299999,2846800,51.790355
2015-03-27,53.599998,53.860001,53.080002,53.18,2468200,51.673755
2015-03-26,54.040001,54.07,53.50,53.639999,2588700,52.120725
2015-03-25,54.59,54.75,53.900002,53.919998,3163900,52.392793
2015-03-24,54.049999,54.669998,53.900002,54.450001,2311400,52.907784
2015-03-23,54.279999,54.41,53.98,54.119999,2720900,52.587129
2015-03-20,53.790001,54.25,53.66,54.18,10103200,52.645431
2015-03-19,54.049999,54.09,53.380001,53.639999,3309500,52.120725
2015-03-18,54.00,54.139999,53.73,54.00,2984500,52.470529
2015-03-17,54.00,54.25,53.349998,54.119999,2659100,52.587129
2015-03-16,53.639999,54.400002,53.369999,53.950001,3030000,52.421946
2015-03-13,53.709999,53.82,53.029999,53.57,2078400,52.052708
2015-03-12,53.57,54.099998,53.560001,53.900002,2495900,52.373363
2015-03-11,53.25,53.93,53.00,53.529999,2673500,52.01384
2015-03-10,54.029999,54.080002,52.810001,53.200001,3480200,51.693189
2015-03-09,54.419998,54.619999,54.110001,54.220001,2017300,52.684299
2015-03-06,54.18,54.75,53.880001,54.299999,3085100,52.762032
2015-03-05,54.25,54.849998,54.119999,54.119999,2619600,52.587129
2015-03-04,53.950001,54.220001,53.599998,54.16,2492700,52.625997
2015-03-03,54.75,54.75,53.919998,54.169998,3589800,52.635713
2015-03-02,55.16,55.18,54.48,54.610001,3138500,53.063253
