Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,9.67,9.74,9.67,9.71,729200,9.71
2015-04-30,9.62,9.68,9.61,9.63,1708500,9.63
2015-04-29,9.44,9.50,9.41,9.48,505700,9.48
2015-04-28,9.53,9.53,9.44,9.46,419100,9.46
2015-04-27,9.58,9.58,9.51,9.53,649500,9.53
2015-04-24,9.56,9.60,9.55,9.60,498000,9.60
2015-04-23,9.64,9.66,9.56,9.57,663700,9.57
2015-04-22,9.69,9.69,9.61,9.65,788300,9.65
2015-04-21,9.69,9.75,9.68,9.71,1820000,9.71
2015-04-20,9.61,9.69,9.59,9.69,1905300,9.69
2015-04-17,9.58,9.64,9.54,9.61,1053500,9.61
2015-04-16,9.59,9.65,9.56,9.60,759500,9.60
2015-04-15,9.93,9.95,9.74,9.74,2049900,9.602
2015-04-14,9.86,9.91,9.81,9.91,2572100,9.76959
2015-04-13,9.92,9.95,9.91,9.93,1349100,9.78931
2015-04-10,9.91,9.95,9.90,9.90,1465900,9.75973
2015-04-09,9.82,9.95,9.82,9.94,3155600,9.79917
2015-04-08,9.63,9.78,9.63,9.75,3006800,9.61186
2015-04-07,9.62,9.67,9.62,9.64,716900,9.50342
2015-04-06,9.61,9.66,9.57,9.61,1511100,9.47384
2015-04-02,9.68,9.72,9.65,9.67,1011200,9.53299
2015-04-01,9.69,9.75,9.67,9.69,1411300,9.55271
2015-03-31,9.71,9.74,9.68,9.71,1272900,9.57243
2015-03-30,9.65,9.75,9.65,9.72,852400,9.58228
2015-03-27,9.50,9.67,9.49,9.66,1425800,9.52313
2015-03-26,9.49,9.56,9.48,9.50,3164700,9.3654
2015-03-25,9.58,9.60,9.51,9.53,2064500,9.39498
2015-03-24,9.53,9.62,9.53,9.59,1510400,9.45413
2015-03-23,9.55,9.64,9.54,9.55,1860900,9.41469
2015-03-20,9.68,9.70,9.55,9.55,6682300,9.41469
2015-03-19,9.77,9.79,9.73,9.73,2131800,9.59214
2015-03-18,9.82,9.86,9.67,9.69,2013600,9.55271
2015-03-17,9.82,9.86,9.79,9.79,1207600,9.65129
2015-03-16,9.78,9.85,9.77,9.85,1492200,9.71044
2015-03-13,9.80,9.88,9.80,9.83,2002900,9.69072
2015-03-12,9.81,9.83,9.76,9.80,1348000,9.66115
2015-03-11,9.76,9.89,9.76,9.89,947100,9.74988
2015-03-10,9.71,9.78,9.71,9.76,1472600,9.62172
2015-03-09,9.73,9.74,9.68,9.70,4177200,9.56257
2015-03-06,9.74,9.77,9.72,9.73,1941900,9.59214
2015-03-05,9.65,9.69,9.62,9.69,834800,9.55271
2015-03-04,9.68,9.74,9.59,9.61,970600,9.47384
2015-03-03,9.68,9.70,9.64,9.67,1810800,9.53299
2015-03-02,9.70,9.79,9.69,9.72,1282300,9.58228
2015-02-27,9.68,9.76,9.68,9.73,2086600,9.59214
2015-02-26,9.66,9.73,9.65,9.68,899300,9.54285
2015-02-25,9.66,9.72,9.63,9.63,1435500,9.49356
2015-02-24,9.85,9.88,9.70,9.70,2346700,9.56257
2015-02-23,9.72,9.82,9.72,9.82,2213000,9.68087
2015-02-20,9.61,9.73,9.61,9.70,3017800,9.56257
2015-02-19,9.56,9.64,9.56,9.62,3286100,9.4837
2015-02-18,9.53,9.60,9.51,9.51,1965500,9.37526
2015-02-17,9.42,9.56,9.42,9.47,1614500,9.33583
2015-02-13,9.54,9.61,9.49,9.49,1862500,9.35554
2015-02-12,9.66,9.72,9.54,9.54,2594500,9.40483
2015-02-11,9.57,9.73,9.57,9.73,2250800,9.59214
2015-02-10,9.46,9.62,9.45,9.59,1822900,9.45413
2015-02-09,9.46,9.52,9.39,9.41,1141500,9.27668
2015-02-06,9.46,9.52,9.42,9.50,2383100,9.3654
2015-02-05,9.47,9.50,9.42,9.46,1011800,9.32597
2015-02-04,9.45,9.53,9.41,9.48,5910500,9.34568
2015-02-03,9.52,9.59,9.43,9.48,1689600,9.34568
2015-02-02,9.56,9.57,9.50,9.55,1638100,9.41469
2015-01-30,9.43,9.62,9.40,9.58,4412400,9.44427
2015-01-29,9.37,9.42,9.16,9.37,6661700,9.23724
2015-01-28,9.40,9.42,9.32,9.34,1789200,9.20767
2015-01-27,9.34,9.43,9.31,9.39,1119400,9.25696
2015-01-26,9.36,9.41,9.33,9.37,819000,9.23724
2015-01-23,9.32,9.44,9.32,9.38,1182900,9.2471
2015-01-22,9.27,9.35,9.24,9.33,1968100,9.19781
2015-01-21,9.12,9.32,9.08,9.24,5040200,9.10908
2015-01-20,9.01,9.12,9.01,9.11,3129800,8.98093
2015-01-19,8.99,9.00,8.92,8.97,943100,8.84291
2015-01-16,9.00,9.08,9.00,9.02,4275100,8.8922
2015-01-15,9.02,9.05,8.96,8.98,17090100,8.85277
2015-01-14,8.96,9.05,8.92,9.02,3427900,8.8922
2015-01-13,8.99,9.04,8.96,9.01,9769500,8.88234
2015-01-12,9.00,9.05,8.95,8.99,8914500,8.86263
2015-01-09,9.00,9.06,8.99,9.03,11903300,8.90206
2015-01-08,9.00,9.04,8.97,9.01,3806000,8.88234
2015-01-07,9.12,9.15,8.89,8.99,13367900,8.86263
2015-01-06,9.09,9.17,9.07,9.11,6198000,8.98093
2015-01-05,9.18,9.19,9.07,9.07,7714700,8.94149
2015-01-02,9.13,9.19,9.12,9.19,4219200,9.05979
2014-12-31,9.07,9.12,9.06,9.10,2870300,8.97107
2014-12-30,9.10,9.13,9.07,9.10,3046400,8.97107
2014-12-29,9.11,9.14,9.09,9.10,2401400,8.97107
2014-12-24,9.09,9.14,9.08,9.10,1633400,8.97107
2014-12-23,9.08,9.13,9.07,9.11,6979900,8.98093
2014-12-22,9.09,9.13,9.05,9.10,5037400,8.97107
2014-12-19,9.02,9.14,9.02,9.14,13062700,9.0105
2014-12-18,8.91,9.07,8.89,9.01,12542400,8.88234
2014-12-17,8.82,8.92,8.74,8.90,26823600,8.7739
2014-12-16,8.66,8.86,8.63,8.84,82532300,8.71475
2014-12-15,6.18,6.22,5.80,5.97,15095000,5.88541
2014-12-12,5.80,6.04,4.84,5.04,22749700,4.96859
2014-12-11,4.29,4.55,4.24,4.26,5048400,4.19964
2014-12-10,4.81,4.82,4.22,4.37,6464600,4.23218
2014-12-09,4.69,4.98,4.61,4.81,5196800,4.6583
2014-12-08,4.42,4.65,3.96,4.30,6313600,4.16438
2014-12-05,4.61,4.66,4.41,4.49,7062300,4.34839
2014-12-04,5.20,5.25,4.59,4.61,10982900,4.46461
2014-12-03,5.11,5.49,5.11,5.26,4498900,5.09411
2014-12-02,5.25,5.49,5.10,5.30,2696700,5.13284
2014-12-01,5.59,5.60,5.14,5.14,3976500,4.97789
2014-11-28,5.55,5.67,5.15,5.45,5868900,5.27811
2014-11-27,6.45,6.46,5.58,5.60,4446800,5.42338
2014-11-26,6.54,6.61,6.45,6.52,4033200,6.31437
2014-11-25,6.79,6.80,6.50,6.59,3132800,6.38216
2014-11-24,7.01,7.02,6.65,6.76,1493100,6.5468
2014-11-21,6.97,7.11,6.88,6.99,2060900,6.76954
2014-11-20,6.50,6.82,6.47,6.80,1823300,6.58554
2014-11-19,6.55,6.60,6.37,6.54,3370400,6.33374
2014-11-18,6.50,6.62,6.40,6.50,2814100,6.295
2014-11-17,6.30,6.67,6.22,6.55,2757200,6.34342
2014-11-14,6.32,6.45,6.28,6.41,1941000,6.20784
2014-11-13,6.47,6.51,6.20,6.32,2368100,6.12067
2014-11-12,6.55,6.66,6.44,6.48,2491900,6.27563
2014-11-10,6.69,6.80,6.51,6.64,3147600,6.43058
2014-11-07,6.15,6.57,6.15,6.55,2633200,6.34342
2014-11-06,6.25,6.46,6.17,6.26,3736900,6.06257
2014-11-05,6.25,6.39,6.08,6.28,2615900,6.08194
2014-11-04,6.93,7.00,6.01,6.10,4521300,5.90761
2014-11-03,7.31,7.33,6.90,6.92,2303700,6.70175
2014-10-31,6.95,7.19,6.85,7.19,2375500,6.96324
2014-10-30,7.09,7.13,6.86,6.97,1532800,6.75017
2014-10-29,7.33,7.38,7.02,7.08,2485800,6.8567
2014-10-28,7.03,7.24,6.98,7.24,1588300,7.01166
2014-10-27,7.30,7.30,6.91,7.00,2546600,6.77923
2014-10-24,7.51,7.51,7.32,7.32,1759900,7.08914
2014-10-23,7.53,7.59,7.33,7.55,2252300,7.31188
2014-10-22,7.75,7.76,7.36,7.38,4731300,7.14724
2014-10-21,7.74,7.74,7.53,7.72,3338400,7.47652
2014-10-20,7.36,7.52,7.30,7.52,3044800,7.28283
2014-10-17,7.49,7.55,7.32,7.36,7651600,7.12787
2014-10-16,7.04,7.45,7.02,7.38,5106100,7.14724
2014-10-15,7.41,7.45,7.00,7.23,4451200,7.00197
2014-10-14,7.95,7.98,7.47,7.47,4530500,7.2344
2014-10-10,8.00,8.31,7.85,8.16,13836500,7.90264
2014-10-09,8.49,8.52,8.01,8.13,4875400,7.87359
2014-10-08,8.80,8.80,8.32,8.57,5134900,8.29971
2014-10-07,9.04,9.14,8.75,8.81,4190200,8.53214
2014-10-06,9.12,9.20,9.02,9.04,2015700,8.75489
2014-10-03,9.17,9.24,9.03,9.09,2144500,8.80331
2014-10-02,9.35,9.37,9.00,9.09,4909500,8.80331
2014-10-01,9.66,9.77,9.36,9.43,2099000,9.13259
2014-09-30,9.84,10.02,9.60,9.69,3263200,9.38439
2014-09-29,9.85,9.91,9.68,9.75,2383800,9.4425
2014-09-26,9.91,9.98,9.86,9.93,2004300,9.61682
2014-09-25,10.07,10.09,9.78,9.90,2045300,9.58777
2014-09-24,10.28,10.28,9.84,9.97,2559600,9.65556
2014-09-23,9.84,10.28,9.80,10.27,2224900,9.9461
2014-09-22,10.00,10.06,9.81,9.82,1217500,9.51029
2014-09-19,10.20,10.27,10.00,10.06,4261100,9.74272
2014-09-18,10.42,10.44,10.20,10.23,1273700,9.90736
2014-09-17,10.64,10.64,10.42,10.42,1085300,10.09137
2014-09-16,10.50,10.70,10.49,10.55,1904100,10.21727
2014-09-15,10.65,10.65,10.43,10.55,1596000,10.21727
2014-09-12,10.83,10.86,10.60,10.64,2433000,10.30443
2014-09-11,10.75,10.89,10.68,10.84,1057100,10.49812
2014-09-10,10.90,10.91,10.71,10.77,1157100,10.35866
2014-09-09,10.90,11.00,10.83,10.95,2033400,10.53179
2014-09-08,10.80,10.82,10.72,10.79,2477200,10.3779
2014-09-05,10.94,11.03,10.80,10.84,2423800,10.42599
2014-09-04,10.90,11.18,10.89,10.97,2540800,10.55102
2014-09-03,10.94,10.98,10.79,10.90,1533200,10.48369
2014-09-02,11.00,11.04,10.84,10.86,1272900,10.44522
2014-08-29,10.96,10.98,10.84,10.93,2420200,10.51255
2014-08-28,11.11,11.11,10.88,10.91,2378600,10.49331
2014-08-27,11.27,11.39,11.08,11.10,4016200,10.67606
2014-08-26,11.89,11.98,11.69,11.69,2343900,11.24352
2014-08-25,11.84,11.90,11.66,11.86,2636500,11.40703
2014-08-22,11.44,11.92,11.38,11.78,3237400,11.33008
2014-08-21,11.41,11.53,11.41,11.49,2367700,11.05116
2014-08-20,11.50,11.52,11.40,11.47,1751400,11.03193
2014-08-19,11.30,11.49,11.29,11.47,1456300,11.03193
2014-08-18,11.31,11.37,11.16,11.26,800600,10.82995
2014-08-15,11.18,11.32,11.11,11.32,1801200,10.88765
2014-08-14,11.30,11.31,11.13,11.16,994000,10.73376
2014-08-13,11.40,11.52,11.26,11.27,804600,10.83956
2014-08-12,11.47,11.61,11.36,11.38,1358500,10.94536
2014-08-11,11.74,11.74,11.41,11.47,1455700,11.03193
2014-08-08,11.35,11.74,11.33,11.70,3252700,11.25314
2014-08-07,11.42,11.44,11.17,11.35,1968400,10.91651
2014-08-06,11.26,11.38,11.18,11.37,1500500,10.93574
2014-08-05,11.26,11.48,11.22,11.31,2080000,10.87804
2014-08-01,11.41,11.58,11.29,11.33,2497600,10.89727
2014-07-31,11.72,11.80,11.39,11.41,2574400,10.97422
2014-07-30,11.88,11.92,11.78,11.86,1886900,11.40703
2014-07-29,11.59,11.94,11.52,11.93,2560700,11.47436
2014-07-28,11.75,11.83,11.62,11.72,5808300,11.27238
2014-07-25,11.75,11.80,11.65,11.80,7228500,11.34932
2014-07-24,11.83,11.90,11.70,11.76,7305900,11.31085
2014-07-23,11.50,11.99,11.30,11.97,15349200,11.51283
2014-07-22,10.70,10.70,10.48,10.57,2324000,10.1663
2014-07-21,10.70,10.70,10.55,10.57,559800,10.1663
2014-07-18,10.54,10.78,10.50,10.71,2088300,10.30095
2014-07-17,10.74,10.78,10.54,10.54,1023100,10.13744
2014-07-16,10.69,10.77,10.67,10.77,989700,10.35866
2014-07-15,10.77,10.79,10.60,10.62,1162400,10.21439
2014-07-14,10.72,10.80,10.71,10.76,1837300,10.34904
2014-07-11,10.79,10.81,10.62,10.65,1432800,10.24324
2014-07-10,10.82,10.84,10.74,10.76,1519500,10.34904
2014-07-09,10.88,10.91,10.80,10.86,845400,10.44522
2014-07-08,10.87,10.93,10.77,10.87,2279900,10.45484
2014-07-07,11.09,11.10,10.87,10.89,2447900,10.47408
2014-07-04,11.14,11.18,11.08,11.08,733300,10.65682
2014-07-03,11.22,11.24,11.14,11.16,1122300,10.73376
2014-07-02,11.20,11.30,11.19,11.19,1415600,10.76262
2014-06-30,11.28,11.33,11.23,11.28,1303200,10.84918
2014-06-27,11.33,11.33,11.20,11.26,1032700,10.82995
2014-06-26,11.26,11.34,11.11,11.32,1073900,10.88765
2014-06-25,11.20,11.35,11.20,11.23,815800,10.80109
2014-06-24,11.60,11.60,11.15,11.20,2238600,10.77224
2014-06-23,11.57,11.67,11.50,11.57,1440800,11.12811
2014-06-20,11.65,11.65,11.48,11.60,4189400,11.15696
2014-06-19,11.51,11.68,11.50,11.54,1278600,11.09925
2014-06-18,11.48,11.61,11.44,11.53,2024700,11.08963
2014-06-17,11.65,11.66,11.47,11.47,1512100,11.03193
2014-06-16,11.56,11.75,11.53,11.60,3203600,11.15696
2014-06-13,11.26,11.55,11.26,11.52,3157600,11.08002
2014-06-12,11.30,11.44,11.22,11.26,2228500,10.82995
2014-06-11,11.02,11.31,11.01,11.27,6232100,10.83956
2014-06-10,11.08,11.19,11.04,11.09,1720600,10.59527
2014-06-09,11.02,11.19,10.98,11.16,2002200,10.66214
2014-06-06,11.11,11.15,10.96,10.98,2168600,10.49017
2014-06-05,11.16,11.21,11.06,11.11,3175700,10.61437
2014-06-04,11.24,11.24,11.11,11.16,990700,10.66214
2014-06-03,11.15,11.22,11.10,11.22,4751900,10.71947
2014-06-02,11.22,11.24,11.10,11.14,4353100,10.64303
2014-05-30,11.13,11.21,11.05,11.20,6439100,10.70036
2014-05-29,11.18,11.24,11.03,11.15,2386600,10.65259
2014-05-28,11.09,11.24,11.08,11.13,1416800,10.63348
2014-05-27,11.14,11.17,11.00,11.13,5313300,10.63348
2014-05-26,11.18,11.25,11.14,11.16,541900,10.66214
2014-05-23,11.28,11.28,11.11,11.16,1606000,10.66214
2014-05-22,11.53,11.58,11.23,11.26,2344000,10.75768
