Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,55.73,56.509998,55.459999,56.25,953400,55.048756
2015-04-30,56.099998,56.389999,55.32,56.00,1495600,54.804095
2015-04-29,56.50,56.93,55.830002,56.040001,969000,54.843241
2015-04-28,57.849998,58.119999,57.00,57.040001,987600,55.821886
2015-04-27,57.52,58.09,57.080002,58.07,1522000,56.829889
2015-04-24,57.220001,57.490002,57.029999,57.349998,490400,56.125263
2015-04-23,57.009998,57.459999,56.68,57.150002,746400,55.929538
2015-04-22,56.50,57.080002,56.27,57.080002,914700,55.861033
2015-04-21,56.68,56.990002,56.18,56.400002,698700,55.195554
2015-04-20,56.619999,57.16,56.259998,56.50,751200,55.293417
2015-04-17,55.619999,56.59,55.509998,56.419998,950200,55.215124
2015-04-16,56.169998,56.169998,55.470001,55.869999,1060300,54.67687
2015-04-15,56.07,56.349998,55.439999,56.16,1198300,54.960678
2015-04-14,55.23,56.080002,55.23,55.369999,1082000,54.187548
2015-04-13,55.830002,56.02,54.900002,55.189999,1028200,54.011391
2015-04-10,55.119999,55.869999,55.119999,55.470001,841600,54.285414
2015-04-09,54.669998,55.759998,54.669998,55.220001,1237200,54.040753
2015-04-08,54.599998,55.139999,54.419998,54.68,1286600,53.512284
2015-04-07,54.049999,54.959999,53.970001,54.599998,1947800,53.433991
2015-04-06,54.349998,54.580002,53.84,53.98,929400,52.827232
2015-04-02,53.950001,54.599998,53.779999,54.439999,1147000,53.277408
2015-04-01,54.09,54.16,53.57,53.759998,884700,52.611929
2015-03-31,54.66,54.68,54.029999,54.16,1775100,53.003389
2015-03-30,54.619999,55.790001,54.34,54.75,1337500,53.580789
2015-03-27,54.599998,54.93,53.50,54.150002,1065500,52.993604
2015-03-26,55.310001,56.00,54.700001,55.080002,1248800,53.394849
2015-03-25,55.950001,56.509998,55.799999,55.869999,1315900,54.160676
2015-03-24,55.380001,55.880001,55.09,55.84,781200,54.131595
2015-03-23,55.57,55.77,54.900002,55.330002,758000,53.6372
2015-03-20,55.549999,55.889999,55.07,55.52,3376000,53.821386
2015-03-19,55.57,55.93,55.169998,55.419998,1337200,53.724443
2015-03-18,55.259998,56.119999,54.82,55.740002,1295600,54.034656
2015-03-17,54.00,55.709999,54.00,55.50,1351600,53.801997
2015-03-16,53.220001,54.669998,53.200001,54.369999,1086100,52.706568
2015-03-13,53.23,53.599998,53.18,53.48,627300,51.843798
2015-03-12,53.419998,53.709999,53.060001,53.560001,868700,51.921352
2015-03-11,53.549999,53.740002,53.27,53.529999,948500,51.892267
2015-03-10,54.349998,54.709999,53.419998,53.599998,1125100,51.960125
2015-03-09,54.939999,55.560001,54.599998,54.599998,1065100,52.929531
2015-03-06,55.889999,55.889999,54.57,54.849998,969800,53.171882
2015-03-05,55.50,55.98,55.369999,55.610001,961800,53.908632
2015-03-04,55.009998,55.299999,54.75,55.25,1314700,53.559646
2015-03-03,55.41,55.419998,54.59,55.119999,1401800,53.433622
2015-03-02,54.849998,55.790001,54.799999,55.220001,1388200,53.530565
2015-02-27,53.93,55.02,53.880001,54.790001,1521300,53.11372
2015-02-26,54.740002,54.740002,53.689999,54.169998,961000,52.512686
2015-02-25,54.669998,55.07,54.459999,54.490002,3402400,52.822899
2015-02-24,55.50,55.700001,54.540001,54.950001,1648100,53.268825
2015-02-23,55.389999,55.810001,54.959999,55.119999,1232200,53.433622
2015-02-20,56.759998,56.759998,55.380001,55.560001,1214000,53.860163
2015-02-19,56.650002,56.720001,55.98,56.16,940200,54.441804
2015-02-18,56.91,57.169998,56.169998,56.580002,1262500,54.848957
2015-02-17,57.439999,57.939999,56.98,57.00,1340100,55.256105
2015-02-13,59.25,59.50,57.029999,57.23,1770500,55.479068
2015-02-12,59.009998,59.009998,57.990002,58.50,1228900,56.710213
2015-02-11,57.900002,59.130001,57.540001,58.330002,1106900,56.545416
2015-02-10,57.689999,58.09,56.860001,58.040001,950700,56.264288
2015-02-09,59.00,59.00,56.950001,57.48,993800,55.721419
2015-02-06,59.00,59.139999,57.509998,57.84,977100,56.070406
2015-02-05,58.849998,59.380001,58.380001,58.709999,1043600,56.913787
2015-02-04,58.310001,58.77,57.52,58.560001,1133100,56.768379
2015-02-03,57.900002,59.450001,57.830002,58.669998,1827200,56.87501
2015-02-02,57.43,57.599998,56.68,57.419998,1148400,55.663254
2015-01-30,55.470001,57.32,55.029999,56.540001,1562000,54.81018
2015-01-29,55.48,56.330002,54.860001,55.98,1147700,54.267311
2015-01-28,56.099998,56.580002,55.299999,55.32,3713700,53.627504
2015-01-27,55.220001,55.990002,54.77,55.990002,1030100,54.277007
2015-01-26,56.00,56.02,55.169998,55.400002,871700,53.705058
2015-01-23,55.580002,55.900002,55.240002,55.669998,1161300,53.966794
2015-01-22,54.389999,55.630001,54.389999,55.360001,1211500,53.666281
2015-01-21,52.59,54.880001,52.59,54.00,1527500,52.347889
2015-01-20,54.00,54.25,52.57,52.959999,1102100,51.339707
2015-01-19,53.689999,53.950001,52.740002,53.18,416100,51.552977
2015-01-16,51.720001,53.360001,51.720001,53.07,1075700,51.446342
2015-01-15,52.950001,52.98,51.560001,51.900002,981700,50.312139
2015-01-14,52.150002,52.919998,50.509998,52.59,1446800,50.981028
2015-01-13,53.349998,54.00,52.009998,52.50,1947800,50.893781
2015-01-12,55.57,55.580002,52.959999,53.509998,1712300,51.872879
2015-01-09,56.259998,56.810001,55.240002,55.34,1787500,53.646892
2015-01-08,54.490002,55.299999,54.040001,54.93,1364200,53.249436
2015-01-07,54.740002,55.060001,53.540001,53.900002,1305800,52.25095
2015-01-06,55.619999,55.619999,53.650002,54.209999,1563600,52.551463
2015-01-05,57.529999,57.91,55.709999,55.830002,1341600,54.121903
2015-01-02,57.380001,58.169998,57.279999,58.02,609800,56.244899
2014-12-31,56.700001,57.389999,56.200001,57.099998,899700,55.353044
2014-12-30,56.82,57.290001,56.34,57.060001,713700,55.314271
2014-12-29,56.580002,57.439999,56.380001,57.060001,892900,55.314271
2014-12-24,56.610001,56.98,56.299999,56.73,397800,54.529048
2014-12-23,55.68,56.91,55.68,56.82,1037200,54.615556
2014-12-22,55.27,55.529999,54.41,55.41,1188300,53.26026
2014-12-19,55.040001,55.439999,54.380001,55.27,5840600,53.125692
2014-12-18,55.00,55.00,53.639999,54.57,1872900,52.45285
2014-12-17,52.75,54.939999,52.470001,54.330002,2383500,52.222163
2014-12-16,52.07,53.450001,51.779999,52.830002,2620500,50.780358
2014-12-15,52.139999,52.939999,51.66,52.310001,1655900,50.280532
