Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,99.589996,100.419998,99.25,99.839996,46100,99.031474
2015-04-30,101.360001,101.379997,99.010002,99.660004,120400,98.852939
2015-04-29,102.010002,102.410004,101.139999,101.639999,51400,100.8169
2015-04-28,102.019997,102.459999,101.07,102.00,47800,101.173985
2015-04-27,102.559998,103.059998,101.790001,102.510002,50400,101.679857
2015-04-24,102.559998,102.82,102.220001,102.290001,34100,101.461638
2015-04-23,102.220001,103.00,101.610001,102.339996,75100,101.511228
2015-04-22,104.400002,104.400002,101.970001,102.379997,58600,101.550905
2015-04-21,103.379997,104.589996,103.169998,104.379997,94700,103.534709
2015-04-20,104.260002,104.989998,102.599998,103.089996,68100,102.255154
2015-04-17,104.199997,104.199997,102.739998,103.870003,68400,103.028844
2015-04-16,104.639999,104.75,103.32,104.160004,72000,103.316497
2015-04-15,106.309998,106.309998,104.379997,104.650002,81000,103.802526
2015-04-14,106.919998,106.919998,105.610001,105.769997,44000,104.913452
2015-04-13,106.089996,106.830002,105.779999,106.660004,48100,105.796251
2015-04-10,106.269997,106.599998,105.68,105.959999,42100,105.101915
2015-04-09,105.650002,106.900002,105.550003,106.360001,123400,105.498678
2015-04-08,104.800003,106.540001,104.639999,105.449997,151700,104.596043
2015-04-07,103.550003,105.370003,103.550003,104.550003,83800,103.703338
2015-04-06,103.330002,104.419998,103.059998,103.32,82100,102.483295
2015-04-02,101.550003,103.790001,101.550003,103.32,61900,102.483295
2015-04-01,100.309998,101.900002,98.779999,101.610001,114300,100.787144
2015-03-31,101.279999,101.470001,100.099998,100.32,107700,99.50759
2015-03-30,101.239998,102.230003,100.519997,101.559998,67500,100.737546
2015-03-27,101.18,102.50,100.00,100.959999,65900,100.142406
2015-03-26,102.110001,102.970001,100.75,101.07,99200,100.251516
2015-03-25,103.010002,104.449997,102.220001,102.510002,108800,101.679857
2015-03-24,100.879997,103.669998,100.879997,103.489998,132300,102.651917
2015-03-23,101.540001,102.18,100.769997,101.089996,119200,100.271351
2015-03-20,102.059998,102.07,100.419998,101.730003,299900,100.906175
2015-03-19,101.50,101.650002,100.449997,100.769997,108800,99.953943
2015-03-18,100.269997,102.419998,99.650002,101.510002,106800,100.687955
2015-03-17,99.550003,100.940002,98.650002,100.269997,99800,99.457992
2015-03-16,100.230003,101.879997,99.160004,100.370003,121500,99.557188
2015-03-13,98.889999,99.080002,97.889999,98.650002,88300,97.851116
2015-03-12,98.410004,100.199997,98.07,99.029999,134900,98.228036
2015-03-11,98.440002,99.449997,97.830002,98.410004,95700,97.613061
2015-03-10,99.82,99.870003,98.400002,98.589996,164000,97.374999
2015-03-09,100.400002,100.550003,99.00,99.940002,183000,98.708368
2015-03-06,103.980003,104.389999,99.540001,100.389999,260900,99.152819
2015-03-05,104.269997,107.010002,103.900002,104.220001,115300,102.935621
2015-03-04,104.739998,105.870003,103.82,104.980003,96500,103.686257
2015-03-03,106.440002,106.440002,103.480003,104.830002,115600,103.538104
2015-03-02,106.00,106.25,104.309998,106.110001,194100,104.802329
2015-02-27,104.660004,106.389999,104.660004,106.050003,189800,104.743071
2015-02-26,105.00,106.160004,104.379997,105.269997,126500,103.972677
2015-02-25,106.699997,106.75,103.080002,103.279999,226400,102.007203
