Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,4.60,4.67,4.56,4.63,1912300,4.568794
2015-04-30,4.72,4.73,4.60,4.61,4189500,4.549058
2015-04-29,4.77,4.88,4.69,4.81,5859600,4.746414
2015-04-28,4.77,4.93,4.71,4.86,3706700,4.795753
2015-04-27,4.68,4.84,4.63,4.72,3803000,4.657604
2015-04-24,4.76,4.80,4.65,4.65,1822200,4.588529
2015-04-23,4.72,4.84,4.69,4.78,2558000,4.716811
2015-04-22,4.83,4.87,4.69,4.70,1860400,4.637868
2015-04-21,4.93,4.96,4.87,4.90,1168000,4.835224
2015-04-20,4.86,4.95,4.76,4.92,1785500,4.85496
2015-04-17,4.90,4.98,4.87,4.92,1258000,4.85496
2015-04-16,5.02,5.05,4.82,4.85,1889700,4.785885
2015-04-15,4.85,5.01,4.76,4.99,2969500,4.924034
2015-04-14,4.75,4.83,4.68,4.79,1661200,4.726678
2015-04-13,4.87,4.89,4.71,4.73,1008500,4.667472
2015-04-10,4.90,4.94,4.80,4.88,1331900,4.815489
2015-04-09,4.64,4.84,4.62,4.83,1586300,4.76615
2015-04-08,4.73,4.80,4.64,4.69,1890800,4.628
2015-04-07,4.77,4.89,4.74,4.76,1355800,4.697075
2015-04-06,4.88,4.92,4.78,4.84,3504500,4.776018
2015-04-02,4.74,4.86,4.63,4.69,1677600,4.628
2015-04-01,4.67,4.81,4.64,4.80,2545400,4.736546
2015-03-31,4.70,4.78,4.51,4.54,7639200,4.479983
2015-03-30,4.72,4.84,4.70,4.71,1366300,4.647736
2015-03-27,4.88,4.90,4.71,4.81,1681500,4.746414
2015-03-26,5.18,5.18,4.83,4.88,2881400,4.79674
2015-03-25,5.26,5.28,5.03,5.04,2215600,4.95401
2015-03-24,5.12,5.23,5.09,5.21,2960700,5.121109
2015-03-23,4.95,5.10,4.85,5.09,2379800,5.003157
2015-03-20,4.74,4.96,4.74,4.89,12141700,4.806569
2015-03-19,4.61,4.76,4.53,4.73,2329300,4.649299
2015-03-18,4.48,4.65,4.39,4.63,3073900,4.551005
2015-03-17,4.69,4.83,4.47,4.48,3477100,4.403564
2015-03-16,4.78,4.82,4.62,4.80,1576300,4.718105
2015-03-13,4.55,4.79,4.47,4.78,1362800,4.698446
2015-03-12,4.69,4.69,4.47,4.51,1478100,4.433053
2015-03-11,4.32,4.58,4.24,4.54,2062200,4.462541
2015-03-10,4.50,4.58,4.27,4.32,2820200,4.246294
2015-03-09,4.79,4.79,4.55,4.56,1691200,4.482199
2015-03-06,4.96,5.03,4.71,4.72,4069300,4.639469
2015-03-05,5.15,5.23,5.04,5.12,1617500,5.032645
2015-03-04,5.22,5.28,5.06,5.12,1407600,5.032645
2015-03-03,5.20,5.35,5.13,5.18,1264500,5.091621
2015-03-02,5.31,5.40,5.16,5.22,1648400,5.130939
2015-02-27,5.26,5.35,5.25,5.31,3387900,5.219403
2015-02-26,5.18,5.27,5.15,5.27,2665400,5.180086
2015-02-25,5.05,5.16,5.00,5.09,2664900,5.003157
2015-02-24,4.94,5.04,4.92,5.04,3667100,4.95401
2015-02-23,4.90,5.04,4.84,4.94,2022600,4.855716
2015-02-20,4.96,5.08,4.90,4.93,2555200,4.845886
2015-02-19,5.00,5.08,4.91,4.91,1696600,4.826228
2015-02-18,4.95,5.03,4.76,5.01,5582000,4.924522
2015-02-17,5.01,5.03,4.89,4.90,3506900,4.816399
2015-02-13,5.07,5.16,5.03,5.15,1849400,5.062133
2015-02-12,5.05,5.06,4.84,5.00,2625800,4.914692
2015-02-11,5.17,5.20,4.94,5.02,5406600,4.934351
2015-02-10,5.15,5.18,5.08,5.13,2615800,5.042474
2015-02-09,5.35,5.35,5.09,5.21,1861300,5.121109
2015-02-06,5.35,5.37,5.09,5.21,4935300,5.121109
2015-02-05,5.39,5.63,5.38,5.58,7150800,5.484797
2015-02-04,5.25,5.57,5.19,5.51,5045600,5.415991
2015-02-03,5.25,5.31,5.10,5.11,2377100,5.022816
2015-02-02,5.11,5.42,5.08,5.38,3642900,5.288209
2015-01-30,5.11,5.26,5.07,5.26,9745000,5.170257
